[2026-08-20 07:22:39.337 Model_Service_0] [PAPER-LOAD-V4] peer access: {'0->1': True, '1->0': True} p2p=False
[2026-08-20 07:22:44.344 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 07:22:49.583 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 07:22:54.825 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 07:23:00.108 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 07:23:05.350 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 07:23:10.613 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 07:23:16.031 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 07:23:21.327 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 07:23:26.569 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 07:23:31.813 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 07:23:37.058 Model_Service_0] Model service 0 input queue is empty, waiting for next request
