[2026-08-20 09:47:39.947 Model_Service_0] [PAPER-LOAD-V4] peer access: {'0->1': True, '0->2': True, '0->3': True, '1->0': True, '1->2': True, '1->3': True, '2->0': True, '2->1': True, '2->3': True, '3->0': True, '3->1': True, '3->2': True} p2p=False
[2026-08-20 09:47:44.954 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 09:47:50.182 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 09:47:55.443 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 09:48:00.713 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 09:48:05.944 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 09:48:11.178 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 09:48:16.419 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 09:48:21.655 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 09:48:26.893 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 09:48:32.135 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 09:48:37.379 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 09:48:42.641 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 09:48:47.897 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 09:48:53.143 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 09:48:58.399 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 09:49:03.635 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 09:49:08.874 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 09:49:14.104 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 09:49:19.350 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 09:49:24.610 Model_Service_0] Model service 0 input queue is empty, waiting for next request
