[2026-08-20 07:15:22.505 Model_Service_0] [PAPER-LOAD-V4] peer access: {'0->1': True, '0->2': True, '0->3': True, '1->0': True, '1->2': True, '1->3': True, '2->0': True, '2->1': True, '2->3': True, '3->0': True, '3->1': True, '3->2': True} p2p=False
[2026-08-20 07:15:27.512 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 07:15:32.746 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 07:15:37.982 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 07:15:43.234 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 07:15:48.453 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 07:15:53.674 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 07:15:58.898 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 07:16:04.125 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 07:16:09.344 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 07:16:14.560 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 07:16:20.141 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 07:16:25.362 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 07:16:30.597 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 07:16:35.818 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 07:16:41.034 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 07:16:46.476 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 07:16:51.980 Model_Service_0] Model service 0 input queue is empty, waiting for next request
