cycle,timestamp,model,tp_size,current_gpus,planned_gpus,planned_collides
1,1787250947.8121321,model_5,1,0,0,0
1,1787250947.8121321,model_2,1,1,1,0
1,1787250947.8121321,model_1,2,2|3,2|3,0
1,1787250947.8121321,model_3,1,2,2,0
1,1787250947.8121321,model_4,1,0,0,0
1,1787250947.8121321,model_6,1,1,1,0
2,1787250952.9290943,model_3,1,2,2,0
2,1787250952.9290943,model_6,1,1,1,0
2,1787250952.9290943,model_5,1,0,0,0
2,1787250952.9290943,model_2,1,1,1,0
2,1787250952.9290943,model_1,2,2|3,2|3,0
2,1787250952.9290943,model_4,1,0,0,0
3,1787250957.998839,model_3,1,2,2,0
3,1787250957.998839,model_6,1,1,1,0
3,1787250957.998839,model_1,2,2|3,2|3,0
3,1787250957.998839,model_5,1,0,0,0
3,1787250957.998839,model_2,1,1,1,0
3,1787250957.998839,model_4,1,0,0,0
4,1787250963.331344,model_3,1,2,2,0
4,1787250963.331344,model_6,1,1,1,0
4,1787250963.331344,model_1,2,2|3,2|3,0
4,1787250963.331344,model_5,1,0,0,0
4,1787250963.331344,model_2,1,1,1,0
4,1787250963.331344,model_4,1,0,0,0
5,1787250968.5356143,model_3,1,2,2,0
5,1787250968.5356143,model_6,1,1,1,0
5,1787250968.5356143,model_1,2,2|3,2|3,0
5,1787250968.5356143,model_5,1,0,0,0
5,1787250968.5356143,model_2,1,1,1,0
5,1787250968.5356143,model_4,1,0,0,0
6,1787250973.5469952,model_3,1,2,2,0
6,1787250973.5469952,model_6,1,1,1,0
6,1787250973.5469952,model_5,1,0,0,0
6,1787250973.5469952,model_1,2,2|3,2|3,0
6,1787250973.5469952,model_2,1,1,1,0
6,1787250973.5469952,model_4,1,0,0,0
7,1787250978.7160246,model_3,1,2,2,0
7,1787250978.7160246,model_6,1,1,1,0
7,1787250978.7160246,model_1,2,2|3,2|3,0
7,1787250978.7160246,model_5,1,0,0,0
7,1787250978.7160246,model_2,1,1,1,0
7,1787250978.7160246,model_4,1,0,0,0
8,1787250983.7856326,model_3,1,2,2,0
8,1787250983.7856326,model_6,1,1,1,0
8,1787250983.7856326,model_1,2,2|3,3|0,0
