cycle,timestamp,model,tp_size,current_gpus,planned_gpus,planned_collides
1,1787288438.1028872,model_5,1,0,0,0
1,1787288438.1028872,model_2,1,1,1,0
1,1787288438.1028872,model_1,2,2|3,2|3,0
1,1787288438.1028872,model_3,1,2,2,0
1,1787288438.1028872,model_4,1,0,0,0
1,1787288438.1028872,model_6,1,1,1,0
2,1787288443.120707,model_3,1,2,2,0
2,1787288443.120707,model_6,1,1,1,0
2,1787288443.120707,model_5,1,0,0,0
2,1787288443.120707,model_2,1,1,1,0
2,1787288443.120707,model_1,2,2|3,2|3,0
2,1787288443.120707,model_4,1,0,0,0
3,1787288448.3036287,model_3,1,2,2,0
3,1787288448.3036287,model_6,1,1,1,0
3,1787288448.3036287,model_1,2,2|3,2|3,0
3,1787288448.3036287,model_5,1,0,0,0
3,1787288448.3036287,model_2,1,1,1,0
3,1787288448.3036287,model_4,1,0,0,0
4,1787288453.468795,model_3,1,2,2,0
4,1787288453.468795,model_6,1,1,1,0
4,1787288453.468795,model_1,2,2|3,2|3,0
4,1787288453.468795,model_5,1,0,0,0
4,1787288453.468795,model_2,1,1,1,0
4,1787288453.468795,model_4,1,0,0,0
5,1787288458.5659182,model_3,1,2,2,0
5,1787288458.5659182,model_6,1,1,1,0
5,1787288458.5659182,model_1,2,2|3,2|3,0
5,1787288458.5659182,model_5,1,0,0,0
5,1787288458.5659182,model_2,1,1,1,0
5,1787288458.5659182,model_4,1,0,0,0
6,1787288463.9248362,model_3,1,2,2,0
6,1787288463.9248362,model_6,1,1,1,0
6,1787288463.9248362,model_1,2,2|3,2|3,0
6,1787288463.9248362,model_5,1,0,0,0
6,1787288463.9248362,model_2,1,1,1,0
6,1787288463.9248362,model_4,1,0,0,0
7,1787288469.1676946,model_3,1,2,2,0
7,1787288469.1676946,model_6,1,1,1,0
7,1787288469.1676946,model_1,2,2|3,3|0,0
7,1787288469.1676946,model_5,1,0,0,0
7,1787288469.1676946,model_2,1,1,1,0
7,1787288469.1676946,model_4,1,0,0,0
8,1787288474.3471272,model_3,1,2,2,0
8,1787288474.3471272,model_6,1,1,1,0
8,1787288474.3471272,model_5,1,0,0,0
8,1787288474.3471272,model_1,2,3|0,3|0,0
8,1787288474.3471272,model_2,1,1,1,0
8,1787288474.3471272,model_4,1,0,0,0
9,1787288479.4313266,model_3,1,2,2,0
9,1787288479.4313266,model_6,1,1,1,0
9,1787288479.4313266,model_5,1,0,0,0
9,1787288479.4313266,model_1,2,3|0,3|0,0
9,1787288479.4313266,model_2,1,1,1,0
9,1787288479.4313266,model_4,1,0,0,0
10,1787288484.7121937,model_3,1,2,2,0
10,1787288484.7121937,model_6,1,1,1,0
10,1787288484.7121937,model_5,1,0,0,0
10,1787288484.7121937,model_1,2,3|0,3|0,0
10,1787288484.7121937,model_2,1,1,1,0
10,1787288484.7121937,model_4,1,0,0,0
11,1787288489.8817627,model_3,1,2,2,0
11,1787288489.8817627,model_6,1,1,1,0
11,1787288489.8817627,model_5,1,0,0,0
11,1787288489.8817627,model_1,2,3|0,3|0,0
11,1787288489.8817627,model_2,1,1,1,0
11,1787288489.8817627,model_4,1,0,0,0
12,1787288494.9911954,model_3,1,2,2,0
12,1787288494.9911954,model_5,1,0,0,0
12,1787288494.9911954,model_6,1,1,1,0
12,1787288494.9911954,model_1,2,3|0,3|0,0
12,1787288494.9911954,model_2,1,1,1,0
12,1787288494.9911954,model_4,1,0,0,0
13,1787288500.0128891,model_5,1,0,0,0
13,1787288500.0128891,model_3,1,2,2,0
13,1787288500.0128891,model_6,1,1,1,0
13,1787288500.0128891,model_1,2,3|0,3|0,0
13,1787288500.0128891,model_2,1,1,1,0
13,1787288500.0128891,model_4,1,0,0,0
14,1787288505.0301433,model_5,1,0,0,0
14,1787288505.0301433,model_3,1,2,2,0
14,1787288505.0301433,model_6,1,1,1,0
14,1787288505.0301433,model_2,1,1,1,0
14,1787288505.0301433,model_1,2,3|0,3|0,0
14,1787288505.0301433,model_4,1,0,0,0
15,1787288510.1201313,model_3,1,2,2,0
15,1787288510.1201313,model_5,1,0,0,0
15,1787288510.1201313,model_6,1,1,1,0
15,1787288510.1201313,model_2,1,1,1,0
15,1787288510.1201313,model_4,1,0,3,0
15,1787288510.1201313,model_1,2,3|0,3|0,0
16,1787288515.140317,model_5,1,0,0,0
16,1787288515.140317,model_3,1,2,2,0
16,1787288515.140317,model_6,1,1,1,0
16,1787288515.140317,model_2,1,1,1,0
