cycle,timestamp,model,tp_size,current_gpus,planned_gpus,planned_collides
1,1787250159.156358,model_3,1,2,2,0
1,1787250159.156358,model_1,2,2|3,2|3,0
1,1787250159.156358,model_2,1,1,1,0
1,1787250159.156358,model_4,1,0,0,0
1,1787250159.156358,model_5,1,0,0,0
1,1787250159.156358,model_6,1,1,1,0
2,1787250164.1624773,model_3,1,2,2,0
2,1787250164.1624773,model_4,1,0,0,0
2,1787250164.1624773,model_1,2,2|3,2|3,0
2,1787250164.1624773,model_2,1,1,1,0
2,1787250164.1624773,model_5,1,0,0,0
2,1787250164.1624773,model_6,1,1,1,0
3,1787250169.2880363,model_1,2,2|3,2|3,0
3,1787250169.2880363,model_3,1,2,2,0
3,1787250169.2880363,model_4,1,0,0,0
3,1787250169.2880363,model_2,1,1,1,0
3,1787250169.2880363,model_5,1,0,0,0
3,1787250169.2880363,model_6,1,1,1,0
4,1787250174.2973864,model_1,2,2|3,2|3,0
4,1787250174.2973864,model_3,1,2,2,0
4,1787250174.2973864,model_4,1,0,0,0
4,1787250174.2973864,model_2,1,1,1,0
4,1787250174.2973864,model_5,1,0,0,0
4,1787250174.2973864,model_6,1,1,1,0
5,1787250179.355488,model_3,1,2,2,0
5,1787250179.355488,model_1,2,2|3,2|3,0
5,1787250179.355488,model_4,1,0,0,0
5,1787250179.355488,model_2,1,1,1,0
5,1787250179.355488,model_5,1,0,0,0
5,1787250179.355488,model_6,1,1,1,0
6,1787250184.6022692,model_3,1,2,2,0
6,1787250184.6022692,model_1,2,2|3,2|3,0
6,1787250184.6022692,model_4,1,0,0,0
6,1787250184.6022692,model_2,1,1,1,0
6,1787250184.6022692,model_5,1,0,0,0
6,1787250184.6022692,model_6,1,1,1,0
7,1787250189.7832377,model_3,1,2,2,0
7,1787250189.7832377,model_1,2,2|3,2|3,0
7,1787250189.7832377,model_4,1,0,0,0
7,1787250189.7832377,model_2,1,1,1,0
7,1787250189.7832377,model_5,1,0,0,0
7,1787250189.7832377,model_6,1,1,1,0
8,1787250195.007703,model_3,1,2,2,0
8,1787250195.007703,model_1,2,2|3,2|3,0
8,1787250195.007703,model_4,1,0,0,0
8,1787250195.007703,model_2,1,1,1,0
8,1787250195.007703,model_5,1,0,0,0
8,1787250195.007703,model_6,1,1,1,0
9,1787250200.2278295,model_3,1,2,2,0
9,1787250200.2278295,model_1,2,2|3,2|3,0
9,1787250200.2278295,model_4,1,0,0,0
9,1787250200.2278295,model_2,1,1,1,0
9,1787250200.2278295,model_5,1,0,0,0
9,1787250200.2278295,model_6,1,1,1,0
10,1787250205.5497634,model_3,1,2,2,0
10,1787250205.5497634,model_1,2,2|3,2|3,0
10,1787250205.5497634,model_4,1,0,0,0
10,1787250205.5497634,model_2,1,1,1,0
10,1787250205.5497634,model_5,1,0,0,0
10,1787250205.5497634,model_6,1,1,1,0
11,1787250210.580929,model_1,2,2|3,2|3,0
11,1787250210.580929,model_3,1,2,2,0
11,1787250210.580929,model_4,1,0,0,0
