1787244228.987803329 0, 39081, 0;1, 32255, 0;2, 21381, 0;3, 10721, 0;
1787244232.275069196 0, 39883, 6;1, 32387, 5;2, 22001, 2;3, 10721, 0;
1787244236.181351683 0, 39883, 82;1, 32575, 87;2, 22041, 52;3, 10721, 0;
1787244238.863223526 0, 40011, 83;1, 32777, 98;2, 22155, 36;3, 10721, 0;
1787244241.522717644 0, 40011, 89;1, 32867, 99;2, 22303, 15;3, 10721, 0;
1787244244.219730476 0, 40011, 6;1, 33099, 10;2, 22329, 7;3, 10721, 0;
1787244248.037278874 0, 40011, 26;1, 33099, 26;2, 22329, 8;3, 10721, 0;
1787244251.762851032 0, 40363, 0;1, 33381, 0;2, 22441, 11;3, 10721, 0;
1787244255.216555791 0, 40363, 14;1, 33605, 27;2, 22441, 12;3, 10721, 0;
1787244258.782856539 0, 40915, 75;1, 34125, 98;2, 22441, 22;3, 10721, 0;
1787244261.573064203 0, 40915, 91;1, 34125, 98;2, 22553, 52;3, 10721, 0;
1787244264.272101434 0, 40915, 92;1, 34125, 99;2, 22553, 19;3, 10721, 0;
1787244266.971322055 0, 41043, 7;1, 34143, 0;2, 22643, 5;3, 10721, 0;
1787244271.050286406 0, 41073, 47;1, 34317, 97;2, 22649, 95;3, 10721, 0;
1787244273.733751821 0, 41425, 34;1, 34317, 3;2, 22649, 3;3, 10721, 0;
1787244277.058910930 0, 42821, 30;1, 34317, 29;2, 22649, 2;3, 10721, 0;
1787244280.651331430 0, 43257, 98;1, 34317, 99;2, 22713, 94;3, 10721, 0;
1787244283.340082142 0, 43513, 99;1, 34317, 99;2, 22713, 95;3, 10721, 0;
1787244286.058959762 0, 43769, 100;1, 34317, 98;2, 22713, 71;3, 10721, 0;
1787244288.775934777 0, 44433, 12;1, 34317, 10;2, 22713, 3;3, 10721, 0;
1787244292.382463976 0, 45185, 27;1, 34317, 17;2, 22713, 0;3, 10721, 0;
1787244295.756497935 0, 46377, 100;1, 34317, 43;2, 22713, 85;3, 10721, 0;
1787244298.467359114 0, 47017, 100;1, 34205, 45;2, 22713, 42;3, 10721, 0;
1787244301.181634367 0, 47337, 100;1, 34165, 44;2, 22777, 96;3, 10721, 0;
1787244303.882608062 0, 47769, 20;1, 33645, 0;2, 22777, 4;3, 10721, 0;
1787244307.843816014 0, 48901, 14;1, 33645, 0;2, 22777, 92;3, 10721, 0;
1787244310.470379537 0, 49281, 99;1, 33645, 47;2, 22777, 27;3, 10721, 0;
1787244313.205338471 0, 49553, 65;1, 33645, 38;2, 22777, 96;3, 10721, 0;
1787244315.843850737 0, 49553, 100;1, 33645, 52;2, 22777, 84;3, 10721, 0;
1787244318.518886441 0, 49625, 100;1, 32861, 42;2, 22777, 94;3, 10721, 0;
1787244321.123513281 0, 49625, 99;1, 16981, 0;2, 22777, 72;3, 10721, 0;
1787244323.776751573 0, 49797, 64;1, 23569, 28;2, 22949, 56;3, 10893, 43;
1787244326.948397462 0, 49925, 22;1, 23821, 10;2, 22949, 7;3, 10893, 0;
1787244330.311498363 0, 49999, 0;1, 24071, 15;2, 22789, 3;3, 10721, 0;
1787244333.811818486 0, 50289, 27;1, 25333, 0;2, 22841, 0;3, 10721, 0;
1787244336.991747081 0, 50539, 26;1, 25735, 35;2, 22927, 47;3, 10721, 0;
1787244339.888170968 0, 50767, 28;1, 26041, 6;2, 22927, 13;3, 10721, 0;
1787244344.141245534 0, 52527, 47;1, 26043, 45;2, 22927, 74;3, 10721, 0;
1787244346.806730267 0, 53039, 45;1, 26043, 45;2, 23151, 75;3, 10721, 0;
1787244349.328355691 0, 53755, 60;1, 26325, 24;2, 24031, 3;3, 25367, 0;
1787244353.211616683 0, 53517, 22;1, 26043, 4;2, 24495, 10;3, 27279, 5;
1787244357.152248071 0, 49379, 12;1, 26043, 9;2, 25167, 0;3, 27279, 22;
1787244360.326243513 0, 44023, 98;1, 26043, 63;2, 26089, 96;3, 27279, 85;
1787244362.922426816 0, 43639, 97;1, 26043, 55;2, 27249, 100;3, 27279, 81;
1787244365.593345210 0, 43511, 97;1, 26043, 0;2, 27809, 68;3, 27391, 10;
1787244368.334452407 0, 43511, 99;1, 26043, 0;2, 28707, 83;3, 27667, 65;
