Real trace file: /workspace/prism-exp/exp/workloads/paper-faithful-v4/bursty_r8_s2.pkl
[PRISM_DIRECT] 3365 requests, span 419.8s
Starting TP benchmark: tp-aa-off_r8_s2
Generated 3365 requests
Request model_3#0 arrives at 1530138.64038159, sleeping for 0.15798596991226077 seconds
Request model_4#0 arrives at 1530138.798771127, sleeping for 0.1582035250030458 seconds
Request model_4#1 arrives at 1530138.957775769, sleeping for 0.03825964545831084 seconds
Request model_4#2 arrives at 1530138.996369927, sleeping for 0.18056225613690913 seconds
Request model_1#0 arrives at 1530139.177767443, sleeping for 0.011265951208770275 seconds
Request model_3#1 arrives at 1530139.190037648, sleeping for 0.0966038079932332 seconds
Request model_1#1 arrives at 1530139.287213502, sleeping for 0.07112250616773963 seconds
Request model_1#2 arrives at 1530139.360221538, sleeping for 0.05291682621464133 seconds
Request model_1#3 arrives at 1530139.414913917, sleeping for 0.3284671900328249 seconds
Request model_3#2 arrives at 1530139.745013864, sleeping for 0.42145171016454697 seconds
Request model_1#4 arrives at 1530140.168035926, sleeping for 0.06723322882317007 seconds
Request model_3#3 arrives at 1530140.236050007, sleeping for 0.18136410787701607 seconds
Request model_1#5 arrives at 1530140.418837723, sleeping for 0.23373551457189023 seconds
Request model_1#6 arrives at 1530140.65359192, sleeping for 0.15022027608938515 seconds
Request model_1#7 arrives at 1530140.804487996, sleeping for 0.07041122927330434 seconds
Request model_1#8 arrives at 1530140.876092562, sleeping for 0.20219655777327716 seconds
Request model_3#4 arrives at 1530141.078856807, sleeping for 0.07910530013032258 seconds
Request model_4#3 arrives at 1530141.158451749, sleeping for 0.14450152637436986 seconds
Request model_1#9 arrives at 1530141.304767073, sleeping for 0.010212091030552983 seconds
Request model_4#4 arrives at 1530141.315996821, sleeping for 0.16059362539090216 seconds
Request model_1#10 arrives at 1530141.477053257, sleeping for 0.4978787589352578 seconds
Request model_4#5 arrives at 1530141.975712243, sleeping for 0.02993876999244094 seconds
Request model_3#5 arrives at 1530142.006653398, sleeping for 0.052935724845156074 seconds
Request model_1#11 arrives at 1530142.060529911, sleeping for 0.09280956559814513 seconds
Request model_3#6 arrives at 1530142.154412022, sleeping for 0.23939068312756717 seconds
Request model_1#12 arrives at 1530142.395457323, sleeping for 0.17485861526802182 seconds
Request model_4#6 arrives at 1530142.571698094, sleeping for 0.030503281159326434 seconds
Request model_1#13 arrives at 1530142.602538048, sleeping for 0.07024394371546805 seconds
Request model_1#14 arrives at 1530142.673359449, sleeping for 0.1421891637146473 seconds
Request model_1#15 arrives at 1530142.817577009, sleeping for 0.1705188057385385 seconds
Request model_1#16 arrives at 1530142.989002927, sleeping for 0.231659394223243 seconds
Request model_1#17 arrives at 1530143.221846791, sleeping for 0.06240130681544542 seconds
Request model_1#18 arrives at 1530143.285109779, sleeping for 0.057447879342362285 seconds
Request model_4#7 arrives at 1530143.343213602, sleeping for 0.04361558589152992 seconds
Request model_4#8 arrives at 1530143.38761802, sleeping for 0.1192840205039829 seconds
Request model_4#9 arrives at 1530143.508735879, sleeping for 0.34684525616467 seconds
Request model_1#19 arrives at 1530143.856125497, sleeping for 0.05295761441811919 seconds
Request model_4#10 arrives at 1530143.910112082, sleeping for 0.09658489422872663 seconds
Request model_1#20 arrives at 1530144.007072164, sleeping for 0.022528414148837328 seconds
Request model_1#21 arrives at 1530144.030067823, sleeping for 0.017558895517140627 seconds
Request model_3#7 arrives at 1530144.047826367, sleeping for 0.1577742462977767 seconds
Request model_1#22 arrives at 1530144.206030433, sleeping for 0.09994977642782032 seconds
Request model_4#11 arrives at 1530144.307012963, sleeping for 0.2110486226156354 seconds
Request model_1#23 arrives at 1530144.519087724, sleeping for 0.026846374850720167 seconds
Request model_4#12 arrives at 1530144.546262961, sleeping for 0.37342462269589305 seconds
Request model_1#24 arrives at 1530144.9209778, sleeping for 0.4225488055963069 seconds
Request model_1#25 arrives at 1530145.344067832, sleeping for 0.05258832243271172 seconds
Request model_4#13 arrives at 1530145.398121217, sleeping for 0.2973064200486988 seconds
Request model_4#14 arrives at 1530145.696098463, sleeping for 0.2846951170358807 seconds
Request model_3#8 arrives at 1530145.981525572, sleeping for 0.1813403486739844 seconds
Request model_4#15 arrives at 1530146.164073208, sleeping for 0.025706594809889793 seconds
Request model_1#26 arrives at 1530146.190022498, sleeping for 0.01600315677933395 seconds
Request model_3#9 arrives at 1530146.206763934, sleeping for 0.2358243092894554 seconds
Request model_3#10 arrives at 1530146.444631453, sleeping for 0.07650264329276979 seconds
Request model_1#27 arrives at 1530146.521507906, sleeping for 0.025337106781080365 seconds
Request model_1#28 arrives at 1530146.547344306, sleeping for 0.12361218896694481 seconds
Request model_1#29 arrives at 1530146.67208265, sleeping for 0.2716602301225066 seconds
Request model_4#16 arrives at 1530146.944293938, sleeping for 0.30753756524063647 seconds
Request model_1#30 arrives at 1530147.25328418, sleeping for 0.20874743745662272 seconds
Request model_1#31 arrives at 1530147.463220296, sleeping for 0.09551307000219822 seconds
Request model_4#17 arrives at 1530147.559227582, sleeping for 0.06256226729601622 seconds
Request model_3#11 arrives at 1530147.62251451, sleeping for 0.07003102172166109 seconds
Request model_4#18 arrives at 1530147.693434533, sleeping for 0.05663623264990747 seconds
Request model_3#12 arrives at 1530147.750304676, sleeping for 0.004890330135822296 seconds
Request model_1#32 arrives at 1530147.756072157, sleeping for 0.09623912232927978 seconds
Request model_1#33 arrives at 1530147.852896008, sleeping for 0.044366342946887016 seconds
Request model_3#13 arrives at 1530147.897682649, sleeping for 0.062692477600649 seconds
Request model_1#34 arrives at 1530147.960849437, sleeping for 0.03107540076598525 seconds
Request model_1#35 arrives at 1530147.992643077, sleeping for 0.10340894223190844 seconds
Request model_1#36 arrives at 1530148.097495364, sleeping for 0.00020594103261828423 seconds
Request model_1#37 arrives at 1530148.097999068, sleeping for 0.007509446702897549 seconds
Request model_1#38 arrives at 1530148.105796942, sleeping for 0.21953796898014843 seconds
Request model_4#19 arrives at 1530148.326670253, sleeping for 0.08005028148181736 seconds
Request model_4#20 arrives at 1530148.407719576, sleeping for 0.0384528914000839 seconds
Request model_3#14 arrives at 1530148.446483715, sleeping for 0.2290223161689937 seconds
Request model_4#21 arrives at 1530148.67655504, sleeping for 0.021280689630657434 seconds
Request model_1#39 arrives at 1530148.698656403, sleeping for 0.12119339476339519 seconds
Request model_3#15 arrives at 1530148.82080241, sleeping for 0.21380302170291543 seconds
Request model_4#22 arrives at 1530149.034982705, sleeping for 0.0054612981621176004 seconds
Request model_1#40 arrives at 1530149.041239229, sleeping for 0.26028973306529224 seconds
Request model_4#23 arrives at 1530149.302876043, sleeping for 0.20276743662543595 seconds
Request model_3#16 arrives at 1530149.506933389, sleeping for 0.11111337877810001 seconds
Request model_1#41 arrives at 1530149.618876905, sleeping for 0.08422276936471462 seconds
Request model_1#42 arrives at 1530149.703737764, sleeping for 0.10467979055829346 seconds
Request model_1#43 arrives at 1530149.809625628, sleeping for 0.0314891217276454 seconds
Request model_1#44 arrives at 1530149.841473079, sleeping for 0.09715441334992647 seconds
Request model_1#45 arrives at 1530149.939452208, sleeping for 0.21206016070209444 seconds
Request model_1#46 arrives at 1530150.152369685, sleeping for 0.007071950007230043 seconds
Request model_1#47 arrives at 1530150.160146359, sleeping for 0.08134257700294256 seconds
Request model_4#24 arrives at 1530150.352680615, sleeping for 0.16937408735975623 seconds
Request model_3#17 arrives at 1530150.523057076, sleeping for 0.07643937435932457 seconds
Request model_1#48 arrives at 1530150.59991731, sleeping for 0.1275387976784259 seconds
Request model_1#49 arrives at 1530150.728476041, sleeping for 0.02321623428724706 seconds
Request model_3#18 arrives at 1530150.752503168, sleeping for 0.10308540984988213 seconds
Request model_1#50 arrives at 1530150.857442036, sleeping for 0.010673647280782461 seconds
Request model_1#51 arrives at 1530150.868328361, sleeping for 0.01707478449679911 seconds
Request model_1#52 arrives at 1530150.885831153, sleeping for 0.14084477862343192 seconds
Request model_1#53 arrives at 1530151.027735107, sleeping for 0.03552562580443919 seconds
Request model_1#54 arrives at 1530151.063636506, sleeping for 0.16058306698687375 seconds
Request model_4#25 arrives at 1530151.224634033, sleeping for 0.08855308778584003 seconds
Request model_1#55 arrives at 1530151.313742851, sleeping for 0.15664808568544686 seconds
Request model_1#56 arrives at 1530151.470938431, sleeping for 0.3201943594031036 seconds
Request model_1#57 arrives at 1530151.792141719, sleeping for 0.0030941811855882406 seconds
Request model_3#19 arrives at 1530151.796170087, sleeping for 0.03654586663469672 seconds
Request model_1#58 arrives at 1530151.833981149, sleeping for 0.021773021901026368 seconds
Request model_3#20 arrives at 1530151.856830978, sleeping for 0.2341616719495505 seconds
Request model_3#21 arrives at 1530152.091911719, sleeping for 0.05789342802017927 seconds
Request model_3#22 arrives at 1530152.150751577, sleeping for 0.06412554625421762 seconds
Request model_3#23 arrives at 1530152.215559546, sleeping for 0.033083651680499315 seconds
Request model_1#59 arrives at 1530152.249285021, sleeping for 0.5780585629399866 seconds
Request model_1#60 arrives at 1530152.827841024, sleeping for 0.017223966773599386 seconds
Request model_1#61 arrives at 1530152.845526847, sleeping for 0.03458455088548362 seconds
Request model_4#26 arrives at 1530152.881099533, sleeping for 0.16033093631267548 seconds
Request model_4#27 arrives at 1530153.04202186, sleeping for 0.280126656871289 seconds
Request model_1#62 arrives at 1530153.322421035, sleeping for 0.20662271045148373 seconds
Request model_4#28 arrives at 1530153.529482312, sleeping for 0.0229098794516176 seconds
Request model_3#24 arrives at 1530153.553274917, sleeping for 0.07376723131164908 seconds
Request model_4#29 arrives at 1530153.627906215, sleeping for 0.11981680220924318 seconds
Request model_1#63 arrives at 1530153.748700043, sleeping for 0.017391933361068368 seconds
Request model_4#30 arrives at 1530153.766390216, sleeping for 0.04551596869714558 seconds
Request model_3#25 arrives at 1530153.813019759, sleeping for 0.31679694983176887 seconds
Request model_4#31 arrives at 1530154.132134303, sleeping for 0.44396821735426784 seconds
Request model_3#26 arrives at 1530154.576830199, sleeping for 0.20586026064120233 seconds
Request model_1#64 arrives at 1530154.784927133, sleeping for 0.1464248273987323 seconds
Request model_3#27 arrives at 1530154.932258875, sleeping for 0.023189879721030593 seconds
Request model_4#32 arrives at 1530154.95607238, sleeping for 0.008042475674301386 seconds
Request model_3#28 arrives at 1530154.964832821, sleeping for 0.262925767339766 seconds
Request model_1#65 arrives at 1530155.228863133, sleeping for 0.0033136967103928328 seconds
Request model_1#66 arrives at 1530155.232681039, sleeping for 0.08049381338059902 seconds
Request model_4#33 arrives at 1530155.31342127, sleeping for 0.021152303321287036 seconds
Request model_1#67 arrives at 1530155.33511582, sleeping for 0.09016526816412807 seconds
Request model_4#34 arrives at 1530155.425807289, sleeping for 0.15994339203462005 seconds
Request model_1#68 arrives at 1530155.586695846, sleeping for 0.03195661911740899 seconds
Request model_1#69 arrives at 1530155.61900008, sleeping for 0.13426944962702692 seconds
Request model_3#29 arrives at 1530155.754894663, sleeping for 0.008744627237319946 seconds
Request model_1#70 arrives at 1530155.763813795, sleeping for 0.16608804976567626 seconds
Request model_3#30 arrives at 1530155.930677563, sleeping for 0.013284794054925442 seconds
Request model_1#71 arrives at 1530155.945487315, sleeping for 0.13297445815987885 seconds
Request model_1#72 arrives at 1530156.079381035, sleeping for 0.13449721550568938 seconds
Request model_1#73 arrives at 1530156.21558968, sleeping for 0.07310321065597236 seconds
Request model_1#74 arrives at 1530156.289672564, sleeping for 0.07763307285495102 seconds
Request model_1#75 arrives at 1530156.367595565, sleeping for 0.12483787373639643 seconds
Request model_4#35 arrives at 1530156.493449678, sleeping for 0.1711365613155067 seconds
Request model_4#36 arrives at 1530156.665079379, sleeping for 0.05736032756976783 seconds
Request model_1#76 arrives at 1530156.723217662, sleeping for 0.027853470761328936 seconds
Request model_3#31 arrives at 1530156.751918831, sleeping for 0.09455199725925922 seconds
Request model_4#37 arrives at 1530156.846697949, sleeping for 0.015812999568879604 seconds
Request model_1#77 arrives at 1530156.863439796, sleeping for 0.02389393257908523 seconds
Request model_1#78 arrives at 1530156.888219648, sleeping for 0.12567020952701569 seconds
Request model_1#79 arrives at 1530157.014972207, sleeping for 0.12745807343162596 seconds
Request model_4#38 arrives at 1530157.142949865, sleeping for 0.04397051711566746 seconds
Request model_1#80 arrives at 1530157.187932917, sleeping for 0.06569931423291564 seconds
Request model_1#81 arrives at 1530157.253797105, sleeping for 0.1164908530190587 seconds
Request model_4#39 arrives at 1530157.370653376, sleeping for 0.054189814953133464 seconds
Request model_1#82 arrives at 1530157.425496366, sleeping for 0.007563973311334848 seconds
Request model_1#83 arrives at 1530157.43324075, sleeping for 0.008938982151448727 seconds
Request model_1#84 arrives at 1530157.443918974, sleeping for 0.3606798490509391 seconds
Request model_1#85 arrives at 1530157.805926947, sleeping for 0.1534121222794056 seconds
Request model_1#86 arrives at 1530157.959889125, sleeping for 0.0968855528626591 seconds
Request model_3#32 arrives at 1530158.057934025, sleeping for 0.07660801126621664 seconds
Request model_1#87 arrives at 1530158.135256372, sleeping for 0.0810326337814331 seconds
Request model_4#40 arrives at 1530158.217192241, sleeping for 0.04307504463940859 seconds
Request model_3#33 arrives at 1530158.261041235, sleeping for 0.18099183216691017 seconds
Request model_3#34 arrives at 1530158.443103559, sleeping for 0.1489428069908172 seconds
Request model_1#88 arrives at 1530158.593033929, sleeping for 0.062253769719973207 seconds
Request model_3#35 arrives at 1530158.655833726, sleeping for 0.05916224233806133 seconds
Request model_3#36 arrives at 1530158.716724498, sleeping for 0.19767693686299026 seconds
Request model_3#37 arrives at 1530158.915599888, sleeping for 0.06407418963499367 seconds
Request model_1#89 arrives at 1530158.98065201, sleeping for 0.046192338690161705 seconds
Request model_1#90 arrives at 1530159.027418415, sleeping for 0.11516286642290652 seconds
Request model_1#91 arrives at 1530159.143285229, sleeping for 0.18178726243786514 seconds
Request model_3#38 arrives at 1530159.32640462, sleeping for 0.08513330132700503 seconds
Request model_1#92 arrives at 1530159.412630499, sleeping for 0.20236894045956433 seconds
Request model_1#93 arrives at 1530159.616064121, sleeping for 0.12457047565840185 seconds
Request model_4#41 arrives at 1530159.741728073, sleeping for 0.39040432777255774 seconds
Request model_1#94 arrives at 1530160.132907748, sleeping for 0.040594341699033976 seconds
Request model_1#95 arrives at 1530160.173831862, sleeping for 0.012610169593244791 seconds
Request model_1#96 arrives at 1530160.186641281, sleeping for 0.04332164139486849 seconds
Request model_4#42 arrives at 1530160.230587826, sleeping for 0.23277849052101374 seconds
Request model_1#97 arrives at 1530160.46449424, sleeping for 0.03179578762501478 seconds
Request model_1#98 arrives at 1530160.497191047, sleeping for 0.01955482317134738 seconds
Request model_1#99 arrives at 1530160.516938564, sleeping for 0.049572962103411555 seconds
Request model_4#43 arrives at 1530160.567645986, sleeping for 0.27651934628374875 seconds
Request model_1#100 arrives at 1530160.844650989, sleeping for 0.036266159266233444 seconds
Request model_1#101 arrives at 1530160.882367711, sleeping for 0.11405159998685122 seconds
Request model_3#39 arrives at 1530160.997286849, sleeping for 0.08759621065109968 seconds
Request model_3#40 arrives at 1530161.086082455, sleeping for 0.18744052993133664 seconds
Request model_4#44 arrives at 1530161.273817328, sleeping for 0.28750378894619644 seconds
Request model_3#41 arrives at 1530161.562710754, sleeping for 0.3387248662766069 seconds
Request model_4#45 arrives at 1530161.901938909, sleeping for 0.010676146717742085 seconds
Request model_4#46 arrives at 1530161.912773955, sleeping for 0.1255015500355512 seconds
Request model_3#42 arrives at 1530162.038581728, sleeping for 0.04151045763865113 seconds
Request model_3#43 arrives at 1530162.080372608, sleeping for 0.005711669800803065 seconds
Request model_1#102 arrives at 1530162.087170546, sleeping for 0.08987279678694904 seconds
Request model_1#103 arrives at 1530162.178051166, sleeping for 0.24584685103036463 seconds
Request model_4#47 arrives at 1530162.424268896, sleeping for 0.07277289079502225 seconds
Request model_4#48 arrives at 1530162.49825787, sleeping for 0.2960710737388581 seconds
Request model_1#104 arrives at 1530162.795577434, sleeping for 0.07396583654917777 seconds
Request model_4#49 arrives at 1530162.869813949, sleeping for 0.14428691403008997 seconds
Request model_1#105 arrives at 1530163.015872143, sleeping for 0.17487609875388443 seconds
Request model_4#50 arrives at 1530163.193002924, sleeping for 0.005163515917956829 seconds
Request model_1#106 arrives at 1530163.198894014, sleeping for 0.29243099712766707 seconds
Request model_1#107 arrives at 1530163.491969369, sleeping for 0.01631079730577767 seconds
Request model_4#51 arrives at 1530163.508755536, sleeping for 0.2587295591365546 seconds
Request model_4#52 arrives at 1530163.767787954, sleeping for 0.04631000035442412 seconds
Request model_1#108 arrives at 1530163.81475707, sleeping for 0.31742412131279707 seconds
Request model_4#53 arrives at 1530164.133212172, sleeping for 0.17030068556778133 seconds
Request model_1#109 arrives at 1530164.304518252, sleeping for 0.0868980921804905 seconds
Request model_3#44 arrives at 1530164.391623226, sleeping for 0.014140864135697484 seconds
Request model_1#110 arrives at 1530164.406778872, sleeping for 0.21453605103306472 seconds
Request model_1#111 arrives at 1530164.621689364, sleeping for 0.1549903773702681 seconds
