Real trace file: /workspace/prism-exp/exp/workloads/paper-faithful-v4/bursty_r8_s3.pkl
[PRISM_DIRECT] 3372 requests, span 419.5s
Starting TP benchmark: tp-aa-paper_r8_s3
Generated 3372 requests
Request model_2#0 arrives at 1571562.91140958, sleeping for 0.08008104120381176 seconds
Request model_5#0 arrives at 1571562.992666472, sleeping for 0.023808248108252883 seconds
Request model_1#0 arrives at 1571563.01722075, sleeping for 0.10060169012285769 seconds
Request model_3#0 arrives at 1571563.118446194, sleeping for 0.09775702259503305 seconds
Request model_2#1 arrives at 1571563.216783737, sleeping for 0.026916913455352187 seconds
Request model_6#0 arrives at 1571563.244722041, sleeping for 0.18286381755024195 seconds
Request model_6#1 arrives at 1571563.428110745, sleeping for 0.4996356242336333 seconds
Request model_6#2 arrives at 1571563.928883487, sleeping for 0.04495166032575071 seconds
Request model_5#1 arrives at 1571563.974153704, sleeping for 0.5782924676313996 seconds
Request model_3#1 arrives at 1571564.553524548, sleeping for 0.22246228158473969 seconds
Request model_1#1 arrives at 1571564.777360841, sleeping for 0.12995301000773907 seconds
Request model_6#3 arrives at 1571564.907667479, sleeping for 0.16538718063384295 seconds
Request model_2#2 arrives at 1571565.073784341, sleeping for 0.04850032017566264 seconds
Request model_2#3 arrives at 1571565.122699475, sleeping for 0.21662339242175221 seconds
Request model_1#2 arrives at 1571565.340131349, sleeping for 0.585166901582852 seconds
Request model_3#2 arrives at 1571565.926526778, sleeping for 0.02217921824194491 seconds
Request model_6#4 arrives at 1571565.949238301, sleeping for 0.12923693377524614 seconds
Request model_6#5 arrives at 1571566.079007424, sleeping for 0.022924038348719478 seconds
Request model_6#6 arrives at 1571566.102657276, sleeping for 0.22870759293437004 seconds
Request model_6#7 arrives at 1571566.333278101, sleeping for 0.08175296662375331 seconds
Request model_6#8 arrives at 1571566.416186275, sleeping for 0.07681908435188234 seconds
Request model_6#9 arrives at 1571566.494030561, sleeping for 0.215195890981704 seconds
Request model_3#3 arrives at 1571566.710553809, sleeping for 0.005449227290228009 seconds
Request model_6#10 arrives at 1571566.717077128, sleeping for 0.08101924601942301 seconds
Request model_3#4 arrives at 1571566.798709953, sleeping for 0.21470464882440865 seconds
Request model_3#5 arrives at 1571567.014697557, sleeping for 0.18748815194703639 seconds
Request model_6#11 arrives at 1571567.202843686, sleeping for 0.0073896346148103476 seconds
Request model_3#6 arrives at 1571567.211430273, sleeping for 0.11221056990325451 seconds
Request model_1#3 arrives at 1571567.3247879, sleeping for 0.09595491364598274 seconds
Request model_6#12 arrives at 1571567.4214408, sleeping for 0.13899285509251058 seconds
Request model_6#13 arrives at 1571567.560718786, sleeping for 0.2270962819457054 seconds
Request model_6#14 arrives at 1571567.788713291, sleeping for 0.03507962147705257 seconds
Request model_3#7 arrives at 1571567.824483585, sleeping for 0.05184134352020919 seconds
Request model_3#8 arrives at 1571567.877051507, sleeping for 0.016902563162148 seconds
Request model_6#15 arrives at 1571567.894538401, sleeping for 0 seconds
Request model_3#9 arrives at 1571567.895096885, sleeping for 0.005754510406404734 seconds
Request model_3#10 arrives at 1571567.901444844, sleeping for 0.026472094003111124 seconds
Request model_6#16 arrives at 1571567.929194966, sleeping for 0.059719240525737405 seconds
Request model_3#11 arrives at 1571567.989963891, sleeping for 0.19833514047786593 seconds
Request model_1#4 arrives at 1571568.188926164, sleeping for 0.0765327881090343 seconds
Request model_3#12 arrives at 1571568.265821573, sleeping for 0.09755770326592028 seconds
Request model_2#4 arrives at 1571568.363929364, sleeping for 0.06566556822508574 seconds
Request model_2#5 arrives at 1571568.430778096, sleeping for 0.09786715754307806 seconds
Request model_1#5 arrives at 1571568.529255659, sleeping for 0.12451284378767014 seconds
Request model_5#2 arrives at 1571568.65477826, sleeping for 0.2601694483309984 seconds
Request model_3#13 arrives at 1571568.91594685, sleeping for 0.25565632642246783 seconds
Request model_3#14 arrives at 1571569.172498003, sleeping for 0.09766192617826164 seconds
Request model_3#15 arrives at 1571569.270392072, sleeping for 0.12644759682007134 seconds
Request model_6#17 arrives at 1571569.397337734, sleeping for 0.27410949277691543 seconds
Request model_6#18 arrives at 1571569.672828323, sleeping for 0.05247705616056919 seconds
Request model_1#6 arrives at 1571569.72604095, sleeping for 0.09262152807787061 seconds
Request model_1#7 arrives at 1571569.819342974, sleeping for 0.5876115090213716 seconds
Request model_6#19 arrives at 1571570.408218322, sleeping for 0.01905641984194517 seconds
Request model_2#6 arrives at 1571570.428572678, sleeping for 0.06773608084768057 seconds
Request model_6#20 arrives at 1571570.497736637, sleeping for 0.14596189791336656 seconds
Request model_3#16 arrives at 1571570.645225276, sleeping for 0.07596899988129735 seconds
Request model_6#21 arrives at 1571570.72149192, sleeping for 0.054101582150906324 seconds
Request model_3#17 arrives at 1571570.776669172, sleeping for 0.06510236323811114 seconds
Request model_3#18 arrives at 1571570.842014713, sleeping for 0.1270717668812722 seconds
Request model_1#8 arrives at 1571570.969919601, sleeping for 0.0703007832635194 seconds
Request model_3#19 arrives at 1571571.040876065, sleeping for 0.055117294657975435 seconds
Request model_3#20 arrives at 1571571.096750392, sleeping for 0.10284486901946366 seconds
Request model_6#22 arrives at 1571571.200241595, sleeping for 0.0424888632260263 seconds
Request model_3#21 arrives at 1571571.243011662, sleeping for 0.044421122409403324 seconds
Request model_3#22 arrives at 1571571.287756204, sleeping for 0.019762920681387186 seconds
Request model_1#9 arrives at 1571571.308551804, sleeping for 0.05124362208880484 seconds
Request model_5#3 arrives at 1571571.360547102, sleeping for 0.11581674357876182 seconds
Request model_3#23 arrives at 1571571.477129384, sleeping for 0.008179840398952365 seconds
Request model_6#23 arrives at 1571571.48572428, sleeping for 0.24835241260007024 seconds
Request model_6#24 arrives at 1571571.735013008, sleeping for 0.29708451637998223 seconds
Request model_3#24 arrives at 1571572.033527343, sleeping for 0.1804983955807984 seconds
Request model_6#25 arrives at 1571572.214496368, sleeping for 0.17977345129474998 seconds
Request model_6#26 arrives at 1571572.39495506, sleeping for 0.26120019517838955 seconds
Request model_1#10 arrives at 1571572.65632131, sleeping for 0.08879289263859391 seconds
Request model_6#27 arrives at 1571572.745518903, sleeping for 0.02890234300866723 seconds
Request model_1#11 arrives at 1571572.775512143, sleeping for 0.09965147939510643 seconds
Request model_1#12 arrives at 1571572.875353937, sleeping for 0.10778032802045345 seconds
Request model_6#28 arrives at 1571572.983414094, sleeping for 0.08555223769508302 seconds
Request model_3#25 arrives at 1571573.069370082, sleeping for 0.008304978720843792 seconds
