1787288435.901122031 0, 37193, 0;1, 31021, 0;2, 20125, 1;3, 10721, 0;
1787288439.007161554 0, 37957, 21;1, 31127, 8;2, 20767, 15;3, 10721, 0;
1787288442.880803974 0, 37957, 65;1, 31309, 36;2, 20879, 45;3, 10721, 0;
1787288445.489439182 0, 37957, 7;1, 31463, 31;2, 21171, 15;3, 10721, 0;
1787288449.384332776 0, 38021, 39;1, 31575, 99;2, 21597, 58;3, 10721, 0;
1787288451.972805311 0, 38021, 98;1, 31575, 99;2, 21821, 69;3, 10721, 0;
1787288454.689296376 0, 38021, 12;1, 32027, 20;2, 22175, 13;3, 10721, 0;
1787288459.138880641 0, 38257, 100;1, 32139, 19;2, 22447, 2;3, 10721, 0;
1787288462.149010006 0, 39077, 57;1, 32139, 18;2, 22833, 20;3, 10721, 0;
1787288465.291838019 0, 39077, 0;1, 32363, 0;2, 23007, 25;3, 10721, 0;
1787288467.963423354 0, 39077, 98;1, 32475, 99;2, 23679, 91;3, 10721, 0;
1787288470.627489512 0, 41259, 18;1, 32475, 2;2, 23791, 14;3, 12919, 0;
1787288474.651741226 0, 41355, 17;1, 32631, 10;2, 24103, 0;3, 13221, 0;
1787288477.309716010 0, 41897, 99;1, 32743, 98;2, 24439, 99;3, 13541, 8;
1787288480.067501287 0, 41899, 25;1, 32743, 26;2, 24441, 15;3, 13543, 12;
1787288484.085844069 0, 41899, 47;1, 32855, 21;2, 24441, 66;3, 13543, 36;
1787288486.793868888 0, 41899, 15;1, 33063, 19;2, 24671, 26;3, 13543, 20;
1787288490.865669922 0, 40257, 63;1, 33063, 36;2, 22809, 73;3, 13543, 73;
1787288493.504618593 0, 40917, 3;1, 33063, 27;2, 22809, 5;3, 13543, 12;
1787288497.509769899 0, 41669, 83;1, 33063, 54;2, 22809, 71;3, 13543, 25;
1787288500.198310962 0, 41925, 98;1, 33063, 98;2, 22809, 45;3, 13543, 76;
1787288502.863048192 0, 41925, 67;1, 33063, 12;2, 22361, 8;3, 13543, 0;
1787288506.891872313 0, 42053, 80;1, 33063, 99;2, 22249, 55;3, 13543, 0;
1787288509.554745911 0, 42197, 12;1, 33063, 0;2, 21689, 0;3, 13541, 0;
1787288513.243384857 0, 43015, 0;1, 33235, 19;2, 21841, 0;3, 20689, 0;
1787288516.245516526 0, 43227, 15;1, 32839, 12;2, 21129, 4;3, 21401, 2;
1787288519.807965058 0, 43609, 7;1, 32839, 24;2, 21129, 4;3, 21451, 8;
