Real trace file: /workspace/prism-exp/exp/workloads/paper-faithful-v4/bursty_r8_s1.pkl
[PRISM_DIRECT] 3387 requests, span 419.6s
Starting TP benchmark: tp-aa-strict_r8_s1
Generated 3387 requests
Request model_5#0 arrives at 1570787.905112109, sleeping for 0.19896395620889962 seconds
Request model_2#0 arrives at 1570788.10441349, sleeping for 0.1781555770430714 seconds
Request model_2#1 arrives at 1570788.283064186, sleeping for 0.0356478460598737 seconds
Request model_2#2 arrives at 1570788.32101566, sleeping for 0.08712097094394267 seconds
Request model_5#1 arrives at 1570788.410376188, sleeping for 0.08133828151039779 seconds
Request model_2#3 arrives at 1570788.492774795, sleeping for 0.1321232751943171 seconds
Request model_2#4 arrives at 1570788.625466847, sleeping for 0.09851070214062929 seconds
Request model_5#2 arrives at 1570788.724998442, sleeping for 0.06632336252368987 seconds
Request model_2#5 arrives at 1570788.792362436, sleeping for 0.03196689719334245 seconds
Request model_2#6 arrives at 1570788.824708197, sleeping for 0.2530275711324066 seconds
Request model_2#7 arrives at 1570789.078253414, sleeping for 0.3893832683097571 seconds
Request model_5#3 arrives at 1570789.469222548, sleeping for 0.14793647243641317 seconds
Request model_2#8 arrives at 1570789.617960061, sleeping for 0.1353891883045435 seconds
Request model_3#0 arrives at 1570789.754421822, sleeping for 0.700792437652126 seconds
Request model_5#4 arrives at 1570790.456151871, sleeping for 0.04577585915103555 seconds
Request model_3#1 arrives at 1570790.502421377, sleeping for 0.011988973477855325 seconds
Request model_3#2 arrives at 1570790.515485065, sleeping for 0.044603800401091576 seconds
Request model_2#9 arrives at 1570790.560591342, sleeping for 0.20614654663950205 seconds
Request model_5#5 arrives at 1570790.768938801, sleeping for 0.13744025118649006 seconds
Request model_2#10 arrives at 1570790.907541328, sleeping for 0.11895733512938023 seconds
Request model_2#11 arrives at 1570791.028119579, sleeping for 0.06352818734012544 seconds
Request model_2#12 arrives at 1570791.092550202, sleeping for 0.046799340983852744 seconds
Request model_2#13 arrives at 1570791.139751385, sleeping for 0.16227467101998627 seconds
Request model_2#14 arrives at 1570791.303025186, sleeping for 0.04294843878597021 seconds
Request model_2#15 arrives at 1570791.347205257, sleeping for 0.0612691470887512 seconds
Request model_3#3 arrives at 1570791.409626084, sleeping for 0.03727190173231065 seconds
Request model_3#4 arrives at 1570791.448128371, sleeping for 0.2110274606384337 seconds
Request model_2#16 arrives at 1570791.66048715, sleeping for 0.08637748192995787 seconds
Request model_2#17 arrives at 1570791.748032745, sleeping for 0 seconds
Request model_2#18 arrives at 1570791.748884962, sleeping for 0.0022412645630538464 seconds
Request model_5#6 arrives at 1570791.751879614, sleeping for 0.37602792493999004 seconds
Request model_2#19 arrives at 1570792.129054776, sleeping for 0.0806763181462884 seconds
Request model_2#20 arrives at 1570792.210669156, sleeping for 0.33037716383114457 seconds
Request model_2#21 arrives at 1570792.542531049, sleeping for 0.053471608087420464 seconds
Request model_2#22 arrives at 1570792.597067257, sleeping for 0.023937972728163004 seconds
Request model_2#23 arrives at 1570792.62151978, sleeping for 0.09079716145060956 seconds
Request model_6#0 arrives at 1570792.712893174, sleeping for 0.1521245378535241 seconds
Request model_2#24 arrives at 1570792.865444775, sleeping for 0.3110736121889204 seconds
Request model_2#25 arrives at 1570793.178042094, sleeping for 0.11427528411149979 seconds
Request model_2#26 arrives at 1570793.292953884, sleeping for 0.26093418477103114 seconds
Request model_2#27 arrives at 1570793.55442668, sleeping for 0.04332780744880438 seconds
Request model_2#28 arrives at 1570793.598942133, sleeping for 0.23541526193730533 seconds
Request model_3#5 arrives at 1570793.835388382, sleeping for 0.22155194031074643 seconds
Request model_3#6 arrives at 1570794.057605455, sleeping for 0.09493133705109358 seconds
Request model_2#29 arrives at 1570794.153057599, sleeping for 0.039061641320586205 seconds
Request model_2#30 arrives at 1570794.193184679, sleeping for 0.10554026090539992 seconds
Request model_3#7 arrives at 1570794.299037521, sleeping for 0.062198406318202615 seconds
Request model_2#31 arrives at 1570794.362059732, sleeping for 0.07132964860647917 seconds
Request model_2#32 arrives at 1570794.433674618, sleeping for 0.02470752177760005 seconds
Request model_5#7 arrives at 1570794.459108509, sleeping for 0.01883319951593876 seconds
Request model_2#33 arrives at 1570794.47932626, sleeping for 0.004862586734816432 seconds
Request model_6#1 arrives at 1570794.484594079, sleeping for 0.09186703222803771 seconds
Request model_2#34 arrives at 1570794.577593726, sleeping for 0.08646991266869009 seconds
Request model_2#35 arrives at 1570794.66509197, sleeping for 0.07465178985148668 seconds
Request model_2#36 arrives at 1570794.740721716, sleeping for 0.27483323379419744 seconds
Request model_6#2 arrives at 1570795.016284788, sleeping for 0.19390632980503142 seconds
Request model_2#37 arrives at 1570795.211022835, sleeping for 0.2638029735535383 seconds
Request model_2#38 arrives at 1570795.475811936, sleeping for 0.05869437847286463 seconds
Request model_2#39 arrives at 1570795.535312182, sleeping for 0.12848862004466355 seconds
Request model_2#40 arrives at 1570795.664944881, sleeping for 0.036062778206542134 seconds
Request model_2#41 arrives at 1570795.701516195, sleeping for 0.022801229264587164 seconds
Request model_5#8 arrives at 1570795.725524405, sleeping for 0.02753006061539054 seconds
Request model_2#42 arrives at 1570795.754623663, sleeping for 0.01941734622232616 seconds
Request model_2#43 arrives at 1570795.775363258, sleeping for 0.08259105938486755 seconds
Request model_2#44 arrives at 1570795.859346286, sleeping for 0.11545418342575431 seconds
Request model_5#9 arrives at 1570795.975962379, sleeping for 0.06858957326039672 seconds
Request model_2#45 arrives at 1570796.04560053, sleeping for 0.2129153546411544 seconds
Request model_2#46 arrives at 1570796.259537801, sleeping for 0.025097203673794866 seconds
Request model_5#10 arrives at 1570796.28484589, sleeping for 0.07247666176408529 seconds
