1787251915.586233467 0, 39121, 1;1, 32305, 0;2, 21405, 0;3, 10721, 0;
1787251918.955039101 0, 39877, 7;1, 32457, 21;2, 22047, 6;3, 10721, 0;
1787251921.991259574 0, 39877, 24;1, 32477, 23;2, 22047, 23;3, 10721, 0;
1787251925.291400373 0, 39877, 21;1, 32589, 14;2, 22313, 26;3, 10721, 0;
1787251928.568267424 0, 39941, 0;1, 32855, 13;2, 22859, 7;3, 10721, 0;
1787251931.053559509 0, 39941, 22;1, 32855, 10;2, 23083, 28;3, 10721, 0;
1787251934.456796225 0, 39941, 35;1, 33307, 26;2, 23419, 19;3, 10721, 0;
1787251937.934410370 0, 40057, 20;1, 33419, 20;2, 23595, 26;3, 10721, 0;
1787251941.173748724 0, 40501, 21;1, 33419, 31;2, 24043, 10;3, 10721, 0;
1787251944.277764065 0, 40995, 29;1, 33539, 39;2, 24155, 12;3, 10721, 0;
1787251947.236607647 0, 40995, 13;1, 33643, 16;2, 24397, 18;3, 10721, 0;
1787251950.670879630 0, 43835, 1;1, 33643, 0;2, 25143, 12;3, 13561, 0;
1787251953.506410810 0, 44393, 15;1, 33687, 28;2, 25815, 31;3, 14119, 0;
1787251956.551467850 0, 44393, 37;1, 33799, 13;2, 25815, 19;3, 14119, 25;
1787251959.834458897 0, 44393, 100;1, 33799, 97;2, 25815, 97;3, 14119, 70;
1787251962.434016544 0, 44393, 39;1, 33799, 20;2, 25815, 33;3, 14119, 21;
1787251964.994985657 0, 41673, 43;1, 33879, 34;2, 23097, 17;3, 14119, 5;
1787251967.553932314 0, 41673, 18;1, 34049, 23;2, 23097, 9;3, 14119, 6;
1787251971.204712390 0, 41727, 100;1, 34049, 97;2, 23097, 64;3, 14119, 57;
1787251973.677652510 0, 41989, 33;1, 34051, 20;2, 22425, 5;3, 14119, 6;
1787251976.601108031 0, 42657, 11;1, 34051, 22;2, 22425, 6;3, 14119, 6;
1787251979.985833736 0, 43055, 22;1, 34223, 10;2, 22241, 8;3, 21769, 0;
1787251983.776805793 0, 43343, 15;1, 34051, 28;2, 21417, 0;3, 22645, 0;
1787251987.063484529 0, 43569, 10;1, 33939, 11;2, 21417, 0;3, 22645, 4;
1787251990.269676859 0, 44137, 34;1, 33939, 24;2, 21417, 21;3, 22645, 18;
1787251992.955388454 0, 44547, 59;1, 33939, 29;2, 21417, 9;3, 22645, 20;
1787251995.869222671 0, 43977, 20;1, 33939, 10;2, 21417, 8;3, 22667, 8;
1787251999.312734825 0, 36119, 88;1, 33939, 98;2, 21417, 54;3, 22667, 28;
1787252002.055822448 0, 36247, 29;1, 33939, 3;2, 21417, 11;3, 22667, 11;
1787252005.017159718 0, 36247, 9;1, 33939, 8;2, 21417, 14;3, 22691, 4;
1787252008.065137620 0, 36247, 18;1, 33939, 32;2, 21417, 8;3, 22691, 16;
1787252011.270023520 0, 36247, 8;1, 34139, 23;2, 20969, 10;3, 22691, 7;
1787252014.517107753 0, 36247, 52;1, 34139, 97;2, 20969, 48;3, 22691, 0;
1787252016.965783657 0, 33573, 25;1, 34139, 30;2, 20969, 5;3, 19847, 31;
1787252020.016806122 0, 33749, 17;1, 34139, 17;2, 20969, 11;3, 19847, 0;
1787252023.227831469 0, 33749, 13;1, 34139, 18;2, 20969, 7;3, 19879, 7;
1787252026.115127193 0, 33749, 22;1, 34139, 33;2, 20969, 3;3, 19879, 4;
1787252028.707150312 0, 33493, 21;1, 34141, 20;2, 20857, 7;3, 19879, 4;
1787252031.772421706 0, 33365, 14;1, 34141, 13;2, 20857, 9;3, 20149, 15;
1787252034.984088948 0, 33365, 8;1, 34141, 20;2, 20857, 3;3, 20379, 9;
1787252038.071524241 0, 32469, 12;1, 34141, 35;2, 20511, 0;3, 20381, 12;
1787252041.671303747 0, 32469, 12;1, 34141, 12;2, 20409, 10;3, 20381, 8;
