cycle,timestamp,model,tp_size,current_gpus,planned_gpus,planned_collides
1,1787235995.75625,model_5,1,0,0,0
1,1787235995.75625,model_1,2,2|3,2|3,0
1,1787235995.75625,model_2,1,1,1,0
1,1787235995.75625,model_3,1,2,2,0
1,1787235995.75625,model_4,1,0,0,0
1,1787235995.75625,model_6,1,1,1,0
2,1787236000.7613132,model_3,1,2,2,0
2,1787236000.7613132,model_2,1,1,1,0
2,1787236000.7613132,model_5,1,0,0,0
2,1787236000.7613132,model_6,1,1,1,0
2,1787236000.7613132,model_1,2,2|3,2|3,0
2,1787236000.7613132,model_4,1,0,0,0
3,1787236005.770723,model_2,1,1,1,0
3,1787236005.770723,model_5,1,0,0,0
3,1787236005.770723,model_3,1,2,2,0
3,1787236005.770723,model_6,1,1,1,0
3,1787236005.770723,model_1,2,2|3,2|3,0
3,1787236005.770723,model_4,1,0,0,0
4,1787236010.9538975,model_2,1,1,1,0
4,1787236010.9538975,model_3,1,2,2,0
4,1787236010.9538975,model_5,1,0,0,0
4,1787236010.9538975,model_6,1,1,1,0
4,1787236010.9538975,model_1,2,2|3,2|3,0
4,1787236010.9538975,model_4,1,0,0,0
5,1787236016.2005992,model_3,1,2,2,0
5,1787236016.2005992,model_2,1,1,1,0
5,1787236016.2005992,model_5,1,0,0,0
5,1787236016.2005992,model_6,1,1,1,0
5,1787236016.2005992,model_1,2,2|3,2|3,0
5,1787236016.2005992,model_4,1,0,0,0
6,1787236021.4796517,model_2,1,1,1,0
6,1787236021.4796517,model_3,1,2,2,0
6,1787236021.4796517,model_5,1,0,0,0
6,1787236021.4796517,model_6,1,1,1,0
6,1787236021.4796517,model_1,2,2|3,2|3,0
6,1787236021.4796517,model_4,1,0,0,0
7,1787236026.7285483,model_2,1,1,1,0
7,1787236026.7285483,model_5,1,0,0,0
7,1787236026.7285483,model_3,1,2,2,0
7,1787236026.7285483,model_6,1,1,1,0
7,1787236026.7285483,model_1,2,2|3,2|3,0
7,1787236026.7285483,model_4,1,0,0,0
8,1787236031.98586,model_2,1,1,1,0
8,1787236031.98586,model_5,1,0,0,0
8,1787236031.98586,model_3,1,2,2,0
8,1787236031.98586,model_6,1,1,1,0
8,1787236031.98586,model_1,2,2|3,2|3,0
8,1787236031.98586,model_4,1,0,0,0
9,1787236037.0001707,model_2,1,1,1,0
9,1787236037.0001707,model_5,1,0,0,0
9,1787236037.0001707,model_3,1,2,2,0
9,1787236037.0001707,model_6,1,1,1,0
9,1787236037.0001707,model_1,2,2|3,2|3,0
9,1787236037.0001707,model_4,1,0,0,0
10,1787236042.0418074,model_5,1,0,0,0
10,1787236042.0418074,model_2,1,1,1,0
10,1787236042.0418074,model_3,1,2,2,0
10,1787236042.0418074,model_1,2,2|3,2|3,0
10,1787236042.0418074,model_6,1,1,1,0
10,1787236042.0418074,model_4,1,0,0,0
11,1787236047.469953,model_5,1,0,0,0
11,1787236047.469953,model_2,1,1,1,0
11,1787236047.469953,model_3,1,2,2,0
11,1787236047.469953,model_1,2,2|3,2|3,0
11,1787236047.469953,model_4,1,0,0,0
11,1787236047.469953,model_6,1,1,1,0
12,1787236052.546862,model_5,1,0,0,0
12,1787236052.546862,model_2,1,1,1,0
12,1787236052.546862,model_1,2,2|3,2|3,0
12,1787236052.546862,model_3,1,2,2,0
12,1787236052.546862,model_4,1,0,0,0
12,1787236052.546862,model_6,1,1,1,0
13,1787236057.7696667,model_5,1,0,0,0
13,1787236057.7696667,model_1,2,2|3,2|3,0
13,1787236057.7696667,model_4,1,0,1,0
13,1787236057.7696667,model_2,1,1,1,0
13,1787236057.7696667,model_3,1,2,2,0
13,1787236057.7696667,model_6,1,1,1,0
14,1787236062.7878954,model_5,1,0,0,0
14,1787236062.7878954,model_1,2,2|3,2|3,0
14,1787236062.7878954,model_4,1,0,1,0
14,1787236062.7878954,model_3,1,2,2,0
14,1787236062.7878954,model_2,1,1,1,0
14,1787236062.7878954,model_6,1,1,1,0
15,1787236067.8720737,model_5,1,0,0,0
15,1787236067.8720737,model_1,2,2|3,2|3,0
15,1787236067.8720737,model_4,1,0,1,0
15,1787236067.8720737,model_3,1,2,2,0
15,1787236067.8720737,model_2,1,1,1,0
15,1787236067.8720737,model_6,1,1,1,0
16,1787236072.891958,model_5,1,0,0,0
16,1787236072.891958,model_1,2,2|3,2|3,0
16,1787236072.891958,model_4,1,0,1,0
16,1787236072.891958,model_3,1,2,2,0
16,1787236072.891958,model_2,1,1,1,0
16,1787236072.891958,model_6,1,1,1,0
17,1787236078.1698625,model_5,1,0,0,0
17,1787236078.1698625,model_4,1,0,1,0
17,1787236078.1698625,model_1,2,2|3,2|3,0
17,1787236078.1698625,model_3,1,2,2,0
17,1787236078.1698625,model_2,1,1,1,0
17,1787236078.1698625,model_6,1,1,1,0
18,1787236083.4202394,model_5,1,0,0,0
18,1787236083.4202394,model_1,2,2|3,2|3,0
18,1787236083.4202394,model_4,1,0,1,0
18,1787236083.4202394,model_3,1,2,2,0
18,1787236083.4202394,model_2,1,1,1,0
18,1787236083.4202394,model_6,1,1,1,0
19,1787236088.4421356,model_5,1,0,0,0
19,1787236088.4421356,model_1,2,2|3,2|3,0
19,1787236088.4421356,model_4,1,0,1,0
19,1787236088.4421356,model_3,1,2,2,0
19,1787236088.4421356,model_2,1,1,1,0
20,1787236093.5717432,model_5,1,0,0,0
20,1787236093.5717432,model_1,2,2|3,2|3,0
20,1787236093.5717432,model_4,1,1,1,0
20,1787236093.5717432,model_3,1,2,2,0
20,1787236093.5717432,model_2,1,1,1,0
21,1787236098.6312523,model_5,1,0,0,0
21,1787236098.6312523,model_1,2,2|3,2|3,0
21,1787236098.6312523,model_4,1,1,1,0
21,1787236098.6312523,model_3,1,2,2,0
21,1787236098.6312523,model_2,1,1,1,0
22,1787236103.728538,model_5,1,0,0,0
22,1787236103.728538,model_1,2,2|3,2|3,0
22,1787236103.728538,model_4,1,1,1,0
22,1787236103.728538,model_3,1,2,2,0
22,1787236103.728538,model_2,1,1,1,0
23,1787236108.9448397,model_5,1,0,0,0
23,1787236108.9448397,model_1,2,2|3,2|3,0
23,1787236108.9448397,model_4,1,1,1,0
23,1787236108.9448397,model_3,1,2,2,0
23,1787236108.9448397,model_2,1,1,1,0
24,1787236114.0836737,model_5,1,0,0,0
24,1787236114.0836737,model_1,2,2|3,2|3,0
24,1787236114.0836737,model_3,1,2,2,0
24,1787236114.0836737,model_4,1,1,1,0
24,1787236114.0836737,model_2,1,1,1,0
25,1787236119.1447725,model_5,1,0,0,0
25,1787236119.1447725,model_3,1,2,2,0
25,1787236119.1447725,model_1,2,2|3,2|3,0
25,1787236119.1447725,model_4,1,1,1,0
25,1787236119.1447725,model_6,1,3,3,0
25,1787236119.1447725,model_2,1,1,1,0
26,1787236124.1729383,model_5,1,0,0,0
26,1787236124.1729383,model_3,1,2,2,0
26,1787236124.1729383,model_1,2,2|3,1|3,0
26,1787236124.1729383,model_4,1,1,1,0
26,1787236124.1729383,model_6,1,3,3,0
26,1787236124.1729383,model_2,1,1,1,0
27,1787236129.418206,model_3,1,2,2,0
