cycle,timestamp,model,tp_size,current_gpus,planned_gpus,planned_collides
1,1787237559.3774757,model_5,1,0,0,0
1,1787237559.3774757,model_1,2,2|3,2|3,0
1,1787237559.3774757,model_2,1,1,1,0
1,1787237559.3774757,model_3,1,2,2,0
1,1787237559.3774757,model_4,1,0,0,0
1,1787237559.3774757,model_6,1,1,1,0
2,1787237564.3856637,model_5,1,0,0,0
2,1787237564.3856637,model_3,1,2,2,0
2,1787237564.3856637,model_2,1,1,1,0
2,1787237564.3856637,model_6,1,1,1,0
2,1787237564.3856637,model_1,2,2|3,2|3,0
2,1787237564.3856637,model_4,1,0,0,0
3,1787237569.392799,model_5,1,0,0,0
3,1787237569.392799,model_2,1,1,1,0
3,1787237569.392799,model_3,1,2,2,0
3,1787237569.392799,model_6,1,1,1,0
3,1787237569.392799,model_1,2,2|3,2|3,0
3,1787237569.392799,model_4,1,0,0,0
4,1787237574.5397856,model_2,1,1,1,0
4,1787237574.5397856,model_3,1,2,2,0
4,1787237574.5397856,model_5,1,0,0,0
4,1787237574.5397856,model_6,1,1,1,0
4,1787237574.5397856,model_1,2,2|3,2|3,0
4,1787237574.5397856,model_4,1,0,0,0
5,1787237579.627446,model_2,1,1,1,0
5,1787237579.627446,model_3,1,2,2,0
5,1787237579.627446,model_5,1,0,0,0
5,1787237579.627446,model_6,1,1,1,0
5,1787237579.627446,model_1,2,2|3,2|3,0
5,1787237579.627446,model_4,1,0,0,0
6,1787237584.6991787,model_2,1,1,1,0
6,1787237584.6991787,model_5,1,0,0,0
6,1787237584.6991787,model_3,1,2,2,0
6,1787237584.6991787,model_6,1,1,1,0
6,1787237584.6991787,model_1,2,2|3,2|3,0
6,1787237584.6991787,model_4,1,0,0,0
7,1787237589.896498,model_2,1,1,1,0
7,1787237589.896498,model_5,1,0,0,0
7,1787237589.896498,model_3,1,2,2,0
7,1787237589.896498,model_6,1,1,1,0
7,1787237589.896498,model_1,2,2|3,2|3,0
7,1787237589.896498,model_4,1,0,0,0
8,1787237594.9214063,model_2,1,1,1,0
8,1787237594.9214063,model_5,1,0,0,0
8,1787237594.9214063,model_3,1,2,2,0
8,1787237594.9214063,model_6,1,1,1,0
8,1787237594.9214063,model_1,2,2|3,2|3,0
8,1787237594.9214063,model_4,1,0,0,0
9,1787237599.9988577,model_2,1,1,1,0
9,1787237599.9988577,model_5,1,0,0,0
9,1787237599.9988577,model_3,1,2,2,0
9,1787237599.9988577,model_6,1,1,1,0
9,1787237599.9988577,model_1,2,2|3,2|3,0
9,1787237599.9988577,model_4,1,0,0,0
10,1787237605.1749754,model_2,1,1,1,0
10,1787237605.1749754,model_5,1,0,0,0
10,1787237605.1749754,model_3,1,2,2,0
10,1787237605.1749754,model_4,1,0,0,0
10,1787237605.1749754,model_6,1,1,1,0
10,1787237605.1749754,model_1,2,2|3,2|3,0
11,1787237610.3538935,model_5,1,0,0,0
11,1787237610.3538935,model_2,1,1,1,0
11,1787237610.3538935,model_1,2,2|3,2|3,0
11,1787237610.3538935,model_3,1,2,2,0
11,1787237610.3538935,model_4,1,0,0,0
11,1787237610.3538935,model_6,1,1,1,0
12,1787237615.6506984,model_5,1,0,0,0
