Real trace file: /workspace/prism-exp/exp/workloads/paper-faithful-v4/bursty_r8_s1.pkl
[PRISM_DIRECT] 3387 requests, span 419.6s
Starting TP benchmark: tp-aa-off_r8_s1
Generated 3387 requests
Request model_5#0 arrives at 1516532.525171035, sleeping for 0.19896410615183413 seconds
Request model_2#0 arrives at 1516532.724562051, sleeping for 0.1780664420221001 seconds
Request model_2#1 arrives at 1516532.903132385, sleeping for 0.035637923050671816 seconds
Request model_2#2 arrives at 1516532.938948947, sleeping for 0.0892463200725615 seconds
Request model_5#1 arrives at 1516533.028767286, sleeping for 0.08300614962354302 seconds
Request model_2#3 arrives at 1516533.113038193, sleeping for 0.13191908318549395 seconds
Request model_2#4 arrives at 1516533.245307424, sleeping for 0.09872866119258106 seconds
Request model_5#2 arrives at 1516533.3446872, sleeping for 0.0666938005015254 seconds
Request model_2#5 arrives at 1516533.411733046, sleeping for 0.03265561303123832 seconds
Request model_2#6 arrives at 1516533.444783941, sleeping for 0.25301104318350554 seconds
Request model_2#7 arrives at 1516533.699038931, sleeping for 0.388657137285918 seconds
Request model_5#3 arrives at 1516534.089210053, sleeping for 0.1480083535425365 seconds
Request model_2#8 arrives at 1516534.238528384, sleeping for 0.13488008128479123 seconds
Request model_3#0 arrives at 1516534.374688508, sleeping for 0.7005843776278198 seconds
Request model_5#4 arrives at 1516535.07670211, sleeping for 0.04528558626770973 seconds
Request model_3#1 arrives at 1516535.122607701, sleeping for 0.011862205574288964 seconds
Request model_3#2 arrives at 1516535.134920884, sleeping for 0.045227897353470325 seconds
Request model_2#9 arrives at 1516535.180500613, sleeping for 0.20629697176627815 seconds
Request model_5#5 arrives at 1516535.389067203, sleeping for 0.13737145508639514 seconds
Request model_2#10 arrives at 1516535.526920747, sleeping for 0.11963804205879569 seconds
Request model_2#11 arrives at 1516535.647972281, sleeping for 0.0637351714540273 seconds
Request model_2#12 arrives at 1516535.712328251, sleeping for 0.047080728225409985 seconds
Request model_2#13 arrives at 1516535.760511875, sleeping for 0.16157411714084446 seconds
Request model_2#14 arrives at 1516535.923016844, sleeping for 0.04301392682828009 seconds
Request model_2#15 arrives at 1516535.966275039, sleeping for 0.06225856114178896 seconds
Request model_3#3 arrives at 1516536.029470282, sleeping for 0.037487409776076674 seconds
Request model_3#4 arrives at 1516536.067693318, sleeping for 0.21152242948301136 seconds
Request model_2#16 arrives at 1516536.280144672, sleeping for 0.08677944587543607 seconds
Request model_2#17 arrives at 1516536.367730088, sleeping for 0 seconds
Request model_2#18 arrives at 1516536.368339772, sleeping for 0.0028465907089412212 seconds
Request model_5#6 arrives at 1516536.371859072, sleeping for 0.37610764312557876 seconds
Request model_2#19 arrives at 1516536.748874537, sleeping for 0.08091657306067646 seconds
Request model_2#20 arrives at 1516536.830168947, sleeping for 0.3309356088284403 seconds
Request model_2#21 arrives at 1516537.162224876, sleeping for 0.053837657207623124 seconds
Request model_2#22 arrives at 1516537.216844839, sleeping for 0.024219516664743423 seconds
Request model_2#23 arrives at 1516537.242090878, sleeping for 0.09028596943244338 seconds
Request model_6#0 arrives at 1516537.333476607, sleeping for 0.15160084096714854 seconds
Request model_2#24 arrives at 1516537.486275648, sleeping for 0.31030215532518923 seconds
Request model_2#25 arrives at 1516537.797347364, sleeping for 0.11503035016357899 seconds
Request model_2#26 arrives at 1516537.913203208, sleeping for 0.2607441667933017 seconds
Request model_2#27 arrives at 1516538.174807361, sleeping for 0.04300702246837318 seconds
Request model_2#28 arrives at 1516538.218516149, sleeping for 0.23590094200335443 seconds
Request model_3#5 arrives at 1516538.456700565, sleeping for 0.22030016337521374 seconds
Request model_3#6 arrives at 1516538.677996621, sleeping for 0.0945994770154357 seconds
Request model_2#29 arrives at 1516538.772904921, sleeping for 0.039273685310035944 seconds
Request model_2#30 arrives at 1516538.813180148, sleeping for 0.10560450796037912 seconds
Request model_3#7 arrives at 1516538.919938868, sleeping for 0.06135605531744659 seconds
Request model_2#31 arrives at 1516538.981671123, sleeping for 0.07177708367817104 seconds
Request model_2#32 arrives at 1516539.055386648, sleeping for 0.023053807904943824 seconds
Request model_5#7 arrives at 1516539.079114578, sleeping for 0.01888593635521829 seconds
Request model_2#33 arrives at 1516539.098754444, sleeping for 0.005492998752743006 seconds
Request model_6#1 arrives at 1516539.104456167, sleeping for 0.09206403023563325 seconds
Request model_2#34 arrives at 1516539.197120404, sleeping for 0.08700206968933344 seconds
Request model_2#35 arrives at 1516539.285882548, sleeping for 0.07391903782263398 seconds
Request model_2#36 arrives at 1516539.360588139, sleeping for 0.27502544689923525 seconds
Request model_6#2 arrives at 1516539.636513727, sleeping for 0.19373626681044698 seconds
Request model_2#37 arrives at 1516539.831443287, sleeping for 0.2634412676561624 seconds
Request model_2#38 arrives at 1516540.095589656, sleeping for 0.0589751445222646 seconds
Request model_2#39 arrives at 1516540.156624916, sleeping for 0.1272353120148182 seconds
Request model_2#40 arrives at 1516540.284676912, sleeping for 0.03638986311852932 seconds
Request model_2#41 arrives at 1516540.464684424, sleeping for 0 seconds
Request model_5#8 arrives at 1516540.465176857, sleeping for 0 seconds
Request model_2#42 arrives at 1516540.46563008, sleeping for 0 seconds
Request model_2#43 arrives at 1516540.465982502, sleeping for 0.012031021295115352 seconds
Request model_2#44 arrives at 1516540.478320585, sleeping for 0.11653880053199828 seconds
Request model_5#9 arrives at 1516540.595203334, sleeping for 0.06940790428780019 seconds
Request model_2#45 arrives at 1516540.665315178, sleeping for 0.21325955260545015 seconds
Request model_2#46 arrives at 1516540.87923671, sleeping for 0.0254569707904011 seconds
Request model_5#10 arrives at 1516540.905029263, sleeping for 0.07235257467254996 seconds
Request model_2#47 arrives at 1516540.978637457, sleeping for 0.13825712422840297 seconds
Request model_2#48 arrives at 1516541.117328115, sleeping for 0.06410641432739794 seconds
Request model_5#11 arrives at 1516541.181945087, sleeping for 0.006853391882032156 seconds
Request model_5#12 arrives at 1516541.189636032, sleeping for 0.2122456666547805 seconds
Request model_5#13 arrives at 1516541.402487658, sleeping for 0.09526083548553288 seconds
Request model_3#8 arrives at 1516541.498374084, sleeping for 0.056344810873270035 seconds
Request model_2#49 arrives at 1516541.555157309, sleeping for 0.14255088567733765 seconds
Request model_2#50 arrives at 1516541.698965648, sleeping for 0.04627750092186034 seconds
Request model_6#3 arrives at 1516541.745773984, sleeping for 0.12075961660593748 seconds
Request model_2#51 arrives at 1516541.866711788, sleeping for 0.01589477574452758 seconds
Request model_2#52 arrives at 1516541.883455707, sleeping for 0.05429267790168524 seconds
Request model_2#53 arrives at 1516541.93825876, sleeping for 0.11074198689311743 seconds
Request model_2#54 arrives at 1516542.0500734, sleeping for 0.18787055439315736 seconds
Request model_5#14 arrives at 1516542.238935754, sleeping for 0.10143303708173335 seconds
Request model_3#9 arrives at 1516542.340706645, sleeping for 0.05583801749162376 seconds
Request model_6#4 arrives at 1516542.39737928, sleeping for 0.01788742747157812 seconds
Request model_2#55 arrives at 1516542.417018905, sleeping for 0.01933608902618289 seconds
Request model_6#5 arrives at 1516542.436793312, sleeping for 0.2879330781288445 seconds
Request model_2#56 arrives at 1516542.726899534, sleeping for 0.001278590876609087 seconds
Request model_3#10 arrives at 1516542.728623084, sleeping for 0.10447690938599408 seconds
Request model_5#15 arrives at 1516542.834926632, sleeping for 0.14105636486783624 seconds
Request model_3#11 arrives at 1516542.976393926, sleeping for 0.04606851260177791 seconds
Request model_2#57 arrives at 1516543.023552745, sleeping for 0.04149082745425403 seconds
Request model_2#58 arrives at 1516543.065540913, sleeping for 0.028357092291116714 seconds
Request model_6#6 arrives at 1516543.094386913, sleeping for 0.06034817616455257 seconds
Request model_5#16 arrives at 1516543.155241752, sleeping for 0.16585099860094488 seconds
Request model_5#17 arrives at 1516543.322104707, sleeping for 0.1350188774522394 seconds
Request model_2#59 arrives at 1516543.457927758, sleeping for 0.34925619582645595 seconds
Request model_2#60 arrives at 1516543.80902545, sleeping for 0.08590453886426985 seconds
Request model_2#61 arrives at 1516543.895729142, sleeping for 0.007133681559935212 seconds
Request model_2#62 arrives at 1516543.903409097, sleeping for 0.02380647766403854 seconds
Request model_3#12 arrives at 1516543.928055993, sleeping for 0.15531359938904643 seconds
Request model_3#13 arrives at 1516544.083860772, sleeping for 0.027463042410090566 seconds
Request model_2#63 arrives at 1516544.111572196, sleeping for 0.04617152060382068 seconds
Request model_2#64 arrives at 1516544.158212741, sleeping for 0.2093576737679541 seconds
Request model_2#65 arrives at 1516544.368027209, sleeping for 0.06992826610803604 seconds
Request model_2#66 arrives at 1516544.438774157, sleeping for 0.1612012041732669 seconds
Request model_5#18 arrives at 1516544.600593152, sleeping for 0.15652201906777918 seconds
Request model_2#67 arrives at 1516544.757433497, sleeping for 0.08789616287685931 seconds
Request model_2#68 arrives at 1516544.846319572, sleeping for 0.16669987747445703 seconds
Request model_6#7 arrives at 1516545.014178933, sleeping for 0.0639809335116297 seconds
Request model_3#14 arrives at 1516545.078825154, sleeping for 0.15692775114439428 seconds
Request model_2#69 arrives at 1516545.236652235, sleeping for 0.1135170147754252 seconds
Request model_2#70 arrives at 1516545.350513888, sleeping for 0.07320263818837702 seconds
Request model_2#71 arrives at 1516545.424765365, sleeping for 0.01727244770154357 seconds
Request model_2#72 arrives at 1516545.443013153, sleeping for 0.4119115916546434 seconds
Request model_2#73 arrives at 1516545.856054481, sleeping for 0.2555023948661983 seconds
Request model_2#74 arrives at 1516546.112781906, sleeping for 0.08387909806333482 seconds
Request model_2#75 arrives at 1516546.197325225, sleeping for 0.3608748037368059 seconds
Request model_2#76 arrives at 1516546.559389182, sleeping for 0.19053463987074792 seconds
Request model_2#77 arrives at 1516546.750690561, sleeping for 0.13132412265986204 seconds
Request model_2#78 arrives at 1516546.882348188, sleeping for 0.06253687082789838 seconds
Request model_2#79 arrives at 1516546.945943933, sleeping for 0.1335332728922367 seconds
Request model_2#80 arrives at 1516547.079951234, sleeping for 0.06008340325206518 seconds
Request model_5#19 arrives at 1516547.14029812, sleeping for 0.21352299884893 seconds
Request model_2#81 arrives at 1516547.354553215, sleeping for 0.15203949832357466 seconds
Request model_2#82 arrives at 1516547.507767529, sleeping for 0.13709443504922092 seconds
Request model_2#83 arrives at 1516547.6451517, sleeping for 0.17226968193426728 seconds
Request model_3#15 arrives at 1516547.818070211, sleeping for 0.3558487934060395 seconds
Request model_2#84 arrives at 1516548.17551605, sleeping for 0.334360672859475 seconds
Request model_2#85 arrives at 1516548.511323242, sleeping for 0.25685361167415977 seconds
Request model_6#8 arrives at 1516548.768626191, sleeping for 0.0650546895340085 seconds
Request model_2#86 arrives at 1516548.834448749, sleeping for 0.06384345702826977 seconds
Request model_2#87 arrives at 1516548.899195591, sleeping for 0.04054926219396293 seconds
Request model_2#88 arrives at 1516548.939936672, sleeping for 0.2247036350890994 seconds
Request model_2#89 arrives at 1516549.165530113, sleeping for 0.03564091119915247 seconds
Request model_2#90 arrives at 1516549.203249136, sleeping for 0.046254845103248954 seconds
Request model_5#20 arrives at 1516549.250001302, sleeping for 0.10944705060683191 seconds
Request model_3#16 arrives at 1516549.359763409, sleeping for 0.007150579476729035 seconds
Request model_2#91 arrives at 1516549.367197353, sleeping for 0.14865243644453585 seconds
Request model_2#92 arrives at 1516549.516434134, sleeping for 0.010776061797514558 seconds
Request model_6#9 arrives at 1516549.528084093, sleeping for 0.030312821734696627 seconds
Request model_5#21 arrives at 1516549.558764144, sleeping for 0.08715822198428214 seconds
Request model_5#22 arrives at 1516549.646797824, sleeping for 0.07079472136683762 seconds
Request model_3#17 arrives at 1516549.718103625, sleeping for 0.3943369046319276 seconds
Request model_2#93 arrives at 1516550.112676644, sleeping for 0.10281995823606849 seconds
Request model_2#94 arrives at 1516550.217396362, sleeping for 0.15248070703819394 seconds
Request model_5#23 arrives at 1516550.370131213, sleeping for 0.4398950655013323 seconds
Request model_2#95 arrives at 1516550.811191986, sleeping for 0.20378489629365504 seconds
Request model_2#96 arrives at 1516551.015388581, sleeping for 0.007717661559581757 seconds
Request model_2#97 arrives at 1516551.024133093, sleeping for 0.07394779520109296 seconds
Request model_5#24 arrives at 1516551.098784664, sleeping for 0.24646708089858294 seconds
Request model_2#98 arrives at 1516551.345852332, sleeping for 0.020920376293361187 seconds
Request model_5#25 arrives at 1516551.367348959, sleeping for 0.049173827515915036 seconds
