1787239672.482416459 0, 36187, 0;1, 32201, 0;2, 21347, 0;3, 13553, 0;
1787239676.457925953 0, 36527, 6;1, 32365, 0;2, 22359, 0;3, 14119, 5;
1787239680.097100723 0, 36527, 8;1, 32365, 0;2, 22423, 64;3, 14183, 10;
1787239684.566875330 0, 36671, 0;1, 32365, 0;2, 22535, 34;3, 14183, 44;
1787239687.812734127 0, 36755, 0;1, 32365, 0;2, 22691, 0;3, 14283, 0;
1787239691.212111753 0, 36755, 4;1, 32365, 0;2, 23165, 12;3, 14313, 31;
1787239695.141325741 0, 37023, 59;1, 32365, 0;2, 23559, 26;3, 14313, 56;
1787239697.834616511 0, 37023, 7;1, 32365, 0;2, 23793, 8;3, 14377, 0;
1787239701.894572385 0, 37167, 46;1, 32365, 0;2, 24135, 79;3, 14441, 33;
1787239704.581175163 0, 37167, 8;1, 32365, 0;2, 24199, 14;3, 14505, 14;
1787239708.410377034 0, 37167, 53;1, 32365, 0;2, 24199, 96;3, 14505, 52;
1787239711.080174694 0, 37167, 0;1, 32365, 0;2, 24281, 13;3, 14505, 35;
1787239715.057505362 0, 37167, 3;1, 32365, 0;2, 24281, 20;3, 14505, 8;
1787239717.755584951 0, 37167, 4;1, 32365, 0;2, 24281, 15;3, 14505, 59;
1787239721.814108434 0, 37167, 51;1, 32365, 0;2, 24281, 79;3, 14505, 77;
1787239724.525814534 0, 37167, 52;1, 32365, 0;2, 24169, 96;3, 14505, 67;
1787239727.203525987 0, 31549, 9;1, 10741, 0;2, 24057, 11;3, 14505, 10;
1787239731.048151573 0, 20007, 15;1, 10741, 0;2, 23609, 19;3, 14505, 17;
1787239733.872642504 0, 20007, 4;1, 10741, 0;2, 23673, 20;3, 14569, 6;
1787239737.749348058 0, 20007, 8;1, 10741, 0;2, 23737, 40;3, 14633, 5;
1787239741.656089334 0, 20007, 61;1, 10741, 0;2, 23737, 95;3, 14633, 28;
1787239744.295001231 0, 20007, 0;1, 10741, 0;2, 23737, 12;3, 14633, 16;
1787239748.111225626 0, 20007, 58;1, 10741, 0;2, 23737, 96;3, 14633, 71;
1787239750.733274186 0, 20007, 11;1, 10741, 0;2, 23849, 11;3, 14633, 13;
1787239754.590057302 0, 20007, 58;1, 10741, 0;2, 23849, 96;3, 14633, 43;
1787239757.225596460 0, 20007, 8;1, 10741, 0;2, 23849, 23;3, 14633, 69;
1787239761.655662176 0, 20007, 13;1, 10741, 0;2, 23849, 20;3, 14633, 16;
1787239764.706836315 0, 20007, 12;1, 10741, 0;2, 23961, 19;3, 14633, 6;
1787239767.688666164 0, 20521, 8;1, 40681, 2;2, 24733, 48;3, 15169, 84;
1787239770.268702112 0, 20007, 7;1, 46227, 0;2, 24185, 11;3, 14633, 6;
1787239774.115047802 0, 20141, 0;1, 47615, 0;2, 24319, 26;3, 19315, 0;
1787239778.384246205 0, 20007, 53;1, 48131, 100;2, 24185, 94;3, 19877, 77;
1787239781.110462436 0, 20007, 7;1, 48389, 31;2, 24185, 24;3, 19907, 25;
1787239784.929401625 0, 20007, 0;1, 48389, 87;2, 24185, 47;3, 19907, 48;
1787239787.616642091 0, 20007, 0;1, 48901, 98;2, 23929, 66;3, 19651, 42;
1787239790.252892316 0, 20007, 0;1, 49029, 40;2, 23929, 8;3, 19651, 6;
1787239794.230358828 0, 20007, 0;1, 49347, 93;2, 23929, 51;3, 19651, 36;
1787239796.901199729 0, 20007, 0;1, 49599, 26;2, 23929, 4;3, 19651, 0;
1787239800.995293741 0, 20007, 0;1, 49795, 97;2, 23929, 23;3, 19651, 19;
1787239803.647343770 0, 34659, 21;1, 50189, 0;2, 24191, 0;3, 19913, 4;
1787239807.240154088 0, 36791, 84;1, 50035, 99;2, 23929, 33;3, 19651, 0;
1787239810.215547864 0, 36927, 0;1, 50211, 4;2, 23929, 12;3, 19651, 0;
1787239813.916053026 0, 35817, 6;1, 50547, 29;2, 20827, 4;3, 16551, 0;
1787239817.133177449 0, 27845, 17;1, 50675, 40;2, 20827, 7;3, 16551, 0;
1787239820.547265665 0, 27957, 7;1, 50931, 30;2, 20827, 11;3, 16551, 0;
1787239824.541261129 0, 28257, 1;1, 51187, 24;2, 20827, 1;3, 16551, 0;
1787239827.230236777 0, 28703, 7;1, 51297, 10;2, 20827, 1;3, 16551, 0;
1787239831.323946604 0, 28937, 88;1, 48885, 92;2, 20827, 66;3, 16551, 0;
1787239833.868518670 0, 29049, 0;1, 32277, 18;2, 20827, 0;3, 16551, 0;
1787239838.010198193 0, 29273, 14;1, 32387, 0;2, 20827, 9;3, 16551, 0;
1787239841.610942448 0, 29273, 61;1, 32661, 24;2, 20827, 9;3, 16551, 0;
1787239844.630362703 0, 29273, 16;1, 32661, 21;2, 20827, 0;3, 16551, 5;
1787239847.183040957 0, 29385, 90;1, 32661, 90;2, 20827, 19;3, 16555, 16;
1787239849.897072877 0, 29385, 13;1, 32661, 18;2, 20863, 0;3, 16555, 5;
1787239853.861283826 0, 29385, 14;1, 32661, 0;2, 21531, 7;3, 16569, 2;
1787239856.874253329 0, 29557, 96;1, 32833, 88;2, 27527, 77;3, 16981, 54;
1787239859.492326079 0, 31977, 24;1, 34093, 22;2, 29987, 17;3, 16897, 0;
1787239863.109731381 0, 32229, 61;1, 35505, 17;2, 31013, 6;3, 16947, 0;
1787239867.036120403 0, 32843, 97;1, 36119, 53;2, 31251, 85;3, 17009, 47;
1787239869.582690455 0, 32845, 52;1, 35865, 29;2, 31251, 10;3, 17009, 0;
1787239873.233585815 0, 32795, 0;1, 35865, 24;2, 31161, 37;3, 17009, 29;
1787239876.423550356 0, 32079, 78;1, 35611, 98;2, 30579, 60;3, 17009, 36;
1787239879.130126843 0, 32079, 2;1, 35291, 0;2, 30579, 19;3, 17009, 0;
1787239882.874345867 0, 32079, 78;1, 33819, 50;2, 30579, 61;3, 17009, 4;
1787239885.589943479 0, 32079, 78;1, 33819, 99;2, 30579, 26;3, 17009, 22;
1787239888.235951031 0, 32079, 18;1, 33819, 14;2, 30581, 19;3, 17009, 0;
1787239892.053875643 0, 32081, 82;1, 33111, 64;2, 30469, 98;3, 17009, 26;
1787239894.659185838 0, 32081, 21;1, 33053, 15;2, 30613, 28;3, 17009, 5;
1787239898.654473514 0, 32081, 0;1, 33053, 67;2, 30613, 9;3, 17009, 12;
1787239901.382719397 0, 32081, 79;1, 33053, 99;2, 30613, 98;3, 17009, 45;
1787239904.048310851 0, 32081, 10;1, 33053, 24;2, 30613, 13;3, 17009, 5;
1787239907.918208016 0, 25639, 5;1, 33053, 9;2, 30611, 13;3, 17009, 5;
1787239911.105982612 0, 14333, 7;1, 33299, 3;2, 30501, 3;3, 31633, 3;
1787239914.973178614 0, 14615, 37;1, 34183, 2;2, 30763, 17;3, 32721, 2;
1787239919.252996969 0, 14333, 24;1, 34281, 4;2, 30501, 4;3, 33075, 3;
1787239922.531820262 0, 14333, 23;1, 35445, 64;2, 30501, 59;3, 33349, 53;
1787239925.181759294 0, 14333, 35;1, 36601, 7;2, 30501, 8;3, 35137, 5;
1787239929.071500991 0, 14333, 41;1, 36771, 46;2, 30501, 17;3, 35387, 3;
1787239932.857896614 0, 14333, 0;1, 38331, 0;2, 30501, 12;3, 35717, 4;
1787239936.823449974 0, 14333, 80;1, 38875, 83;2, 30501, 94;3, 35853, 30;
1787239939.512958809 0, 14333, 0;1, 39259, 93;2, 30501, 97;3, 35853, 87;
1787239942.175227990 0, 14333, 0;1, 39387, 43;2, 30501, 0;3, 35853, 0;
1787239946.315742614 0, 14333, 0;1, 39387, 93;2, 30501, 98;3, 35853, 90;
1787239948.940662335 0, 14333, 0;1, 39387, 24;2, 30501, 44;3, 35853, 6;
1787239952.428835354 0, 14333, 0;1, 39387, 0;2, 30501, 8;3, 35853, 0;
1787239956.058354168 0, 14333, 0;1, 39387, 14;2, 30501, 10;3, 35963, 21;
1787239959.727425476 0, 11295, 5;1, 36351, 23;2, 30389, 0;3, 30241, 66;
1787239962.492743122 0, 11295, 0;1, 36351, 24;2, 30389, 4;3, 30353, 43;
1787239966.572744338 0, 11295, 0;1, 36095, 83;2, 30389, 89;3, 30353, 74;
1787239969.220946579 0, 14915, 0;1, 36229, 25;2, 30503, 10;3, 30487, 6;
1787239973.223738026 0, 17297, 5;1, 36095, 21;2, 30389, 13;3, 30353, 12;
1787239977.144023865 0, 17297, 7;1, 35839, 45;2, 30181, 35;3, 30353, 53;
1787239979.787623249 0, 17297, 9;1, 35493, 0;2, 30517, 8;3, 30353, 11;
1787239983.839189967 0, 23885, 5;1, 35499, 36;2, 29249, 40;3, 30525, 81;
1787239986.398454810 0, 25649, 5;1, 35327, 6;2, 20725, 6;3, 30241, 11;
1787239990.078943775 0, 25649, 6;1, 35327, 10;2, 21111, 0;3, 30241, 6;
1787239993.765831967 0, 25761, 0;1, 35071, 14;2, 21435, 0;3, 30241, 21;
1787239996.753324346 0, 25873, 0;1, 35071, 0;2, 21899, 0;3, 30241, 11;
1787239999.725963783 0, 25873, 0;1, 34865, 1;2, 22063, 11;3, 30241, 19;
1787240002.468343200 0, 25873, 49;1, 31591, 18;2, 22287, 50;3, 29681, 34;
1787240005.227900245 0, 25873, 50;1, 31487, 91;2, 22287, 70;3, 29681, 13;
1787240007.855443033 0, 25873, 3;1, 31487, 9;2, 22287, 8;3, 29681, 11;
1787240011.706250124 0, 25873, 50;1, 31487, 91;2, 22287, 37;3, 29681, 89;
1787240014.335751056 0, 24753, 6;1, 30975, 6;2, 22287, 11;3, 29681, 6;
1787240018.208950833 0, 17521, 2;1, 30975, 5;2, 22287, 0;3, 29681, 12;
1787240022.223235012 0, 17521, 44;1, 30975, 52;2, 21951, 63;3, 29681, 55;
1787240024.851458072 0, 17521, 5;1, 30975, 6;2, 21951, 33;3, 29681, 11;
1787240028.751125183 0, 17521, 38;1, 31359, 90;2, 21951, 69;3, 29681, 15;
1787240031.395197371 0, 17521, 4;1, 31487, 10;2, 21727, 4;3, 29681, 2;
1787240035.329238788 0, 17521, 46;1, 31743, 89;2, 21503, 53;3, 29681, 63;
1787240037.975340379 0, 17521, 2;1, 31871, 20;2, 21391, 4;3, 29681, 24;
1787240041.866274792 0, 17521, 37;1, 31999, 81;2, 21167, 63;3, 29905, 90;
1787240044.483203535 0, 17521, 0;1, 32415, 0;2, 20271, 10;3, 29905, 20;
1787240048.433735220 0, 17521, 0;1, 32895, 92;2, 20273, 54;3, 29905, 19;
1787240051.064443065 0, 17521, 0;1, 33023, 45;2, 20273, 7;3, 29905, 19;
1787240054.943769268 0, 17521, 41;1, 33479, 28;2, 20273, 33;3, 29905, 36;
1787240057.606707002 0, 17521, 4;1, 33919, 60;2, 20273, 7;3, 29905, 29;
1787240061.634405400 0, 17521, 14;1, 35071, 45;2, 20273, 41;3, 29905, 42;
1787240064.305160201 0, 17521, 2;1, 35327, 0;2, 20273, 5;3, 29905, 6;
1787240068.049086900 0, 17521, 0;1, 35355, 0;2, 20273, 4;3, 29905, 7;
1787240072.123072732 0, 23085, 0;1, 35583, 0;2, 21057, 16;3, 30953, 24;
1787240075.002493828 0, 24109, 31;1, 35753, 28;2, 23199, 0;3, 32831, 0;
1787240078.337748845 0, 26595, 18;1, 35583, 9;2, 23209, 5;3, 33063, 10;
1787240082.237508684 0, 26595, 97;1, 35583, 86;2, 23245, 94;3, 33211, 89;
