Real trace file: /workspace/prism-exp/exp/workloads/paper-faithful-v4/bursty_r8_s3.pkl
[PRISM_DIRECT] 3372 requests, span 419.5s
Starting TP benchmark: tp-aa-paper_r8_s3
Generated 3372 requests
Request model_2#0 arrives at 1525326.181327502, sleeping for 0.08008213131688535 seconds
Request model_5#0 arrives at 1525326.26249459, sleeping for 0.02389854216016829 seconds
Request model_1#0 arrives at 1525326.286980829, sleeping for 0.1007600030861795 seconds
Request model_3#0 arrives at 1525326.388743199, sleeping for 0.0973787596449256 seconds
Request model_2#1 arrives at 1525326.486401491, sleeping for 0.027218241477385163 seconds
Request model_6#0 arrives at 1525326.514111392, sleeping for 0.1833932485897094 seconds
Request model_6#1 arrives at 1525326.698028297, sleeping for 0.49963698419742286 seconds
Request model_6#2 arrives at 1525327.199194696, sleeping for 0.04455885337665677 seconds
Request model_5#1 arrives at 1525327.244069455, sleeping for 0.5782956085167825 seconds
Request model_3#1 arrives at 1525327.823348441, sleeping for 0.22255674074403942 seconds
Request model_1#1 arrives at 1525328.046477306, sleeping for 0.13075490691699088 seconds
Request model_6#3 arrives at 1525328.178373834, sleeping for 0.16459955764003098 seconds
Request model_2#2 arrives at 1525328.344084234, sleeping for 0.04811906907707453 seconds
Request model_2#3 arrives at 1525328.392773229, sleeping for 0.21646855026483536 seconds
Request model_1#2 arrives at 1525328.610551588, sleeping for 0.5846651545725763 seconds
Request model_3#2 arrives at 1525329.195932926, sleeping for 0.02269140211865306 seconds
Request model_6#4 arrives at 1525329.21973029, sleeping for 0.12866300693713129 seconds
Request model_6#5 arrives at 1525329.349605224, sleeping for 0.022244060412049294 seconds
Request model_6#6 arrives at 1525329.37225235, sleeping for 0.22903140098787844 seconds
Request model_6#7 arrives at 1525329.602092091, sleeping for 0.0828580386005342 seconds
Request model_6#8 arrives at 1525329.685786277, sleeping for 0.07713751425035298 seconds
Request model_6#9 arrives at 1525329.763478452, sleeping for 0.2156662920024246 seconds
Request model_3#3 arrives at 1525329.980350064, sleeping for 0.0055719343945384026 seconds
Request model_6#10 arrives at 1525329.986111664, sleeping for 0.08190373214893043 seconds
Request model_3#4 arrives at 1525330.068807313, sleeping for 0.21452520065940917 seconds
Request model_3#5 arrives at 1525330.283676822, sleeping for 0.1884266089182347 seconds
Request model_6#11 arrives at 1525330.472713212, sleeping for 0.007439140463247895 seconds
Request model_3#6 arrives at 1525330.480787458, sleeping for 0.11277238605543971 seconds
Request model_1#3 arrives at 1525330.594704612, sleeping for 0.0959563935175538 seconds
Request model_6#12 arrives at 1525330.691624029, sleeping for 0.13872850802727044 seconds
Request model_6#13 arrives at 1525330.831503492, sleeping for 0.2262301289010793 seconds
Request model_6#14 arrives at 1525331.058486064, sleeping for 0.03522607032209635 seconds
Request model_3#7 arrives at 1525331.094622193, sleeping for 0.05162241752259433 seconds
Request model_3#8 arrives at 1525331.14664258, sleeping for 0.017229822231456637 seconds
Request model_6#15 arrives at 1525331.164582944, sleeping for 0 seconds
Request model_3#9 arrives at 1525331.165033357, sleeping for 0.005736450431868434 seconds
Request model_3#10 arrives at 1525331.170927358, sleeping for 0.026908142026513815 seconds
Request model_6#16 arrives at 1525331.198625948, sleeping for 0.06020761048421264 seconds
Request model_3#11 arrives at 1525331.259328266, sleeping for 0.1988897775299847 seconds
Request model_1#4 arrives at 1525331.459307322, sleeping for 0.07607054221443832 seconds
Request model_3#12 arrives at 1525331.53606169, sleeping for 0.09723645821213722 seconds
Request model_2#4 arrives at 1525331.633789443, sleeping for 0.06572279124520719 seconds
Request model_2#5 arrives at 1525331.700512302, sleeping for 0.09805151331238449 seconds
Request model_1#5 arrives at 1525331.799295362, sleeping for 0.1243912628851831 seconds
Request model_5#2 arrives at 1525331.924147891, sleeping for 0.2607191693969071 seconds
Request model_3#13 arrives at 1525332.185851372, sleeping for 0.2556712164077908 seconds
Request model_3#14 arrives at 1525332.443672856, sleeping for 0.09640572522766888 seconds
Request model_3#15 arrives at 1525332.540440432, sleeping for 0.126318248687312 seconds
Request model_6#17 arrives at 1525332.667214655, sleeping for 0.27415135386399925 seconds
Request model_6#18 arrives at 1525332.942121207, sleeping for 0.05310269398614764 seconds
Request model_1#6 arrives at 1525332.995523974, sleeping for 0.09305689600296319 seconds
Request model_1#7 arrives at 1525333.089269359, sleeping for 0.5876038460992277 seconds
Request model_6#19 arrives at 1525333.677156625, sleeping for 0.020036398665979505 seconds
Request model_2#6 arrives at 1525333.697832637, sleeping for 0.06839458364993334 seconds
Request model_6#20 arrives at 1525333.76650229, sleeping for 0.14711441681720316 seconds
Request model_3#16 arrives at 1525333.914259227, sleeping for 0.07685396098531783 seconds
Request model_6#21 arrives at 1525333.991957261, sleeping for 0.053554343059659004 seconds
Request model_3#17 arrives at 1525334.045851192, sleeping for 0.06583911529742181 seconds
Request model_3#18 arrives at 1525334.112530591, sleeping for 0.12647478096187115 seconds
Request model_1#8 arrives at 1525334.239914568, sleeping for 0.07022442831657827 seconds
Request model_3#19 arrives at 1525334.310630455, sleeping for 0.055281736655160785 seconds
Request model_3#20 arrives at 1525334.366177427, sleeping for 0.10333685600198805 seconds
Request model_6#22 arrives at 1525334.46979513, sleeping for 0.04285377007909119 seconds
Request model_3#21 arrives at 1525334.512829186, sleeping for 0.04452247032895684 seconds
Request model_3#22 arrives at 1525334.557914077, sleeping for 0.019524019677191973 seconds
Request model_1#9 arrives at 1525334.577619602, sleeping for 0.05209472612477839 seconds
Request model_5#3 arrives at 1525334.631317382, sleeping for 0.11496359552256763 seconds
Request model_3#23 arrives at 1525334.74729064, sleeping for 0.007936076261103153 seconds
Request model_6#23 arrives at 1525334.756184781, sleeping for 0.24781039357185364 seconds
Request model_6#24 arrives at 1525335.005118464, sleeping for 0.2968983924947679 seconds
Request model_3#24 arrives at 1525335.303318136, sleeping for 0.18062587454915047 seconds
Request model_6#25 arrives at 1525335.484470903, sleeping for 0.17971770814619958 seconds
Request model_6#26 arrives at 1525335.664918545, sleeping for 0.2611557322088629 seconds
Request model_1#10 arrives at 1525335.927279701, sleeping for 0.08775381348095834 seconds
Request model_6#27 arrives at 1525336.016422454, sleeping for 0.027918064035475254 seconds
Request model_1#11 arrives at 1525336.045334263, sleeping for 0.09974775137379766 seconds
Request model_1#12 arrives at 1525336.146190137, sleeping for 0.10686384979635477 seconds
Request model_6#28 arrives at 1525336.255179877, sleeping for 0.08370538661256433 seconds
Request model_3#25 arrives at 1525336.339650139, sleeping for 0.007944383891299367 seconds
