1787242199.304483069 0, 36221, 0;1, 32201, 0;2, 21343, 0;3, 13557, 0;
1787242202.430785232 0, 36477, 13;1, 32493, 0;2, 21655, 4;3, 13811, 0;
1787242207.303189042 0, 36479, 11;1, 32707, 11;2, 22477, 20;3, 14115, 17;
1787242211.056393152 0, 36479, 19;1, 32921, 2;2, 22723, 0;3, 14117, 48;
1787242213.640543667 0, 36479, 76;1, 32923, 77;2, 23123, 87;3, 14183, 40;
1787242216.289178526 0, 36479, 90;1, 32923, 85;2, 23237, 89;3, 14183, 75;
1787242218.833298468 0, 36479, 93;1, 33375, 99;2, 23463, 94;3, 14183, 33;
1787242221.840619278 0, 36943, 6;1, 33487, 30;2, 23639, 54;3, 14247, 15;
1787242225.697187235 0, 37341, 57;1, 33487, 46;2, 24087, 89;3, 14247, 47;
1787242228.382821062 0, 37469, 83;1, 33711, 99;2, 24311, 19;3, 14247, 11;
1787242231.182807208 0, 37469, 0;1, 33711, 13;2, 24535, 3;3, 14247, 7;
1787242234.501221934 0, 37469, 6;1, 33825, 15;2, 25235, 3;3, 14247, 5;
1787242238.761465655 0, 37469, 13;1, 34073, 60;2, 25627, 43;3, 14247, 13;
1787242241.778339257 0, 37469, 6;1, 34073, 13;2, 25773, 4;3, 14247, 4;
1787242245.044105213 0, 37469, 0;1, 34073, 23;2, 25993, 16;3, 14247, 25;
1787242248.695142014 0, 37469, 90;1, 34281, 98;2, 25993, 99;3, 14247, 73;
1787242251.294935207 0, 37505, 0;1, 34281, 28;2, 25993, 14;3, 14247, 20;
1787242254.891433274 0, 37523, 99;1, 34281, 97;2, 25881, 93;3, 14247, 52;
1787242257.630400806 0, 38055, 6;1, 34281, 0;2, 25881, 0;3, 14247, 0;
1787242261.138363856 0, 38683, 28;1, 34281, 12;2, 25881, 15;3, 14247, 0;
1787242265.291304063 0, 39191, 10;1, 34281, 59;2, 25321, 41;3, 14247, 0;
1787242268.013321194 0, 39319, 99;1, 34281, 98;2, 25209, 18;3, 14247, 0;
1787242270.689593846 0, 39361, 11;1, 34281, 0;2, 24761, 25;3, 14247, 0;
1787242274.442844806 0, 40349, 7;1, 34281, 15;2, 24649, 10;3, 14247, 0;
1787242278.186515064 0, 40575, 98;1, 34281, 72;2, 24201, 49;3, 14247, 0;
1787242280.786442015 0, 40575, 19;1, 34281, 12;2, 24201, 6;3, 14247, 0;
1787242284.451495667 0, 40875, 98;1, 34433, 71;2, 24261, 65;3, 20835, 25;
1787242286.963973175 0, 40727, 10;1, 34169, 19;2, 24089, 0;3, 22831, 10;
1787242290.635374269 0, 41353, 31;1, 34169, 5;2, 24089, 11;3, 22833, 7;
1787242294.419773177 0, 38231, 92;1, 34257, 99;2, 23529, 49;3, 22833, 25;
1787242297.016760910 0, 32919, 7;1, 34257, 14;2, 23529, 13;3, 22833, 0;
1787242300.701072929 0, 33175, 94;1, 34257, 73;2, 20559, 59;3, 19863, 0;
1787242303.298265535 0, 34071, 90;1, 34257, 99;2, 20559, 54;3, 19863, 0;
1787242306.015919839 0, 34199, 12;1, 34259, 18;2, 20559, 4;3, 19867, 7;
1787242309.980491774 0, 34199, 15;1, 34259, 69;2, 20559, 27;3, 19887, 4;
1787242312.675640733 0, 34199, 0;1, 34259, 30;2, 20559, 13;3, 20169, 29;
1787242317.538124886 0, 34199, 0;1, 34259, 21;2, 20559, 12;3, 20487, 28;
1787242321.034689002 0, 34199, 24;1, 34259, 0;2, 20559, 0;3, 20557, 0;
