1787237557.236794651 0, 36321, 0;1, 32305, 0;2, 21405, 1;3, 13561, 0;
1787237560.442077419 0, 36461, 12;1, 32383, 5;2, 22001, 0;3, 14115, 0;
1787237564.399466070 0, 36461, 24;1, 32579, 30;2, 22041, 46;3, 14115, 0;
1787237567.076257745 0, 36461, 89;1, 32777, 98;2, 22155, 37;3, 14115, 0;
1787237569.762765890 0, 36651, 6;1, 32987, 30;2, 22317, 14;3, 14115, 0;
1787237573.611201133 0, 36651, 12;1, 33099, 19;2, 22317, 7;3, 14115, 0;
1787237576.547434312 0, 36779, 89;1, 33211, 99;2, 22317, 46;3, 14115, 0;
1787237579.528383726 0, 36971, 6;1, 33381, 5;2, 22429, 7;3, 14115, 0;
1787237583.387752695 0, 36971, 93;1, 33493, 97;2, 22429, 46;3, 14115, 0;
1787237586.090109463 0, 37445, 83;1, 33493, 70;2, 22429, 62;3, 14115, 0;
1787237588.757455755 0, 37445, 31;1, 33605, 21;2, 22429, 7;3, 14115, 0;
1787237592.161287955 0, 37445, 13;1, 33845, 36;2, 22429, 4;3, 14115, 0;
1787237595.599476145 0, 37445, 6;1, 34417, 6;2, 22519, 12;3, 14115, 0;
1787237600.139723422 0, 37819, 8;1, 34599, 16;2, 22521, 27;3, 14117, 13;
1787237602.953982804 0, 39015, 95;1, 34599, 98;2, 22633, 95;3, 14117, 74;
1787237605.721136901 0, 39543, 39;1, 34599, 21;2, 22635, 14;3, 14119, 12;
1787237609.889840502 0, 39927, 52;1, 34599, 51;2, 22699, 67;3, 14183, 54;
1787237612.575394933 0, 40055, 99;1, 34599, 99;2, 22699, 85;3, 14183, 4;
1787237615.557714869 0, 40495, 26;1, 34599, 0;2, 22699, 0;3, 14185, 0;
1787237619.468321593 0, 41355, 99;1, 34599, 70;2, 22701, 97;3, 14185, 26;
1787237622.178656671 0, 41611, 95;1, 34599, 99;2, 22701, 67;3, 14185, 48;
1787237624.865325858 0, 42371, 5;1, 34575, 0;2, 22701, 11;3, 14185, 4;
1787237628.598943317 0, 42835, 37;1, 34375, 4;2, 22701, 23;3, 14185, 6;
1787237632.288533673 0, 42835, 99;1, 33815, 9;2, 22701, 67;3, 14185, 42;
1787237634.958397154 0, 43347, 92;1, 33815, 10;2, 22701, 95;3, 14185, 31;
1787237637.638086887 0, 43987, 100;1, 33815, 41;2, 22701, 96;3, 14185, 74;
1787237640.261824491 0, 44243, 95;1, 33815, 45;2, 22701, 94;3, 14185, 58;
1787237642.862115912 0, 44499, 95;1, 33815, 54;2, 22701, 62;3, 14185, 49;
1787237645.509162185 0, 44627, 99;1, 33815, 43;2, 22701, 77;3, 14185, 72;
1787237648.218096000 0, 44627, 90;1, 33031, 53;2, 22765, 38;3, 14249, 58;
1787237650.837412409 0, 44627, 99;1, 17151, 0;2, 22765, 95;3, 14249, 29;
1787237653.514177157 0, 45279, 0;1, 23833, 0;2, 22937, 13;3, 14421, 8;
1787237657.585173272 0, 45523, 100;1, 25809, 98;2, 22765, 95;3, 14249, 70;
1787237660.231869729 0, 46271, 99;1, 25953, 53;2, 22765, 94;3, 14249, 77;
1787237662.870857911 0, 47105, 100;1, 25953, 98;2, 22765, 94;3, 14249, 21;
1787237665.489498752 0, 47951, 86;1, 25955, 97;2, 22851, 94;3, 14249, 79;
1787237668.094088181 0, 48061, 12;1, 25955, 17;2, 22851, 34;3, 14249, 4;
1787237671.223298069 0, 48317, 20;1, 25955, 0;2, 22851, 8;3, 14249, 7;
1787237674.794630682 0, 48653, 0;1, 25955, 0;2, 22963, 44;3, 14249, 1;
1787237678.536804812 0, 49257, 71;1, 26237, 18;2, 24493, 47;3, 29913, 3;
1787237682.423752536 0, 39997, 93;1, 25955, 46;2, 25317, 41;3, 30809, 27;
1787237685.169565013 0, 39715, 0;1, 25955, 4;2, 25653, 23;3, 30809, 11;
1787237689.001228563 0, 39357, 24;1, 25955, 7;2, 26213, 3;3, 30809, 20;
1787237692.601682385 0, 39229, 19;1, 25955, 7;2, 26437, 20;3, 30921, 3;
1787237695.220468543 0, 38963, 14;1, 25955, 0;2, 26591, 0;3, 30969, 15;
1787237699.460250238 0, 38845, 87;1, 25955, 0;2, 27591, 6;3, 31175, 85;
1787237702.058276504 0, 38717, 92;1, 25955, 0;2, 28265, 71;3, 31175, 85;
1787237704.669955569 0, 38461, 82;1, 25955, 0;2, 28711, 78;3, 31177, 17;
1787237707.286616130 0, 38205, 68;1, 25955, 0;2, 28711, 88;3, 31177, 87;
1787237709.901568618 0, 37949, 76;1, 24835, 0;2, 29049, 75;3, 31177, 90;
1787237712.463405858 0, 37693, 95;1, 19543, 0;2, 29497, 48;3, 31177, 76;
1787237715.158829102 0, 37309, 78;1, 19543, 0;2, 29721, 88;3, 31177, 28;
1787237717.818202563 0, 37053, 64;1, 19543, 0;2, 30169, 33;3, 31177, 56;
1787237720.527236966 0, 36541, 82;1, 19543, 0;2, 30729, 70;3, 31177, 15;
1787237723.209384382 0, 35407, 69;1, 19317, 4;2, 30573, 87;3, 30957, 79;
1787237725.794501480 0, 34237, 13;1, 10739, 0;2, 27869, 8;3, 29233, 3;
1787237729.626211522 0, 34173, 0;1, 10739, 0;2, 27869, 19;3, 28233, 0;
1787237735.110393415 0, 34223, 82;1, 14267, 26;2, 28003, 64;3, 28561, 72;
1787237737.780872374 0, 33981, 92;1, 16161, 63;2, 27869, 82;3, 28427, 78;
1787237740.497016786 0, 33981, 0;1, 16161, 30;2, 27869, 51;3, 28965, 37;
1787237743.165745051 0, 32189, 12;1, 16163, 2;2, 27645, 10;3, 29189, 9;
1787237746.791673818 0, 32189, 14;1, 16275, 8;2, 27361, 0;3, 29189, 26;
1787237750.298380074 0, 32189, 0;1, 16275, 14;2, 27123, 1;3, 29641, 80;
1787237753.527300753 0, 32189, 15;1, 16277, 8;2, 27085, 0;3, 29865, 19;
1787237756.775969557 0, 31647, 0;1, 16277, 9;2, 26861, 5;3, 30201, 27;
1787237760.390901620 0, 31259, 88;1, 19117, 41;2, 28021, 64;3, 30203, 89;
1787237762.872271716 0, 31165, 19;1, 19671, 22;2, 27645, 6;3, 30211, 0;
1787237766.226117014 0, 31165, 13;1, 19671, 27;2, 25775, 0;3, 30427, 10;
1787237769.796568742 0, 31165, 6;1, 19675, 12;2, 25779, 23;3, 31019, 0;
1787237773.785548341 0, 31165, 88;1, 19675, 78;2, 25443, 61;3, 31353, 66;
1787237776.466919683 0, 30909, 23;1, 19675, 22;2, 24099, 18;3, 31465, 21;
1787237780.409833635 0, 30909, 87;1, 19675, 96;2, 24099, 97;3, 31465, 13;
1787237783.196119972 0, 30525, 36;1, 19675, 34;2, 24099, 21;3, 31465, 16;
1787237787.095127822 0, 30525, 80;1, 19675, 87;2, 24099, 87;3, 31465, 79;
1787237789.876310781 0, 30525, 12;1, 19675, 3;2, 23987, 7;3, 31465, 14;
1787237793.694640431 0, 30525, 80;1, 19787, 46;2, 23987, 36;3, 31465, 52;
1787237796.444210659 0, 30525, 90;1, 19787, 47;2, 23987, 57;3, 31465, 86;
1787237799.018599798 0, 30525, 6;1, 19787, 3;2, 23987, 7;3, 31465, 9;
1787237802.898031492 0, 30525, 57;1, 19787, 47;2, 23987, 58;3, 31729, 89;
1787237805.595670280 0, 30397, 12;1, 19787, 4;2, 23987, 5;3, 31729, 24;
1787237809.409140382 0, 30397, 87;1, 19787, 47;2, 23987, 53;3, 31393, 60;
1787237811.979740233 0, 30397, 83;1, 19787, 52;2, 23987, 35;3, 31393, 31;
1787237814.684950304 0, 30397, 12;1, 19787, 2;2, 23987, 4;3, 31393, 14;
1787237818.632115539 0, 30549, 85;1, 19959, 32;2, 32483, 51;3, 31505, 35;
1787237821.280096833 0, 30397, 0;1, 19787, 3;2, 33015, 2;3, 31005, 0;
1787237826.285675792 0, 30397, 24;1, 19787, 3;2, 33523, 15;3, 30945, 0;
1787237829.793146910 0, 30397, 44;1, 19787, 12;2, 34035, 12;3, 30945, 22;
1787237833.166248777 0, 30397, 9;1, 19787, 0;2, 34805, 6;3, 30945, 0;
1787237836.914786081 0, 30397, 7;1, 19787, 2;2, 35029, 24;3, 30833, 12;
1787237840.890646251 0, 30397, 83;1, 19787, 46;2, 35029, 49;3, 30609, 24;
1787237843.654512007 0, 30397, 6;1, 19787, 5;2, 35029, 9;3, 30497, 11;
1787237847.773244457 0, 30397, 84;1, 19787, 42;2, 35365, 64;3, 29825, 30;
