cycle,timestamp,model,tp_size,current_gpus,planned_gpus,planned_collides
1,1787253588.843568,model_5,1,0,0,0
1,1787253588.843568,model_1,2,2|3,2|3,0
1,1787253588.843568,model_2,1,1,1,0
1,1787253588.843568,model_3,1,2,2,0
1,1787253588.843568,model_4,1,0,0,0
1,1787253588.843568,model_6,1,1,1,0
2,1787253593.9857588,model_2,1,1,1,0
2,1787253593.9857588,model_3,1,2,2,0
2,1787253593.9857588,model_5,1,0,0,0
2,1787253593.9857588,model_6,1,1,3,0
2,1787253593.9857588,model_1,2,2|3,2|3,0
2,1787253593.9857588,model_4,1,0,0,0
3,1787253599.1998782,model_2,1,1,1,0
3,1787253599.1998782,model_5,1,0,0,0
3,1787253599.1998782,model_3,1,2,2,0
3,1787253599.1998782,model_6,1,3,3,0
3,1787253599.1998782,model_1,2,2|3,2|3,0
3,1787253599.1998782,model_4,1,0,3,0
4,1787253604.2729526,model_2,1,1,1,0
4,1787253604.2729526,model_3,1,2,2,0
4,1787253604.2729526,model_5,1,0,0,0
4,1787253604.2729526,model_6,1,3,3,0
4,1787253604.2729526,model_1,2,2|3,3|0,0
4,1787253604.2729526,model_4,1,0,3,0
5,1787253609.382986,model_2,1,1,1,0
5,1787253609.382986,model_3,1,2,2,0
5,1787253609.382986,model_5,1,0,0,0
5,1787253609.382986,model_6,1,3,3,0
5,1787253609.382986,model_1,2,2|3,2|3,0
5,1787253609.382986,model_4,1,0,3,0
6,1787253614.4010448,model_2,1,1,1,0
6,1787253614.4010448,model_5,1,0,0,0
6,1787253614.4010448,model_3,1,2,2,0
6,1787253614.4010448,model_6,1,3,3,0
6,1787253614.4010448,model_1,2,2|3,2|3,0
6,1787253614.4010448,model_4,1,0,3,0
7,1787253619.808445,model_2,1,1,1,0
7,1787253619.808445,model_3,1,2,2,0
7,1787253619.808445,model_5,1,0,0,0
7,1787253619.808445,model_6,1,3,3,0
7,1787253619.808445,model_1,2,2|3,2|3,0
7,1787253619.808445,model_4,1,0,3,0
8,1787253625.116641,model_2,1,1,1,0
8,1787253625.116641,model_5,1,0,0,0
8,1787253625.116641,model_3,1,2,2,0
8,1787253625.116641,model_6,1,3,3,0
8,1787253625.116641,model_1,2,2|3,2|3,0
8,1787253625.116641,model_4,1,0,3,0
9,1787253630.1387498,model_2,1,1,1,0
9,1787253630.1387498,model_5,1,0,0,0
