Real trace file: /workspace/prism-exp/exp/workloads/paper-faithful-v4/bursty_r8_s1.pkl
[PRISM_DIRECT] 3387 requests, span 419.6s
Starting TP benchmark: tp-lowtau-off_r8_s1
Generated 3387 requests
Request model_5#0 arrives at 1535879.522999265, sleeping for 0.1989638463128358 seconds
Request model_2#0 arrives at 1535879.722432568, sleeping for 0.17802444519475102 seconds
Request model_2#1 arrives at 1535879.901746685, sleeping for 0.034851393196731806 seconds
Request model_2#2 arrives at 1535879.937144296, sleeping for 0.08887872123159468 seconds
Request model_5#1 arrives at 1535880.027037352, sleeping for 0.08256383356638253 seconds
Request model_2#3 arrives at 1535880.110634792, sleeping for 0.13215004443190992 seconds
Request model_2#4 arrives at 1535880.243664574, sleeping for 0.0981994413305074 seconds
Request model_5#2 arrives at 1535880.342209665, sleeping for 0.06699906568974257 seconds
Request model_2#5 arrives at 1535880.412733795, sleeping for 0.029485575389117002 seconds
Request model_2#6 arrives at 1535880.44267772, sleeping for 0.2529448743443936 seconds
Request model_2#7 arrives at 1535880.696745897, sleeping for 0.38877725158818066 seconds
Request model_5#3 arrives at 1535881.086402257, sleeping for 0.14864498958922923 seconds
Request model_2#8 arrives at 1535881.235968038, sleeping for 0.13526816735975444 seconds
Request model_3#0 arrives at 1535881.373864458, sleeping for 0.6992362779565156 seconds
Request model_5#4 arrives at 1535882.075477096, sleeping for 0.044337290339171886 seconds
Request model_3#1 arrives at 1535882.121768009, sleeping for 0.010542207630351186 seconds
Request model_3#2 arrives at 1535882.134352952, sleeping for 0.04362250957638025 seconds
Request model_2#9 arrives at 1535882.178358248, sleeping for 0.2062663168180734 seconds
Request model_5#5 arrives at 1535882.386802266, sleeping for 0.13746370235458016 seconds
Request model_2#10 arrives at 1535882.525457405, sleeping for 0.11892846412956715 seconds
Request model_2#11 arrives at 1535882.64747431, sleeping for 0.06206045253202319 seconds
Request model_2#12 arrives at 1535882.710662589, sleeping for 0.046573490370064974 seconds
Request model_2#13 arrives at 1535882.757954625, sleeping for 0.16195850726217031 seconds
Request model_2#14 arrives at 1535882.920285882, sleeping for 0.04357200884260237 seconds
Request model_2#15 arrives at 1535882.965679944, sleeping for 0.06068062619306147 seconds
Request model_3#3 arrives at 1535883.026732248, sleeping for 0.03805282386019826 seconds
Request model_3#4 arrives at 1535883.065788613, sleeping for 0.21125353476963937 seconds
