1787252751.685008515 0, 39213, 10;1, 32313, 1;2, 21415, 1;3, 10721, 0;
1787252754.911982292 0, 39851, 36;1, 32365, 20;2, 21999, 0;3, 10721, 0;
1787252757.376508451 0, 39853, 14;1, 32385, 12;2, 22041, 15;3, 10721, 0;
1787252760.534795983 0, 39853, 12;1, 32597, 28;2, 22051, 3;3, 10721, 0;
1787252763.752450834 0, 40043, 56;1, 32875, 60;2, 22155, 22;3, 10721, 0;
1787252766.506973084 0, 40325, 40;1, 33499, 31;2, 22711, 31;3, 25345, 33;
1787252769.573557316 0, 40325, 6;1, 33617, 11;2, 22711, 21;3, 26571, 0;
1787252772.111774034 0, 40171, 18;1, 33335, 29;2, 22429, 4;3, 27113, 1;
1787252775.235046730 0, 40363, 12;1, 33393, 30;2, 22429, 11;3, 27177, 11;
1787252778.433016368 0, 40491, 16;1, 33393, 21;2, 22429, 11;3, 27177, 11;
1787252781.501356980 0, 40787, 19;1, 33403, 31;2, 22429, 11;3, 27177, 1;
1787252784.802056464 0, 40915, 18;1, 17147, 8;2, 22429, 11;3, 27177, 5;
1787252788.093207331 0, 40915, 12;1, 17259, 6;2, 22429, 7;3, 27177, 8;
1787252791.272095255 0, 40915, 11;1, 17259, 33;2, 22519, 42;3, 27257, 50;
1787252793.740032133 0, 40921, 60;1, 17259, 5;2, 22525, 19;3, 27257, 11;
1787252796.787626045 0, 41115, 59;1, 17431, 5;2, 22697, 19;3, 33877, 5;
1787252800.211829294 0, 41743, 99;1, 17259, 44;2, 22525, 73;3, 36143, 95;
1787252802.921845611 0, 41743, 63;1, 17259, 5;2, 22525, 21;3, 36145, 21;
1787252805.837083733 0, 42191, 51;1, 17259, 10;2, 22589, 0;3, 36145, 14;
1787252809.016533796 0, 42347, 25;1, 16923, 6;2, 22589, 18;3, 36145, 0;
1787252812.352916087 0, 43573, 100;1, 16923, 23;2, 22589, 82;3, 36145, 33;
1787252814.781656877 0, 40275, 23;1, 16923, 8;2, 22589, 17;3, 36145, 6;
1787252817.909236949 0, 36207, 15;1, 16923, 8;2, 22589, 25;3, 36145, 11;
1787252821.151553078 0, 36847, 11;1, 16811, 0;2, 22589, 35;3, 36145, 4;
1787252824.515155124 0, 36847, 11;1, 16811, 0;2, 22589, 16;3, 36145, 32;
1787252827.041186439 0, 37193, 65;1, 31435, 12;2, 22935, 9;3, 34855, 5;
1787252830.772453152 0, 36917, 45;1, 33039, 10;2, 22653, 25;3, 19619, 1;
1787252834.049265986 0, 37295, 43;1, 33039, 5;2, 22653, 4;3, 19619, 0;
1787252837.294238523 0, 37935, 41;1, 33039, 5;2, 22653, 19;3, 19619, 8;
1787252840.818114062 0, 38193, 48;1, 33039, 9;2, 22653, 12;3, 19763, 36;
1787252843.496499616 0, 38193, 53;1, 33039, 8;2, 22653, 7;3, 19763, 13;
1787252846.972800752 0, 38193, 40;1, 32761, 1;2, 22653, 28;3, 19763, 16;
1787252849.490186513 0, 38193, 23;1, 16811, 0;2, 22653, 14;3, 19763, 8;
1787252852.634426257 0, 38373, 7;1, 16811, 5;2, 22653, 17;3, 19763, 12;
1787252855.990685080 0, 38833, 43;1, 16811, 5;2, 22653, 10;3, 19907, 8;
1787252859.354292101 0, 39089, 46;1, 16811, 0;2, 22653, 61;3, 19907, 41;
1787252861.804041933 0, 39089, 41;1, 16811, 0;2, 22739, 28;3, 19907, 15;
1787252864.843623569 0, 39089, 42;1, 16811, 0;2, 22739, 12;3, 19907, 5;
1787252867.854442402 0, 39089, 31;1, 16811, 0;2, 22739, 26;3, 19907, 8;
1787252871.390113146 0, 39089, 90;1, 16811, 0;2, 23187, 94;3, 19907, 41;
1787252873.886289990 0, 39581, 55;1, 24361, 13;2, 23791, 35;3, 34741, 49;
1787252877.235612905 0, 39089, 33;1, 26521, 0;2, 23299, 22;3, 36459, 12;
1787252880.328409822 0, 39089, 19;1, 27417, 23;2, 23299, 47;3, 36459, 27;
1787252883.597611935 0, 39089, 63;1, 27417, 62;2, 23299, 83;3, 36459, 74;
1787252886.091410823 0, 38705, 15;1, 27977, 18;2, 23299, 9;3, 36459, 11;
1787252889.062554677 0, 38667, 0;1, 28089, 0;2, 23187, 10;3, 36571, 1;
1787252892.414080247 0, 38065, 6;1, 29097, 6;2, 14257, 0;3, 36825, 11;
1787252895.613654914 0, 36131, 68;1, 29097, 6;2, 14257, 0;3, 36825, 68;
1787252898.140101479 0, 34225, 18;1, 29097, 18;2, 14257, 0;3, 36827, 16;
1787252901.158798156 0, 34225, 12;1, 29323, 15;2, 14257, 0;3, 36827, 2;
1787252904.651242276 0, 34225, 21;1, 23365, 22;2, 14257, 0;3, 36827, 0;
1787252908.075312251 0, 33585, 12;1, 23365, 12;2, 14257, 0;3, 36827, 5;
1787252911.280310603 0, 33585, 12;1, 23365, 11;2, 14257, 0;3, 36827, 11;
1787252914.687404199 0, 33585, 12;1, 23365, 4;2, 14257, 0;3, 36827, 11;
1787252918.006465730 0, 33585, 6;1, 23365, 6;2, 14257, 0;3, 36827, 16;
1787252920.879297971 0, 33521, 1;1, 23365, 18;2, 14257, 0;3, 36827, 11;
1787252924.312330268 0, 31985, 14;1, 23365, 11;2, 11285, 3;3, 34413, 13;
1787252927.695936623 0, 30355, 12;1, 23365, 9;2, 11731, 0;3, 27659, 8;
1787252931.021705178 0, 30355, 13;1, 23023, 8;2, 16555, 2;3, 27659, 0;
1787252934.328428013 0, 30355, 13;1, 22805, 4;2, 16711, 10;3, 27883, 23;
1787252937.557789586 0, 30355, 15;1, 22133, 3;2, 16711, 3;3, 28285, 13;
1787252940.715328520 0, 30355, 48;1, 20565, 16;2, 16713, 22;3, 28285, 40;
1787252943.235055863 0, 30355, 23;1, 20565, 11;2, 16825, 8;3, 28397, 25;
