cycle,timestamp,model,tp_size,current_gpus,planned_gpus,planned_collides
1,1787254452.0797849,model_5,1,0,0,0
1,1787254452.0797849,model_1,2,0|1,0|1,0
1,1787254452.0797849,model_2,2,2|3,2|3,0
1,1787254452.0797849,model_3,1,2,2,0
1,1787254452.0797849,model_4,1,0,0,0
1,1787254452.0797849,model_6,1,1,1,0
2,1787254457.3492746,model_5,1,0,0,0
2,1787254457.3492746,model_3,1,2,2,0
2,1787254457.3492746,model_2,2,2|3,2|3,0
2,1787254457.3492746,model_1,2,0|1,0|1,0
2,1787254457.3492746,model_6,1,1,1,0
2,1787254457.3492746,model_4,1,0,0,0
3,1787254462.6548076,model_2,2,2|3,2|3,0
3,1787254462.6548076,model_3,1,2,2,0
3,1787254462.6548076,model_5,1,0,0,0
3,1787254462.6548076,model_6,1,1,1,0
3,1787254462.6548076,model_1,2,0|1,0|1,0
3,1787254462.6548076,model_4,1,0,0,0
4,1787254467.6901839,model_2,2,2|3,2|3,0
4,1787254467.6901839,model_3,1,2,2,0
4,1787254467.6901839,model_5,1,0,0,0
4,1787254467.6901839,model_6,1,1,1,0
4,1787254467.6901839,model_1,2,0|1,0|1,0
4,1787254467.6901839,model_4,1,0,0,0
5,1787254472.7866662,model_2,2,2|3,2|3,0
5,1787254472.7866662,model_5,1,0,0,0
5,1787254472.7866662,model_3,1,2,2,0
5,1787254472.7866662,model_6,1,1,1,0
5,1787254472.7866662,model_1,2,0|1,0|1,0
5,1787254472.7866662,model_4,1,0,0,0
6,1787254477.8039634,model_2,2,2|3,2|3,0
6,1787254477.8039634,model_5,1,0,0,0
6,1787254477.8039634,model_3,1,2,2,0
6,1787254477.8039634,model_6,1,1,1,0
6,1787254477.8039634,model_1,2,0|1,0|1,0
6,1787254477.8039634,model_4,1,0,0,0
7,1787254483.1092954,model_2,2,2|3,2|3,0
7,1787254483.1092954,model_5,1,0,0,0
7,1787254483.1092954,model_3,1,2,2,0
7,1787254483.1092954,model_6,1,1,1,0
7,1787254483.1092954,model_1,2,0|1,0|1,0
7,1787254483.1092954,model_4,1,0,0,0
8,1787254488.2988667,model_2,2,2|3,2|3,0
8,1787254488.2988667,model_5,1,0,0,0
8,1787254488.2988667,model_3,1,2,2,0
8,1787254488.2988667,model_6,1,1,1,0
8,1787254488.2988667,model_1,2,0|1,0|1,0
8,1787254488.2988667,model_4,1,0,0,0
9,1787254493.355945,model_2,2,2|3,2|3,0
9,1787254493.355945,model_5,1,0,0,0
9,1787254493.355945,model_3,1,2,2,0
9,1787254493.355945,model_6,1,1,1,0
9,1787254493.355945,model_1,2,0|1,0|1,0
9,1787254493.355945,model_4,1,0,0,0
10,1787254499.3454144,model_5,1,0,0,0
10,1787254499.3454144,model_2,2,2|3,2|3,0
10,1787254499.3454144,model_3,1,2,2,0
10,1787254499.3454144,model_1,2,0|1,0|1,0
10,1787254499.3454144,model_4,1,0,0,0
10,1787254499.3454144,model_6,1,1,1,0
11,1787254504.4222133,model_5,1,0,0,0
11,1787254504.4222133,model_2,2,2|3,2|3,0
11,1787254504.4222133,model_1,2,0|1,0|1,0
11,1787254504.4222133,model_3,1,2,2,0
11,1787254504.4222133,model_4,1,0,0,0
11,1787254504.4222133,model_6,1,1,1,0
12,1787254509.4449031,model_5,1,0,0,0
12,1787254509.4449031,model_2,2,2|3,2|3,0
12,1787254509.4449031,model_1,2,0|1,0|1,0
12,1787254509.4449031,model_3,1,2,2,0
12,1787254509.4449031,model_4,1,0,0,0
12,1787254509.4449031,model_6,1,1,1,0
13,1787254514.6301332,model_5,1,0,0,0
13,1787254514.6301332,model_2,2,2|3,2|3,0
13,1787254514.6301332,model_1,2,0|1,0|1,0
13,1787254514.6301332,model_4,1,0,0,0
13,1787254514.6301332,model_3,1,2,2,0
13,1787254514.6301332,model_6,1,1,1,0
14,1787254519.7956228,model_5,1,0,0,0
14,1787254519.7956228,model_1,2,0|1,0|1,0
14,1787254519.7956228,model_2,2,2|3,2|3,0
14,1787254519.7956228,model_4,1,0,2,0
14,1787254519.7956228,model_3,1,2,2,0
14,1787254519.7956228,model_6,1,1,1,0
15,1787254524.8666916,model_5,1,0,0,0
15,1787254524.8666916,model_1,2,0|1,0|1,0
15,1787254524.8666916,model_4,1,0,2,0
15,1787254524.8666916,model_2,2,2|3,2|3,0
15,1787254524.8666916,model_3,1,2,2,0
15,1787254524.8666916,model_6,1,1,1,0
16,1787254530.1190233,model_5,1,0,0,0
16,1787254530.1190233,model_1,2,0|1,0|1,0
16,1787254530.1190233,model_4,1,0,2,0
16,1787254530.1190233,model_2,2,2|3,2|3,0
16,1787254530.1190233,model_3,1,2,2,0
16,1787254530.1190233,model_6,1,1,1,0
