Real trace file: /workspace/prism-exp/exp/workloads/paper-faithful-v4/bursty_r8_s1.pkl
[PRISM_DIRECT] 3387 requests, span 419.6s
Starting TP benchmark: tp-twotp-off_r8_s1
Generated 3387 requests
Request model_5#0 arrives at 1537576.745168833, sleeping for 0.19896346610039473 seconds
Request model_2#0 arrives at 1537576.944714227, sleeping for 0.17791264387778938 seconds
Request model_2#1 arrives at 1537577.123870845, sleeping for 0.03489743103273213 seconds
Request model_2#2 arrives at 1537577.159636706, sleeping for 0.08855874906294048 seconds
Request model_5#1 arrives at 1537577.248824911, sleeping for 0.08294566255062819 seconds
Request model_2#3 arrives at 1537577.33267434, sleeping for 0.1322806542739272 seconds
Request model_2#4 arrives at 1537577.465778947, sleeping for 0.09825495607219636 seconds
Request model_5#2 arrives at 1537577.564883859, sleeping for 0.06650340952910483 seconds
Request model_2#5 arrives at 1537577.63282952, sleeping for 0.03155652713030577 seconds
Request model_2#6 arrives at 1537577.664985609, sleeping for 0.2528065931983292 seconds
Request model_2#7 arrives at 1537577.919512902, sleeping for 0.3881806342396885 seconds
Request model_5#3 arrives at 1537578.308940038, sleeping for 0.14827601658180356 seconds
Request model_2#8 arrives at 1537578.458590279, sleeping for 0.13481572433374822 seconds
Request model_3#0 arrives at 1537578.595261607, sleeping for 0.7000084267929196 seconds
Request model_5#4 arrives at 1537579.297295, sleeping for 0.044689214322716 seconds
Request model_3#1 arrives at 1537579.342610504, sleeping for 0.011856050696223974 seconds
Request model_3#2 arrives at 1537579.355697827, sleeping for 0.04444975242950022 seconds
Request model_2#9 arrives at 1537579.401070032, sleeping for 0.20572405075654387 seconds
Request model_5#5 arrives at 1537579.607683998, sleeping for 0.1387515482492745 seconds
Request model_2#10 arrives at 1537579.747534654, sleeping for 0.11902357311919332 seconds
Request model_2#11 arrives at 1537579.867733329, sleeping for 0.06397392135113478 seconds
Request model_2#12 arrives at 1537579.932624423, sleeping for 0.04678167402744293 seconds
Request model_2#13 arrives at 1537579.9806237, sleeping for 0.16145914024673402 seconds
Request model_2#14 arrives at 1537580.142878461, sleeping for 0.043148827739059925 seconds
Request model_2#15 arrives at 1537580.18656066, sleeping for 0.06196939805522561 seconds
Request model_3#3 arrives at 1537580.249209475, sleeping for 0.037745724665001035 seconds
Request model_3#4 arrives at 1537580.288902, sleeping for 0.2103106656577438 seconds
Request model_2#16 arrives at 1537580.502027693, sleeping for 0.08489312301389873 seconds
Request model_2#17 arrives at 1537580.587529736, sleeping for 0 seconds
Request model_2#18 arrives at 1537580.589884567, sleeping for 0.0012986136134713888 seconds
Request model_5#6 arrives at 1537580.592300258, sleeping for 0.37566709495149553 seconds
Request model_2#19 arrives at 1537580.969392376, sleeping for 0.08039519214071333 seconds
Request model_2#20 arrives at 1537581.050785184, sleeping for 0.3303166108671576 seconds
Request model_2#21 arrives at 1537581.383884359, sleeping for 0.05217615212313831 seconds
Request model_2#22 arrives at 1537581.436742728, sleeping for 0.024318335810676217 seconds
Request model_2#23 arrives at 1537581.462129619, sleeping for 0.09024325641803443 seconds
Request model_6#0 arrives at 1537581.55312322, sleeping for 0.15195008600130677 seconds
Request model_2#24 arrives at 1537581.706710995, sleeping for 0.30986407632008195 seconds
Request model_2#25 arrives at 1537582.017754989, sleeping for 0.11461895308457315 seconds
Request model_2#26 arrives at 1537582.133031581, sleeping for 0.26091259182430804 seconds
Request model_2#27 arrives at 1537582.394505084, sleeping for 0.04330573743209243 seconds
Request model_2#28 arrives at 1537582.438419156, sleeping for 0.2359950728714466 seconds
Request model_3#5 arrives at 1537582.675061583, sleeping for 0.22193552344106138 seconds
Request model_3#6 arrives at 1537582.897415436, sleeping for 0.09517776011489332 seconds
Request model_2#29 arrives at 1537582.993868344, sleeping for 0.03830751054920256 seconds
Request model_2#30 arrives at 1537583.033569189, sleeping for 0.10521417506970465 seconds
Request model_3#7 arrives at 1537583.140228666, sleeping for 0.061072715325281024 seconds
Request model_2#31 arrives at 1537583.202120264, sleeping for 0.07132629072293639 seconds
Request model_2#32 arrives at 1537583.273969519, sleeping for 0.024469684809446335 seconds
Request model_5#7 arrives at 1537583.298794785, sleeping for 0.01920260745100677 seconds
Request model_2#33 arrives at 1537583.318787268, sleeping for 0.005457572638988495 seconds
Request model_6#1 arrives at 1537583.327395743, sleeping for 0.08915341226384044 seconds
Request model_2#34 arrives at 1537583.417559117, sleeping for 0.08656143490225077 seconds
Request model_2#35 arrives at 1537583.504878496, sleeping for 0.07492152787744999 seconds
Request model_2#36 arrives at 1537583.58236873, sleeping for 0.27324264380149543 seconds
