1787254448.771460818 0, 42437, 0;1, 29847, 0;2, 21961, 0;3, 10721, 0;
1787254453.161276244 0, 43021, 92;1, 30229, 8;2, 22135, 0;3, 10721, 0;
1787254456.199053812 0, 44097, 13;1, 30505, 10;2, 22861, 0;3, 10721, 0;
1787254459.992523776 0, 44195, 0;1, 30505, 5;2, 23045, 0;3, 10721, 0;
1787254463.637811849 0, 44733, 93;1, 30597, 82;2, 23605, 93;3, 10721, 0;
1787254466.478179654 0, 44733, 14;1, 30597, 17;2, 23605, 14;3, 10721, 0;
1787254469.700212333 0, 44733, 10;1, 30597, 11;2, 23605, 48;3, 10721, 0;
1787254472.769921216 0, 45123, 2;1, 30597, 17;2, 23803, 22;3, 10721, 0;
1787254476.520068688 0, 45369, 92;1, 30597, 68;2, 24049, 89;3, 10721, 0;
1787254479.313598037 0, 45991, 94;1, 30597, 57;2, 24119, 88;3, 10721, 0;
1787254482.043384810 0, 46061, 98;1, 30597, 67;2, 24301, 77;3, 10721, 0;
1787254484.805957645 0, 46209, 97;1, 30597, 71;2, 24449, 95;3, 10721, 0;
1787254487.514072207 0, 46601, 10;1, 30597, 72;2, 25105, 76;3, 10721, 0;
1787254490.302246332 0, 47145, 96;1, 30791, 76;2, 25441, 94;3, 10721, 0;
1787254493.086284858 0, 47395, 100;1, 30795, 96;2, 25441, 75;3, 10721, 0;
1787254495.851615391 0, 49061, 93;1, 30795, 97;2, 25441, 94;3, 10721, 0;
1787254498.660199447 0, 49461, 63;1, 30795, 91;2, 25441, 45;3, 10721, 0;
1787254501.425476616 0, 49873, 100;1, 30859, 74;2, 25441, 31;3, 10721, 0;
1787254504.248208182 0, 50037, 68;1, 30859, 62;2, 25441, 92;3, 10721, 0;
1787254506.969268342 0, 50805, 99;1, 30859, 97;2, 25441, 73;3, 10721, 0;
1787254509.742329853 0, 51399, 100;1, 30859, 93;2, 25441, 50;3, 10721, 0;
1787254512.500981548 0, 52039, 99;1, 30859, 75;2, 25441, 35;3, 10721, 0;
1787254515.283063473 0, 52551, 100;1, 30859, 96;2, 25441, 22;3, 10721, 0;
1787254518.096525649 0, 53191, 35;1, 30859, 79;2, 25441, 94;3, 10721, 0;
1787254520.696599702 0, 53575, 70;1, 30859, 58;2, 25441, 93;3, 10721, 0;
1787254523.477584353 0, 54023, 100;1, 30923, 93;2, 25441, 83;3, 10721, 0;
1787254526.224533187 0, 54407, 100;1, 30923, 74;2, 25441, 44;3, 10721, 0;
1787254528.973718879 0, 54793, 45;1, 30923, 75;2, 25441, 88;3, 10721, 0;
1787254531.719241037 0, 55433, 0;1, 30923, 4;2, 25441, 43;3, 10721, 0;
1787254534.575505444 0, 56217, 99;1, 30923, 41;2, 25441, 91;3, 10721, 0;
1787254537.351482663 0, 57429, 100;1, 30923, 36;2, 25441, 82;3, 10721, 0;
1787254540.132179411 0, 58133, 100;1, 30987, 77;2, 25441, 65;3, 10721, 0;
1787254542.872704829 0, 58467, 20;1, 30203, 7;2, 25441, 9;3, 10721, 0;
1787254546.257378301 0, 58853, 0;1, 14327, 31;2, 25329, 40;3, 10721, 0;
1787254549.945010708 0, 59159, 51;1, 14387, 6;2, 25329, 29;3, 10721, 0;
