1787255345.044894557 0, 42369, 0;1, 29793, 0;2, 21931, 0;3, 10721, 0;
1787255349.416093070 0, 42859, 0;1, 29939, 5;2, 22135, 42;3, 10721, 0;
1787255352.190149118 0, 43959, 73;1, 30485, 1;2, 22745, 21;3, 10721, 0;
1787255354.943425587 0, 44099, 95;1, 30505, 77;2, 22977, 95;3, 10721, 0;
1787255357.741733364 0, 44375, 73;1, 30593, 62;2, 23089, 95;3, 10721, 0;
1787255360.506527691 0, 44747, 81;1, 30595, 38;2, 23595, 84;3, 10721, 0;
1787255363.320961575 0, 44833, 95;1, 30595, 67;2, 23693, 14;3, 10721, 0;
1787255366.161608174 0, 44833, 91;1, 30595, 68;2, 23693, 93;3, 10721, 0;
1787255368.987140363 0, 45235, 96;1, 30595, 84;2, 23903, 92;3, 10721, 0;
1787255371.691998413 0, 45291, 19;1, 30595, 45;2, 23959, 51;3, 10721, 0;
1787255374.427799018 0, 45905, 95;1, 30595, 37;2, 24149, 93;3, 10721, 0;
1787255376.952094412 0, 46145, 17;1, 30595, 73;2, 24261, 68;3, 10721, 0;
1787255379.637925566 0, 46513, 17;1, 30595, 14;2, 24741, 18;3, 10721, 0;
1787255383.727929820 0, 46753, 0;1, 30595, 0;2, 25015, 48;3, 10721, 0;
1787255386.620732585 0, 47137, 97;1, 30677, 61;2, 25381, 74;3, 10721, 0;
1787255389.447594852 0, 47515, 97;1, 30793, 90;2, 25381, 72;3, 10721, 0;
1787255392.199218501 0, 48141, 94;1, 30793, 97;2, 25381, 60;3, 10721, 0;
1787255395.036386266 0, 49051, 0;1, 30793, 57;2, 25381, 19;3, 10721, 0;
1787255398.062661608 0, 49339, 0;1, 30857, 25;2, 25381, 17;3, 10721, 0;
1787255401.578944338 0, 49499, 5;1, 30857, 0;2, 25381, 19;3, 10721, 0;
1787255405.033122993 0, 49755, 0;1, 30857, 5;2, 25381, 10;3, 10721, 0;
1787255408.376875566 0, 50283, 100;1, 30857, 96;2, 25381, 96;3, 10721, 0;
1787255411.138737450 0, 51755, 99;1, 32289, 37;2, 26813, 79;3, 10721, 0;
1787255413.964173132 0, 52395, 100;1, 33699, 89;2, 28223, 82;3, 10721, 0;
1787255416.786631287 0, 53419, 100;1, 34253, 96;2, 28777, 89;3, 10721, 0;
1787255419.515804908 0, 54059, 89;1, 34319, 97;2, 28843, 99;3, 10721, 0;
1787255422.342727461 0, 54443, 78;1, 34321, 98;2, 28845, 59;3, 10721, 0;
1787255425.095260653 0, 54827, 100;1, 34321, 99;2, 28845, 99;3, 10721, 0;
1787255427.886384476 0, 55339, 64;1, 34321, 98;2, 28845, 45;3, 10721, 0;
1787255430.635786990 0, 56251, 100;1, 34321, 99;2, 28845, 75;3, 10721, 0;
1787255433.352824045 0, 57147, 99;1, 34321, 98;2, 28845, 99;3, 10721, 0;
1787255436.152390771 0, 57729, 100;1, 33537, 97;2, 28845, 99;3, 10721, 0;
1787255438.967684840 0, 58113, 66;1, 17723, 71;2, 28909, 69;3, 10721, 0;
1787255441.768091392 0, 58513, 30;1, 17723, 31;2, 28909, 30;3, 17309, 1;
1787255444.543887762 0, 58749, 81;1, 17447, 74;2, 28949, 98;3, 17309, 49;
1787255447.374137999 0, 56881, 47;1, 15065, 73;2, 28797, 24;3, 19217, 0;
1787255450.134583535 0, 57393, 100;1, 15065, 55;2, 28797, 78;3, 19713, 51;
1787255452.982197271 0, 57905, 72;1, 15065, 60;2, 28797, 94;3, 19715, 12;
1787255455.805697950 0, 58545, 0;1, 15065, 40;2, 28927, 48;3, 19717, 12;
1787255458.593231948 0, 59185, 16;1, 15065, 63;2, 28927, 79;3, 19717, 2;
1787255461.434046675 0, 59569, 85;1, 15065, 66;2, 28927, 98;3, 19717, 10;
1787255464.278792035 0, 60145, 11;1, 15129, 28;2, 29051, 10;3, 19717, 0;
1787255468.406803417 0, 60617, 68;1, 15411, 62;2, 29641, 72;3, 34341, 16;
1787255471.265637237 0, 60763, 46;1, 15411, 28;2, 29959, 15;3, 34607, 9;
1787255474.147127012 0, 60481, 43;1, 15129, 6;2, 30265, 10;3, 35995, 9;
1787255477.735214806 0, 60829, 4;1, 15737, 32;2, 30365, 9;3, 36085, 10;
1787255481.608413483 0, 61387, 0;1, 17841, 9;2, 30483, 25;3, 36471, 45;
1787255485.344034206 0, 61757, 0;1, 18285, 51;2, 30819, 52;3, 36747, 86;
1787255488.204826571 0, 60911, 0;1, 18285, 7;2, 30951, 18;3, 36747, 52;
1787255491.053191769 0, 50767, 96;1, 18285, 27;2, 27205, 79;3, 36747, 22;
1787255493.961095898 0, 48167, 73;1, 18285, 77;2, 27989, 86;3, 36749, 11;
1787255496.722610587 0, 47911, 1;1, 18285, 67;2, 28885, 88;3, 36749, 65;
1787255499.513352618 0, 47223, 9;1, 17725, 8;2, 29669, 62;3, 36749, 54;
1787255502.417311382 0, 44625, 82;1, 15129, 0;2, 30813, 41;3, 36749, 0;
1787255505.185604349 0, 44625, 0;1, 15129, 0;2, 31723, 0;3, 36749, 12;
1787255507.977895232 0, 44241, 24;1, 15129, 0;2, 32357, 14;3, 36749, 12;
1787255510.782445530 0, 44241, 90;1, 15129, 0;2, 33253, 72;3, 36749, 16;
1787255513.578521495 0, 43857, 31;1, 15129, 0;2, 34149, 31;3, 36749, 46;
1787255516.395606820 0, 43857, 0;1, 14553, 5;2, 34469, 8;3, 36021, 38;
1787255519.108961932 0, 43601, 0;1, 12089, 0;2, 32679, 57;3, 36075, 25;
1787255521.935901432 0, 43445, 91;1, 15577, 1;2, 34003, 22;3, 31359, 78;
1787255524.728789348 0, 43217, 81;1, 16009, 29;2, 34723, 64;3, 31733, 0;
1787255527.460464767 0, 42961, 61;1, 16267, 37;2, 34947, 28;3, 32535, 83;
1787255530.238288742 0, 42833, 68;1, 16267, 84;2, 34723, 57;3, 32871, 88;
1787255532.977450295 0, 42321, 0;1, 16269, 78;2, 34275, 46;3, 33099, 87;
1787255535.681961400 0, 42173, 45;1, 16271, 42;2, 34051, 74;3, 33099, 56;
1787255538.469000644 0, 41811, 62;1, 16271, 71;2, 33937, 13;3, 33099, 50;
1787255541.262558504 0, 41427, 51;1, 16271, 65;2, 33379, 46;3, 33211, 30;
1787255544.072825467 0, 41171, 58;1, 16271, 73;2, 33227, 53;3, 33437, 30;
1787255546.922125385 0, 40915, 12;1, 16271, 6;2, 32437, 0;3, 33549, 14;
1787255550.910332780 0, 40695, 1;1, 17087, 0;2, 32901, 2;3, 33625, 11;
1787255555.258611171 0, 40571, 1;1, 19007, 2;2, 33535, 10;3, 34155, 69;
1787255559.512402199 0, 40351, 0;1, 19271, 20;2, 34769, 27;3, 34541, 0;
1787255562.925796798 0, 38103, 18;1, 19371, 91;2, 34433, 70;3, 35479, 72;
1787255565.672106528 0, 36307, 20;1, 19371, 97;2, 34085, 33;3, 36089, 97;
1787255568.392649557 0, 36307, 32;1, 19371, 87;2, 33871, 84;3, 36201, 80;
1787255571.085045693 0, 36307, 74;1, 19427, 95;2, 33425, 94;3, 36369, 97;
1787255573.814095475 0, 36179, 51;1, 19487, 96;2, 33313, 82;3, 36429, 76;
1787255576.557179677 0, 36179, 82;1, 19587, 77;2, 33201, 92;3, 36641, 47;
1787255579.378472631 0, 36179, 0;1, 19587, 81;2, 32865, 45;3, 36977, 78;
1787255582.173949523 0, 36179, 68;1, 19587, 61;2, 32639, 46;3, 37089, 24;
1787255585.017775130 0, 36179, 63;1, 19699, 86;2, 32417, 58;3, 37573, 83;
1787255587.870462813 0, 36179, 36;1, 19771, 87;2, 31281, 60;3, 37721, 74;
1787255590.747314364 0, 36179, 3;1, 19771, 46;2, 30055, 19;3, 37945, 79;
1787255593.586751332 0, 36179, 21;1, 19771, 80;2, 28513, 80;3, 38281, 91;
1787255596.348091049 0, 36179, 40;1, 19771, 97;2, 28497, 91;3, 38505, 98;
1787255599.145983380 0, 36179, 84;1, 19771, 86;2, 27937, 40;3, 38729, 65;
1787255602.004740234 0, 35617, 67;1, 19771, 46;2, 27937, 51;3, 38841, 21;
1787255604.782015486 0, 33789, 52;1, 19771, 84;2, 27937, 43;3, 38841, 19;
1787255607.579691574 0, 33107, 100;1, 19771, 81;2, 27937, 38;3, 38841, 48;
1787255610.373283387 0, 33279, 66;1, 19943, 75;2, 34525, 64;3, 39013, 66;
1787255613.219489742 0, 32851, 33;1, 19771, 80;2, 36433, 54;3, 38841, 47;
1787255616.008973549 0, 32851, 89;1, 19771, 83;2, 36445, 58;3, 38841, 46;
1787255618.787586182 0, 32851, 41;1, 19771, 81;2, 35833, 18;3, 38841, 29;
1787255621.599109787 0, 32723, 65;1, 19771, 84;2, 35833, 55;3, 38841, 20;
1787255624.471188053 0, 32595, 84;1, 19771, 81;2, 35833, 71;3, 38841, 95;
1787255627.215128718 0, 32595, 8;1, 19771, 28;2, 35833, 11;3, 38841, 17;
1787255630.414018043 0, 32595, 15;1, 19771, 17;2, 35945, 32;3, 38841, 16;
1787255633.868998051 0, 32595, 0;1, 19771, 24;2, 36307, 17;3, 38841, 25;
1787255637.284932112 0, 32467, 0;1, 19771, 27;2, 36559, 10;3, 38841, 18;
1787255640.733516003 0, 32467, 75;1, 19771, 71;2, 37459, 50;3, 38841, 37;
1787255643.553408068 0, 32467, 55;1, 19771, 76;2, 37803, 76;3, 38841, 35;
1787255646.360758715 0, 32467, 0;1, 19771, 7;2, 38251, 77;3, 38841, 31;
1787255649.161010072 0, 32467, 76;1, 19771, 81;2, 38363, 62;3, 38841, 21;
1787255651.896220488 0, 32467, 72;1, 19387, 74;2, 37979, 40;3, 38841, 73;
1787255654.644196604 0, 32467, 69;1, 16927, 68;2, 35521, 88;3, 37721, 59;
1787255657.399788976 0, 32467, 68;1, 16927, 69;2, 35521, 62;3, 36493, 4;
1787255660.231479091 0, 32467, 0;1, 22621, 71;2, 35521, 68;3, 36489, 35;
1787255663.008756018 0, 32619, 92;1, 23515, 91;2, 35693, 92;3, 36661, 64;
1787255665.700491470 0, 32467, 73;1, 25423, 66;2, 35633, 80;3, 36043, 11;
1787255668.500249650 0, 32467, 75;1, 25513, 91;2, 36081, 80;3, 36043, 45;
1787255671.300179882 0, 32467, 77;1, 25515, 96;2, 36529, 86;3, 36005, 39;
1787255674.064405456 0, 32467, 89;1, 25535, 92;2, 36753, 54;3, 35819, 26;
1787255676.854190369 0, 32467, 87;1, 25535, 75;2, 36753, 41;3, 35819, 93;
1787255679.655083328 0, 32467, 67;1, 25817, 71;2, 36977, 65;3, 35819, 15;
1787255682.428770533 0, 32467, 68;1, 25817, 66;2, 37537, 92;3, 35455, 8;
1787255685.223377527 0, 32467, 90;1, 25817, 48;2, 36913, 51;3, 35259, 63;
1787255688.071958695 0, 32467, 65;1, 25817, 95;2, 29043, 77;3, 35259, 18;
1787255690.848511514 0, 32467, 66;1, 25817, 95;2, 29043, 77;3, 34587, 12;
1787255693.644977183 0, 32851, 0;1, 25817, 94;2, 30745, 58;3, 37291, 52;
1787255696.418791578 0, 33235, 78;1, 25817, 88;2, 31885, 59;3, 37429, 36;
1787255699.254920388 0, 36587, 68;1, 25961, 90;2, 32437, 45;3, 40823, 52;
1787255702.022986693 0, 37821, 68;1, 25961, 97;2, 32437, 43;3, 41265, 35;
1787255704.861367422 0, 38211, 23;1, 25961, 34;2, 32439, 21;3, 41267, 20;
1787255708.279868307 0, 38305, 63;1, 25961, 18;2, 32327, 10;3, 41271, 31;
1787255711.626481974 0, 38775, 1;1, 26105, 9;2, 32215, 17;3, 41335, 38;
1787255715.207983180 0, 39099, 0;1, 26105, 0;2, 32215, 21;3, 41335, 34;
1787255718.406831746 0, 39643, 23;1, 26105, 38;2, 32215, 83;3, 41335, 26;
1787255720.982279284 0, 40539, 0;1, 26105, 35;2, 32103, 98;3, 41335, 51;
1787255723.798482570 0, 41179, 0;1, 26107, 90;2, 32103, 90;3, 41335, 85;
1787255726.408411184 0, 41691, 24;1, 26201, 48;2, 31769, 85;3, 41225, 55;
1787255729.258759103 0, 42085, 30;1, 26201, 26;2, 31209, 67;3, 41225, 77;
1787255732.071216898 0, 42537, 83;1, 26201, 74;2, 30619, 98;3, 41001, 35;
1787255734.870275676 0, 43035, 0;1, 26201, 77;2, 30313, 83;3, 41065, 66;
1787255737.673791052 0, 43547, 33;1, 26201, 94;2, 29143, 38;3, 40681, 46;
1787255740.555520941 0, 43931, 0;1, 26345, 0;2, 26581, 2;3, 38233, 59;
1787255743.383872170 0, 44443, 6;1, 26489, 69;2, 25941, 4;3, 37615, 35;
1787255746.237075053 0, 44827, 0;1, 26489, 1;2, 25559, 3;3, 37353, 34;
1787255749.088942104 0, 45275, 46;1, 26489, 97;2, 23625, 15;3, 20001, 68;
1787255751.905547213 0, 46091, 4;1, 26489, 48;2, 22233, 0;3, 20001, 18;
1787255756.309987539 0, 46783, 17;1, 26599, 0;2, 22043, 1;3, 20001, 25;
1787255759.419083132 0, 47383, 14;1, 26599, 31;2, 20519, 0;3, 20001, 0;
1787255763.898760972 0, 48475, 0;1, 26599, 12;2, 12697, 0;3, 20001, 74;
1787255766.481335267 0, 48991, 0;1, 27003, 68;2, 27321, 6;3, 20281, 76;
1787255769.306208045 0, 49249, 4;1, 27025, 0;2, 27549, 0;3, 20283, 26;
1787255772.332521694 0, 48987, 71;1, 26743, 63;2, 30543, 93;3, 20001, 74;
1787255775.101551152 0, 48731, 77;1, 26743, 52;2, 30769, 13;3, 20001, 58;
1787255777.927200545 0, 48219, 94;1, 26743, 94;2, 30769, 19;3, 20001, 74;
1787255780.721070935 0, 48219, 96;1, 26743, 91;2, 30769, 71;3, 20001, 52;
1787255783.531714060 0, 47963, 21;1, 26743, 25;2, 30769, 16;3, 20001, 18;
1787255786.965753731 0, 47835, 40;1, 26743, 14;2, 30769, 12;3, 20001, 23;
1787255790.276349951 0, 47707, 57;1, 26743, 0;2, 30769, 9;3, 20001, 11;
1787255794.069353268 0, 47707, 0;1, 26743, 66;2, 30769, 68;3, 20001, 85;
1787255796.878514858 0, 47451, 61;1, 26743, 35;2, 30769, 37;3, 20001, 5;
1787255799.722405647 0, 47451, 53;1, 26743, 84;2, 30769, 49;3, 20001, 23;
1787255802.522730231 0, 47451, 51;1, 26743, 78;2, 30769, 39;3, 20001, 23;
1787255805.328280860 0, 47089, 36;1, 26743, 77;2, 30769, 35;3, 20001, 52;
1787255808.121235390 0, 46939, 45;1, 26743, 69;2, 30769, 23;3, 20001, 7;
1787255811.003283687 0, 46811, 42;1, 26629, 24;2, 30657, 19;3, 20001, 12;
1787255813.791096282 0, 46683, 26;1, 26455, 0;2, 30657, 0;3, 20001, 0;
1787255816.634888009 0, 46555, 34;1, 26455, 0;2, 30657, 0;3, 20001, 0;
1787255819.498004762 0, 45991, 1;1, 25835, 7;2, 30333, 4;3, 19323, 6;
1787255822.202365740 0, 45595, 25;1, 24755, 11;2, 29801, 4;3, 18559, 1;
1787255825.043715576 0, 43007, 7;1, 20735, 53;2, 29537, 0;3, 12681, 0;
1787255827.880121918 0, 42751, 73;1, 12655, 0;2, 12677, 0;3, 12681, 0;
1787255830.697918851 0, 42625, 73;1, 12655, 0;2, 12677, 0;3, 12681, 0;
1787255833.443687824 0, 42367, 77;1, 12655, 0;2, 12677, 0;3, 12681, 0;
1787255836.245507239 0, 41983, 0;1, 12655, 0;2, 12677, 0;3, 12681, 0;
1787255838.917791071 0, 40405, 45;1, 12655, 0;2, 12677, 0;3, 12681, 0;
1787255841.739745518 0, 39059, 10;1, 12655, 0;2, 12677, 0;3, 12681, 0;
1787255844.485325129 0, 36771, 25;1, 12655, 0;2, 12677, 0;3, 12681, 0;
1787255847.227522321 0, 33155, 28;1, 12655, 0;2, 12677, 0;3, 12681, 0;
1787255849.932917137 0, 31615, 8;1, 12655, 0;2, 12677, 0;3, 12681, 0;
