system,workload,rate,joint_attainment_base,joint_attainment_prism,joint_attainment_pp,joint_attainment_rel,goodput_rel,ttft_p99_rel,tpot_p99_rel,throughput_rel
paper-faithful,bursty,1,0.667741935483871,0.7580645161290323,0.0903225806451613,0.1352657004830918,0.13526570048309186,-0.08186267397470809,0.03858845892573088,0.0
paper-faithful,steady,1,0.7524752475247525,0.7161716171617162,-0.0363036303630363,-0.04824561403508771,-0.04824561403508766,-0.9155591818945078,-0.11530756692654578,0.0
paper-faithful,bursty,10,0.17677927189242373,0.12430305018038701,-0.052476221712036725,-0.2968460111317254,-0.2968460111317254,0.716321957471685,0.16198516015397055,0.0
paper-faithful,steady,10,0.152,0.14466666666666667,-0.007333333333333331,-0.0482456140350877,-0.04824561403508766,-0.2270531990546061,-0.1188563254717903,0.0
paper-alg1-only,bursty,2,0.5741626794258373,0.5358851674641149,-0.038277511961722466,-0.06666666666666662,-0.06666666666666654,-0.05019248642012357,0.027822247216770724,0.0
paper-alg2-only,bursty,2,0.5741626794258373,0.39553429027113235,-0.17862838915470497,-0.31111111111111117,-0.3111111111111111,0.07295035281094059,-0.3114248424872675,0.0
paper-faithful,bursty,2,0.5741626794258373,0.6124401913875598,0.038277511961722466,0.06666666666666662,0.06666666666666674,-0.07874264401241193,-0.007138790364757136,0.0
paper-alg1-only,steady,2,0.5440931780366056,0.5341098169717138,-0.009983361064891838,-0.018348623853210993,-0.018348623853211024,-0.08429299247848304,-0.34055928059392,0.0
paper-alg2-only,steady,2,0.5440931780366056,0.5790349417637272,0.034941763727121544,0.06422018348623869,0.06422018348623838,0.09915075190047681,-0.046456376270315805,0.0
paper-faithful,steady,2,0.5440931780366056,0.49916805324459235,-0.04492512479201327,-0.08256880733944948,-0.08256880733944962,0.08763170191278657,-0.1565000441567161,0.0
paper-alg1-only,bursty,8,0.20356550580431176,0.1998341625207297,-0.0037313432835820726,-0.018329938900203582,-0.018329938900203683,-0.4922401275158103,-0.23266249296015018,0.0
paper-alg2-only,bursty,8,0.20356550580431176,0.3383084577114428,0.13474295190713104,0.6619144602851326,0.6619144602851325,-0.13364271647174056,0.23379104287034355,0.0
paper-faithful,bursty,8,0.20356550580431176,0.17371475953565504,-0.02985074626865672,-0.14663951120162935,-0.14663951120162932,-0.5891551045373595,-0.3250168355625945,0.0
paper-alg1-only,steady,8,0.16003316749585406,0.16873963515754561,0.008706467661691558,0.05440414507772031,0.054404145077720255,0.07030180216138676,-0.00131540108283174,0.0
paper-alg2-only,steady,8,0.16003316749585406,0.1927860696517413,0.03275290215588725,0.20466321243523328,0.20466321243523322,-0.09204461967008923,0.04069581074508638,0.0
paper-faithful,steady,8,0.16003316749585406,0.1724709784411277,0.01243781094527363,0.07772020725388601,0.07772020725388608,-1.5558976103287445,-0.23066825563516635,0.0
