system,workload,rate,seed,requests_in_window,completed,failed,offered_load_req_s,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,tpot_mean_ms,tpot_p50_ms,tpot_p95_ms,tpot_p99_ms,ttft_attainment,tpot_attainment,joint_attainment,throughput_req_s,goodput_req_s,output_token_throughput,prompt_token_throughput,migrations_alg1,migrations_proto,activations,deactivations,idle_evictions,alg1_cycles,kvpr_peak_mean,kvpr_peak_cv,kvpr_improvement_mean,kvpr_improvement_std,kvpr_improvement_max,alg2_rounds,alg2_eligible,alg2_selected,alg2_deferred,alg2_requeued,alg2_late_dispatched,alg2_selected_ratio,alg2_pathological_rounds,alg2_max_zero_streak,alg2_underadmission_warnings,mean_queue_length,max_queue_length
paper-alg1-only,bursty,2,1,627,627,0,2.09,211.16732524342513,96.7254638671875,318.06647777557254,4165.922622680666,36.75542581206037,35.71728427531356,55.309443175792694,65.67684787511827,0.9425837320574163,0.5741626794258373,0.5358851674641149,2.09,1.12,345.12333333333333,630.5966666666667,1,1,6,8,7,87,26302220.518013515,0.4023178930639997,0.14756067496929645,0.1261566705569389,0.49065848162354264,0,0,0,0,0,0,nan,0,0,0,0.0,0
paper-alg1-only,bursty,8,1,2412,2412,0,8.04,204.64340015430355,104.35605049133301,640.7230019569391,2596.220681667326,56.280441041824325,48.57856986691824,116.29209786653513,170.17382860445093,0.9191542288557214,0.21185737976782754,0.1998341625207297,8.04,1.6066666666666667,1329.12,2457.806666666667,0,0,6,7,7,87,110721001.9898345,0.42510730184014694,0.16082915829933325,0.09690526229036489,0.3151325334370771,0,0,0,0,0,0,nan,0,0,0,0.020224719101123594,11
paper-alg1-only,steady,2,1,601,601,0,2.0033333333333334,106.04052258013886,92.93699264526367,194.67949867248535,411.6168022155762,37.01773953369775,36.17234843400504,51.74816260903568,73.9651471376419,0.9767054908485857,0.5424292845257903,0.5341098169717138,2.0033333333333334,1.07,331.89666666666665,577.5166666666667,0,0,0,0,0,87,20674063.15050105,0.2992793412293876,0.027954925831396693,0.13253637825444511,0.3159798677873614,0,0,0,0,0,0,nan,0,0,0,0.0,0
paper-alg1-only,steady,8,1,2412,2412,0,8.04,114.85537258942132,103.67739200592041,219.03753280639643,338.3433794975266,47.67722902052382,45.85461223219661,69.21696826523423,86.17082178592666,0.9792703150912107,0.17081260364842454,0.16873963515754561,8.04,1.3566666666666667,1318.16,2474.2033333333334,0,0,0,0,0,87,77850738.56044197,0.22236294348648208,-0.01232334198732886,0.09318606668364424,0.17819484902831992,0,0,0,0,0,0,nan,0,0,0,0.0,0
paper-alg2-only,bursty,2,1,627,627,0,2.09,207.42934400385076,98.47736358642578,406.4724683761581,3677.4373722076452,40.46005131932509,39.19006915802651,60.14818028576438,88.59516650438312,0.9298245614035088,0.42105263157894735,0.39553429027113235,2.09,0.8266666666666667,345.12333333333333,630.5966666666667,0,3,6,10,7,0,,,,,,521,538,523,15,0,15,0.9721189591078067,0,0,0,1.0326295585412668,6
paper-alg2-only,bursty,8,1,2412,2412,0,8.04,161.14763715373937,92.53835678100586,342.28565692901583,1972.3277854919354,46.322425398977984,42.64726194124373,78.85695286329437,105.77811241149891,0.9519071310116086,0.35281923714759533,0.3383084577114428,8.04,2.72,1329.12,2457.806666666667,0,2,6,9,7,0,,,,,,1023,1107,1062,45,0,45,0.959349593495935,0,0,0,1.0928641251221896,17
paper-alg2-only,steady,2,1,601,601,0,2.0033333333333334,96.24038083779435,86.97390556335449,172.40238189697266,341.9783115386963,35.53823734115837,35.47836129182304,49.74117875099182,57.73806571960449,0.9916805324459235,0.5840266222961731,0.5790349417637272,2.0033333333333334,1.16,331.89666666666665,577.5166666666667,0,0,0,0,0,0,,,,,,555,565,565,0,0,0,1.0,0,0,0,1.018018018018018,3
paper-alg2-only,steady,8,1,2412,2412,0,8.04,112.46216109340662,100.31425952911377,204.91588115692127,397.425818443297,45.876380216313954,44.700494594872,65.24226057032743,82.55543681979162,0.9817578772802653,0.19402985074626866,0.1927860696517413,8.04,1.55,1318.16,2474.2033333333334,0,0,0,0,0,0,,,,,,1119,1168,1168,0,0,0,1.0,0,0,0,1.0437890974084003,3
paper-faithful,bursty,1,1,310,310,0,1.0333333333333334,221.93844395299112,86.8828296661377,368.3705091476443,4228.496043682099,30.63000925249114,29.991830141427368,45.464922892121045,55.177767358043006,0.9419354838709677,0.7967741935483871,0.7580645161290323,1.0333333333333334,0.7833333333333333,164.72,305.53,1,1,8,10,9,86,12900193.115960183,0.3838117892041455,0.15283245946065763,0.11267150202650462,0.39208124154353446,330,337,327,10,0,10,0.9703264094955489,0,0,0,1.0212121212121212,3
paper-faithful,bursty,10,1,3049,3049,0,10.163333333333334,214.18764255757645,114.7468090057373,652.7147769927977,2374.261569976806,70.14097806572406,56.74369012316068,155.36920179923374,244.4441751848187,0.9124303050180387,0.12922269596589045,0.12430305018038701,10.163333333333334,1.2633333333333334,1681.4066666666668,3190.0533333333333,0,0,6,7,7,88,133109883.0322491,0.40915307315799776,0.1635623097936617,0.10368477373711117,0.33846235036415784,1043,1134,1091,43,0,43,0.9620811287477954,0,0,0,1.1006711409395973,15
