system,workload,rate,seed,requests_in_window,completed,failed,offered_load_req_s,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,tpot_mean_ms,tpot_p50_ms,tpot_p95_ms,tpot_p99_ms,ttft_attainment,tpot_attainment,joint_attainment,throughput_req_s,goodput_req_s,output_token_throughput,prompt_token_throughput,migrations_alg1,migrations_proto,activations,deactivations,idle_evictions,alg1_cycles,kvpr_peak_mean,kvpr_peak_cv,kvpr_improvement_mean,kvpr_improvement_std,kvpr_improvement_max,alg2_rounds,alg2_eligible,alg2_selected,alg2_deferred,alg2_requeued,alg2_late_dispatched,alg2_selected_ratio,alg2_pathological_rounds,alg2_max_zero_streak,alg2_underadmission_warnings,mean_queue_length,max_queue_length,failure_attempt,failure_reproduced
paper-faithful-v3,bursty,14,1,4256,4256,0,14.186666666666667,159.9770321097589,100.17883777618408,419.90768909454346,1028.9453387260419,71.64951586491931,52.43765738403423,182.37318455552062,433.68587849601613,0.9358552631578947,0.28829887218045114,0.2819548872180451,14.186666666666667,4.0,2297.0833333333335,4443.4766666666665,14,0,6,19,7,75,0.17559351261084155,0.40417904790551684,0.03170952458108214,0.03302813817201063,0.11126274213859655,1230,1342,1297,45,0,45,0.966467958271237,0,0,0,1.0967479674796747,29,0,False
paper-faithful-v3,bursty,20,1,6056,6056,0,20.186666666666667,178.53680256965768,102.01454162597656,607.5419783592224,1519.0825104713422,96.22112136118248,55.31000004460414,237.02824598266963,1138.0418047308895,0.910667107001321,0.2250660501981506,0.220112285336856,20.186666666666667,4.443333333333333,3287.62,6233.873333333333,14,0,6,19,7,76,0.23458669522059356,0.37128944285132054,0.03979521658372482,0.03448553945745469,0.13498724358082637,1347,1525,1479,46,0,46,0.9698360655737704,0,0,0,1.1625835189309577,16,0,False
paper-faithful-v3,bursty,4,1,1204,1204,0,4.013333333333334,154.09897886637438,70.90580463409424,224.78029727935782,3308.2924699783384,29.781850030267297,27.682939507644644,53.51335338924242,72.91346875063591,0.9634551495016611,0.739202657807309,0.7101328903654485,4.013333333333334,2.85,680.0233333333333,1231.37,14,0,6,20,7,80,0.047172772508008644,0.40273960363750655,0.009472964027764189,0.011489731576662686,0.04096453317228577,782,823,792,31,0,31,0.9623329283110571,0,0,0,1.0549872122762147,12,0,False
paper-faithful-v3,bursty,8,1,2412,2412,0,8.04,160.86472761176316,88.85073661804199,315.74040651321394,1802.2498536109765,42.164408219209065,37.102508623016256,81.19589639337438,127.8547876237201,0.9448590381426202,0.4975124378109453,0.47512437810945274,8.04,3.82,1329.12,2457.806666666667,14,0,6,20,7,73,0.09731038317902287,0.3791728763655434,0.018219619959506723,0.015363799147955558,0.06090563321318565,1025,1110,1064,46,0,46,0.9585585585585585,0,0,0,1.0897560975609757,11,,
paper-faithful-v3,steady,14,1,4258,4258,0,14.193333333333333,134.39417137344884,110.24808883666992,281.1680674552915,521.4660263061535,60.78443727840514,54.888225783561836,114.76004339362439,147.79370692372345,0.9488022545796149,0.13339596054485675,0.12658525129168624,14.193333333333333,1.7966666666666666,2300.806666666667,4441.33,14,0,0,14,0,67,0.13482150688191052,0.20896603773398428,0.006529287328007042,0.024211605058429897,0.07694312641813209,1294,1385,1384,1,0,1,0.9992779783393502,0,0,0,1.0703245749613601,7,0,False
paper-faithful-v3,steady,20,1,6012,6012,0,20.04,135.63219373097675,114.05003070831299,291.07925891876215,478.9812707901006,72.91071173047018,70.27944538861757,130.6330144405365,203.83017919329276,0.956420492348636,0.0968063872255489,0.09098469727212243,20.04,1.8233333333333333,3226.4,6249.126666666667,13,0,0,13,0,69,0.18168028173642614,0.20032369591915475,-0.00039381160757324686,0.021527808448838302,0.03519047017892965,1383,1499,1499,0,0,0,1.0,0,0,0,1.083875632682574,4,0,False
paper-faithful-v3,steady,4,1,1224,1224,0,4.08,110.17683226298662,92.37909317016602,230.23123741149897,366.29581212997437,39.16719548031176,38.6736315364639,59.644142909483456,73.46706368421252,0.9648692810457516,0.43790849673202614,0.42401960784313725,4.08,1.73,673.8566666666667,1263.0866666666666,14,0,0,14,0,78,0.038186740231968525,0.26208667797452645,0.003564437343810158,0.004064608179447551,0.009118160880779887,835,860,860,0,0,0,1.0,0,0,0,1.029940119760479,4,,
paper-faithful-v3,steady,8,1,2412,2412,0,8.04,121.82002162458885,96.74608707427979,235.68989038467402,431.5027093887329,46.23399977444082,43.010867223710285,75.71721589192745,105.17527765258518,0.9581260364842454,0.25414593698175786,0.24668325041459369,8.04,1.9833333333333334,1318.16,2474.2033333333334,13,0,0,13,0,71,0.07578028608802467,0.22862979282313,0.004028603882303692,0.007291792562423011,0.016723296165067777,1106,1151,1151,0,0,0,1.0,0,0,0,1.0406871609403254,4,,
released-prototype,bursty,14,1,4256,4256,0,14.186666666666667,390.8382605453183,106.66048526763916,565.9694075584412,4518.362247943837,67.25768210711625,53.15732581921947,156.32270002051402,252.57625686270714,0.9135338345864662,0.2984022556390977,0.27420112781954886,14.186666666666667,3.89,2297.0833333333335,4443.4766666666665,0,3,6,10,7,0,,,,,,0,0,0,0,0,0,nan,0,0,0,0.014623172103487065,5,,
released-prototype,bursty,20,1,6056,6056,0,20.186666666666667,684.5950519314216,135.05423069000244,916.147768497467,24883.52819681159,127.65153438542454,76.81333514476063,383.4538240009134,714.5255994709087,0.8465984147952443,0.14745706737120212,0.13738441215323646,20.186666666666667,2.7733333333333334,3287.62,6233.873333333333,0,7,6,14,7,0,,,,,,0,0,0,0,0,0,nan,0,0,0,0.06538895152198422,11,0,False
released-prototype,bursty,4,1,1204,1204,0,4.013333333333334,139.8216624592626,58.347344398498535,220.374023914337,2988.4484481811546,23.766612865710872,24.576634083838755,37.23734490902391,64.06685181260114,0.9709302325581395,0.9551495016611296,0.9285714285714286,4.013333333333334,3.7266666666666666,680.0233333333333,1231.37,0,4,6,11,7,0,,,,,,0,0,0,0,0,0,nan,0,0,0,0.0,0,,
released-prototype,bursty,8,1,2412,2412,0,8.04,134.7116308030402,87.6551866531372,275.3308773040769,998.1762790679905,45.05484814003381,42.20391478803423,79.09478130085128,104.42422766019308,0.9631011608623549,0.3685737976782753,0.34991708126036486,8.04,2.8133333333333335,1329.12,2457.806666666667,0,2,6,9,7,0,,,,,,0,0,0,0,0,0,nan,0,0,0,0.0,0,,
