timestamp,gpu_id,gpu_utilization,memory_used_mib
1787139624.4908895,0,0,35674
1787139624.4908895,1,0,35690
1787139624.4908895,2,0,0
1787139624.4908895,3,0,0
1787139627.107084,0,44,35810
1787139627.107084,1,10,35786
1787139627.107084,2,0,0
1787139627.107084,3,0,0
1787139629.399275,0,65,35810
1787139629.399275,1,41,35848
1787139629.399275,2,0,0
1787139629.399275,3,0,0
1787139631.697862,0,37,36000
1787139631.697862,1,41,36670
1787139631.697862,2,0,0
1787139631.697862,3,0,0
1787139633.991034,0,72,36142
1787139633.991034,1,54,40082
1787139633.991034,2,0,0
1787139633.991034,3,0,0
1787139636.287547,0,68,36142
1787139636.287547,1,57,40270
1787139636.287547,2,0,0
1787139636.287547,3,0,0
1787139638.560595,0,48,33014
1787139638.560595,1,41,40296
1787139638.560595,2,0,0
1787139638.560595,3,0,0
1787139640.8422456,0,21,33142
1787139640.8422456,1,48,40298
1787139640.8422456,2,0,0
1787139640.8422456,3,0,0
1787139643.3330417,0,16,33496
1787139643.3330417,1,59,40844
1787139643.3330417,2,0,0
1787139643.3330417,3,0,0
1787139646.2798715,0,10,33730
1787139646.2798715,1,66,41024
1787139646.2798715,2,0,0
1787139646.2798715,3,0,0
1787139648.6629694,0,58,33746
1787139648.6629694,1,40,41298
1787139648.6629694,2,0,0
1787139648.6629694,3,0,0
1787139651.0072944,0,52,33906
1787139651.0072944,1,67,41852
1787139651.0072944,2,0,0
1787139651.0072944,3,0,0
1787139653.320331,0,9,34034
1787139653.320331,1,50,41938
1787139653.320331,2,0,0
1787139653.320331,3,0,0
1787139655.6334643,0,50,34282
1787139655.6334643,1,26,41966
1787139655.6334643,2,0,0
1787139655.6334643,3,0,0
1787139657.9964597,0,69,34290
1787139657.9964597,1,53,41966
1787139657.9964597,2,0,0
1787139657.9964597,3,0,0
1787139660.3654773,0,54,34290
1787139660.3654773,1,69,42078
1787139660.3654773,2,0,0
1787139660.3654773,3,0,0
1787139662.731149,0,65,34290
1787139662.731149,1,61,42078
1787139662.731149,2,0,0
1787139662.731149,3,0,0
1787139665.0057626,0,57,38016
1787139665.0057626,1,52,42168
1787139665.0057626,2,0,0
1787139665.0057626,3,0,0
1787139667.3120525,0,53,38016
1787139667.3120525,1,50,42422
1787139667.3120525,2,0,0
1787139667.3120525,3,0,0
1787139669.6363857,0,54,38152
1787139669.6363857,1,56,38628
1787139669.6363857,2,0,0
1787139669.6363857,3,0,0
1787139671.9471858,0,76,38152
1787139671.9471858,1,59,38628
