timestamp,gpu_id,gpu_utilization,memory_used_mib
1787136451.9205403,0,0,35432
1787136451.9205403,1,0,35446
1787136451.9205403,2,0,0
1787136451.9205403,3,0,0
1787136454.7623687,0,26,36060
1787136454.7623687,1,0,36052
1787136454.7623687,2,0,0
1787136454.7623687,3,0,0
1787136457.368844,0,42,36242
1787136457.368844,1,16,36586
1787136457.368844,2,0,0
1787136457.368844,3,0,0
1787136459.692028,0,17,40186
1787136459.692028,1,16,36586
1787136459.692028,2,0,0
1787136459.692028,3,0,0
1787136461.9797463,0,32,41914
1787136461.9797463,1,32,31546
1787136461.9797463,2,0,0
1787136461.9797463,3,0,0
1787136464.3695352,0,32,42186
1787136464.3695352,1,17,31658
1787136464.3695352,2,0,0
1787136464.3695352,3,0,0
1787136466.7748532,0,14,43174
1787136466.7748532,1,12,31658
1787136466.7748532,2,0,0
1787136466.7748532,3,0,0
1787136469.6172278,0,49,43686
1787136469.6172278,1,13,31658
1787136469.6172278,2,0,0
1787136469.6172278,3,0,0
1787136472.0761037,0,26,43850
1787136472.0761037,1,18,31770
1787136472.0761037,2,0,0
1787136472.0761037,3,0,0
1787136474.5331125,0,41,43914
1787136474.5331125,1,17,31770
1787136474.5331125,2,0,0
1787136474.5331125,3,0,0
1787136476.9371302,0,41,44186
1787136476.9371302,1,21,31770
1787136476.9371302,2,0,0
1787136476.9371302,3,0,0
1787136479.403471,0,45,44186
1787136479.403471,1,17,31994
1787136479.403471,2,0,0
1787136479.403471,3,0,0
1787136481.7647862,0,47,44186
1787136481.7647862,1,17,31994
1787136481.7647862,2,0,0
1787136481.7647862,3,0,0
1787136484.183629,0,57,44474
1787136484.183629,1,20,31994
1787136484.183629,2,0,0
1787136484.183629,3,0,0
1787136486.4673426,0,29,44474
1787136486.4673426,1,24,31994
1787136486.4673426,2,0,0
1787136486.4673426,3,0,0
1787136488.9085765,0,41,44474
1787136488.9085765,1,16,31994
1787136488.9085765,2,0,0
1787136488.9085765,3,0,0
1787136491.3218744,0,62,44476
1787136491.3218744,1,24,40346
1787136491.3218744,2,0,0
1787136491.3218744,3,0,0
1787136493.6227095,0,43,44476
1787136493.6227095,1,44,40660
1787136493.6227095,2,0,0
1787136493.6227095,3,0,0
1787136495.9930959,0,45,44476
1787136495.9930959,1,40,40806
1787136495.9930959,2,0,0
1787136495.9930959,3,0,0
1787136498.496661,0,43,44476
1787136498.496661,1,29,40876
1787136498.496661,2,0,0
1787136498.496661,3,0,0
1787136500.944572,0,32,44476
1787136500.944572,1,45,41020
1787136500.944572,2,0,0
1787136500.944572,3,0,0
1787136503.4233966,0,12,34626
1787136503.4233966,1,45,41166
1787136503.4233966,2,0,0
1787136503.4233966,3,0,0
1787136505.8762016,0,13,34626
1787136505.8762016,1,52,41166
1787136505.8762016,2,0,0
1787136505.8762016,3,0,0
1787136508.1527069,0,23,34498
1787136508.1527069,1,41,41166
1787136508.1527069,2,0,0
1787136508.1527069,3,0,0
1787136510.6101449,0,36,25970
1787136510.6101449,1,26,35166
1787136510.6101449,2,0,0
1787136510.6101449,3,0,0
1787136513.0450451,0,15,11946
1787136513.0450451,1,44,25154
1787136513.0450451,2,0,0
1787136513.0450451,3,0,0
1787136515.3502781,0,29,11946
1787136515.3502781,1,52,25336
1787136515.3502781,2,0,0
1787136515.3502781,3,0,0
1787136517.6490326,0,16,11946
1787136517.6490326,1,42,25336
1787136517.6490326,2,0,0
1787136517.6490326,3,0,0
1787136519.9286525,0,25,11946
1787136519.9286525,1,89,25712
1787136519.9286525,2,0,0
1787136519.9286525,3,0,0
1787136522.2116756,0,13,11882
1787136522.2116756,1,28,25856
1787136522.2116756,2,0,0
1787136522.2116756,3,0,0
1787136524.5261695,0,29,11882
1787136524.5261695,1,36,26080
1787136524.5261695,2,0,0
1787136524.5261695,3,0,0
1787136526.8213696,0,9,11882
1787136526.8213696,1,35,26192
1787136526.8213696,2,0,0
1787136526.8213696,3,0,0
1787136529.1795962,0,6,11882
1787136529.1795962,1,33,26336
1787136529.1795962,2,0,0
1787136529.1795962,3,0,0
1787136531.5897222,0,9,11882
1787136531.5897222,1,38,26336
1787136531.5897222,2,0,0
1787136531.5897222,3,0,0
1787136533.9497926,0,8,11882
1787136533.9497926,1,63,26336
1787136533.9497926,2,0,0
1787136533.9497926,3,0,0
1787136536.3188493,0,9,11882
1787136536.3188493,1,48,26456
1787136536.3188493,2,0,0
1787136536.3188493,3,0,0
1787136538.746771,0,12,11882
1787136538.746771,1,59,26456
1787136538.746771,2,0,0
1787136538.746771,3,0,0
