timestamp,gpu_id,gpu_utilization,memory_used_mib
1787144749.6472368,0,0,35516
1787144749.6472368,1,0,35560
1787144749.6472368,2,0,0
1787144749.6472368,3,0,0
1787144752.575909,0,21,35924
1787144752.575909,1,14,35842
1787144752.575909,2,0,0
1787144752.575909,3,0,0
1787144755.05088,0,41,35958
1787144755.05088,1,20,36056
1787144755.05088,2,0,0
1787144755.05088,3,0,0
1787144757.394036,0,22,36058
1787144757.394036,1,15,36056
1787144757.394036,2,0,0
1787144757.394036,3,0,0
1787144759.7462168,0,31,36058
1787144759.7462168,1,4,36168
1787144759.7462168,2,0,0
1787144759.7462168,3,0,0
1787144762.151148,0,55,36330
1787144762.151148,1,15,36168
1787144762.151148,2,0,0
1787144762.151148,3,0,0
1787144764.474532,0,16,36462
1787144764.474532,1,14,36168
1787144764.474532,2,0,0
1787144764.474532,3,0,0
1787144766.7984152,0,31,36526
1787144766.7984152,1,16,36280
1787144766.7984152,2,0,0
1787144766.7984152,3,0,0
1787144769.2168026,0,39,36528
1787144769.2168026,1,17,36392
1787144769.2168026,2,0,0
1787144769.2168026,3,0,0
1787144771.5216436,0,31,36714
1787144771.5216436,1,4,36504
1787144771.5216436,2,0,0
1787144771.5216436,3,0,0
1787144773.8306491,0,46,36714
1787144773.8306491,1,17,36896
1787144773.8306491,2,0,0
1787144773.8306491,3,0,0
1787144776.1556997,0,47,36714
1787144776.1556997,1,0,37120
1787144776.1556997,2,0,0
1787144776.1556997,3,0,0
1787144778.5950987,0,34,36714
1787144778.5950987,1,14,37120
1787144778.5950987,2,0,0
1787144778.5950987,3,0,0
1787144780.908779,0,30,36912
1787144780.908779,1,22,37120
1787144780.908779,2,0,0
1787144780.908779,3,0,0
1787144783.203857,0,45,36912
1787144783.203857,1,17,37120
1787144783.203857,2,0,0
1787144783.203857,3,0,0
1787144785.615498,0,32,36912
1787144785.615498,1,17,36896
1787144785.615498,2,0,0
1787144785.615498,3,0,0
1787144787.9274597,0,30,36912
1787144787.9274597,1,14,36978
1787144787.9274597,2,0,0
1787144787.9274597,3,0,0
1787144790.2745438,0,32,36912
1787144790.2745438,1,19,36978
1787144790.2745438,2,0,0
1787144790.2745438,3,0,0
1787144792.6362736,0,55,36912
1787144792.6362736,1,12,36978
1787144792.6362736,2,0,0
1787144792.6362736,3,0,0
1787144795.0116272,0,46,36912
1787144795.0116272,1,12,36978
1787144795.0116272,2,0,0
1787144795.0116272,3,0,0
1787144797.453081,0,32,36912
1787144797.453081,1,13,36754
1787144797.453081,2,0,0
1787144797.453081,3,0,0
1787144799.7849061,0,46,36912
1787144799.7849061,1,12,36754
1787144799.7849061,2,0,0
1787144799.7849061,3,0,0
1787144802.169148,0,36,36886
1787144802.169148,1,18,36710
1787144802.169148,2,0,0
1787144802.169148,3,0,0
1787144804.6149886,0,100,19842
1787144804.6149886,1,100,15110
1787144804.6149886,2,0,0
1787144804.6149886,3,0,0
1787144807.0231812,0,36,19842
1787144807.0231812,1,16,14998
1787144807.0231812,2,0,0
1787144807.0231812,3,0,0
1787144809.2751093,0,40,19842
1787144809.2751093,1,15,14998
1787144809.2751093,2,0,0
1787144809.2751093,3,0,0
1787144811.5961938,0,42,19842
1787144811.5961938,1,9,14998
1787144811.5961938,2,0,0
1787144811.5961938,3,0,0
1787144813.8842402,0,12,19906
1787144813.8842402,1,13,14998
1787144813.8842402,2,0,0
1787144813.8842402,3,0,0
1787144816.189538,0,35,19906
1787144816.189538,1,20,14998
1787144816.189538,2,0,0
1787144816.189538,3,0,0
1787144818.496448,0,39,19906
1787144818.496448,1,21,14998
1787144818.496448,2,0,0
1787144818.496448,3,0,0
1787144820.802005,0,80,19906
1787144820.802005,1,14,14998
1787144820.802005,2,0,0
1787144820.802005,3,0,0
1787144823.1115837,0,23,19778
1787144823.1115837,1,14,14998
1787144823.1115837,2,0,0
1787144823.1115837,3,0,0
1787144825.383789,0,46,19778
1787144825.383789,1,14,14998
1787144825.383789,2,0,0
1787144825.383789,3,0,0
1787144827.9152946,0,31,19778
1787144827.9152946,1,22,14998
1787144827.9152946,2,0,0
1787144827.9152946,3,0,0
1787144830.6588192,0,33,19778
1787144830.6588192,1,21,14998
1787144830.6588192,2,0,0
1787144830.6588192,3,0,0
1787144832.991869,0,38,19778
1787144832.991869,1,0,15152
1787144832.991869,2,0,0
1787144832.991869,3,0,0
1787144835.26911,0,39,19778
1787144835.26911,1,20,15222
1787144835.26911,2,0,0
1787144835.26911,3,0,0
1787144837.5952117,0,43,19778
1787144837.5952117,1,14,15222
1787144837.5952117,2,0,0
1787144837.5952117,3,0,0
1787144839.9317827,0,37,19778
1787144839.9317827,1,14,15222
1787144839.9317827,2,0,0
1787144839.9317827,3,0,0
1787144842.244167,0,46,19778
1787144842.244167,1,20,15222
1787144842.244167,2,0,0
1787144842.244167,3,0,0
1787144844.6330788,0,88,20820
1787144844.6330788,1,90,45164
1787144844.6330788,2,0,0
1787144844.6330788,3,0,0
1787144847.346322,0,7,19778
1787144847.346322,1,84,50482
1787144847.346322,2,0,0
1787144847.346322,3,0,0
1787144849.79045,0,2,24924
1787144849.79045,1,30,51994
1787144849.79045,2,0,0
1787144849.79045,3,0,0
1787144852.0700166,0,12,24924
1787144852.0700166,1,40,52346
1787144852.0700166,2,0,0
1787144852.0700166,3,0,0
1787144854.4219985,0,10,24924
1787144854.4219985,1,69,52352
1787144854.4219985,2,0,0
1787144854.4219985,3,0,0
1787144856.8436062,0,0,24924
1787144856.8436062,1,76,52352
1787144856.8436062,2,0,0
1787144856.8436062,3,0,0
1787144859.1967964,0,12,24924
1787144859.1967964,1,55,52480
1787144859.1967964,2,0,0
1787144859.1967964,3,0,0
1787144861.4998016,0,13,24924
1787144861.4998016,1,86,52704
1787144861.4998016,2,0,0
1787144861.4998016,3,0,0
1787144863.7940226,0,13,24924
1787144863.7940226,1,58,53072
1787144863.7940226,2,0,0
1787144863.7940226,3,0,0
1787144866.1744046,0,15,24924
1787144866.1744046,1,79,53328
1787144866.1744046,2,0,0
1787144866.1744046,3,0,0
1787144868.4745667,0,0,31804
1787144868.4745667,1,71,53328
1787144868.4745667,2,0,0
1787144868.4745667,3,0,0
1787144870.8360493,0,12,32954
1787144870.8360493,1,77,53328
1787144870.8360493,2,0,0
1787144870.8360493,3,0,0
1787144873.2890503,0,51,32982
1787144873.2890503,1,72,53384
1787144873.2890503,2,0,0
1787144873.2890503,3,0,0
1787144875.670397,0,48,33072
1787144875.670397,1,83,53760
1787144875.670397,2,0,0
1787144875.670397,3,0,0
1787144878.0534487,0,50,33122
1787144878.0534487,1,68,54048
1787144878.0534487,2,0,0
1787144878.0534487,3,0,0
1787144880.4267406,0,4,33398
1787144880.4267406,1,87,54048
1787144880.4267406,2,0,0
1787144880.4267406,3,0,0
1787144882.8493407,0,19,33914
1787144882.8493407,1,48,54176
1787144882.8493407,2,0,0
1787144882.8493407,3,0,0
1787144885.3285058,0,26,34026
1787144885.3285058,1,53,44920
1787144885.3285058,2,0,0
1787144885.3285058,3,0,0
1787144887.7605255,0,23,34026
1787144887.7605255,1,83,45048
1787144887.7605255,2,0,0
1787144887.7605255,3,0,0
1787144890.177792,0,21,34138
1787144890.177792,1,57,45304
1787144890.177792,2,0,0
1787144890.177792,3,0,0
1787144892.5224044,0,18,34138
1787144892.5224044,1,51,45304
1787144892.5224044,2,0,0
1787144892.5224044,3,0,0
1787144894.9023244,0,26,25006
1787144894.9023244,1,45,45304
1787144894.9023244,2,0,0
1787144894.9023244,3,0,0
1787144897.329004,0,24,20772
1787144897.329004,1,40,45304
1787144897.329004,2,0,0
1787144897.329004,3,0,0
1787144899.7180395,0,13,20772
