timestamp,gpu_id,gpu_utilization,memory_used_mib
1787140902.7098382,0,14,35766
1787140902.7098382,1,19,35786
1787140902.7098382,2,0,0
1787140902.7098382,3,0,0
1787140905.0982995,0,0,35768
1787140905.0982995,1,0,35786
1787140905.0982995,2,0,0
1787140905.0982995,3,0,0
1787140907.386227,0,39,36108
1787140907.386227,1,29,36238
1787140907.386227,2,0,0
1787140907.386227,3,0,0
1787140909.6795807,0,34,36132
1787140909.6795807,1,41,36824
1787140909.6795807,2,0,0
1787140909.6795807,3,0,0
1787140911.956041,0,43,36260
1787140911.956041,1,35,36838
1787140911.956041,2,0,0
1787140911.956041,3,0,0
1787140914.2412515,0,55,36352
1787140914.2412515,1,69,36838
1787140914.2412515,2,0,0
1787140914.2412515,3,0,0
1787140916.5245378,0,29,36798
1787140916.5245378,1,42,37062
1787140916.5245378,2,0,0
1787140916.5245378,3,0,0
1787140918.8116822,0,48,36832
1787140918.8116822,1,99,37062
1787140918.8116822,2,0,0
1787140918.8116822,3,0,0
1787140921.100237,0,62,36960
1787140921.100237,1,84,37062
1787140921.100237,2,0,0
1787140921.100237,3,0,0
1787140923.3835616,0,54,37126
1787140923.3835616,1,76,37062
1787140923.3835616,2,0,0
1787140923.3835616,3,0,0
1787140925.667716,0,99,37126
1787140925.667716,1,99,37062
1787140925.667716,2,0,0
1787140925.667716,3,0,0
1787140927.952886,0,100,37126
1787140927.952886,1,100,37322
1787140927.952886,2,0,0
1787140927.952886,3,0,0
1787140930.2165945,0,80,37272
1787140930.2165945,1,98,37322
1787140930.2165945,2,0,0
1787140930.2165945,3,0,0
1787140932.511681,0,65,37272
1787140932.511681,1,59,37322
1787140932.511681,2,0,0
1787140932.511681,3,0,0
1787140934.786749,0,80,37272
1787140934.786749,1,41,37322
1787140934.786749,2,0,0
1787140934.786749,3,0,0
1787140937.0846174,0,51,37416
1787140937.0846174,1,46,37546
1787140937.0846174,2,0,0
1787140937.0846174,3,0,0
1787140939.382241,0,72,37416
1787140939.382241,1,35,37940
1787140939.382241,2,0,0
1787140939.382241,3,0,0
1787140941.682621,0,52,37416
1787140941.682621,1,57,37940
1787140941.682621,2,0,0
1787140941.682621,3,0,0
1787140943.9806104,0,99,37416
1787140943.9806104,1,64,38358
