model,model_path,source_gpu,target_gpu,migration_start,target_ready_time,migration_end,migration_latency_s,service_downtime_s,migration_total_s,ordering,readiness_barrier,latency_is_submission_only,weight_bytes,kv_bytes,total_bytes,transfer_path,effective_gbps,success,peak_kvpr_before,peak_kvpr_after,tau,alg1_cycle,migration_id,implementation,workload,request_rate,seed
model_2,Qwen/Qwen2.5-1.5B-Instruct,1,0,1787133868.9164472,1787133871.1073034,1787133885.707194,2.1908562183380127,0.0,16.790746927261353,target-first,1,0,3554176000,0,3554176000,host-to-device + helper-gpu-p2p,5.320181513939164,True,0.039975483731773606,,0.00035,2,0,paper-faithful-v3,bursty,20,1
model_1,meta-llama/Llama-3.2-1B,0,1,1787133900.9034655,1787133902.531571,1787133903.6162355,1.6281054019927979,0.0,2.7127699851989746,target-first,1,0,2996965376,0,2996965376,host-to-device + helper-gpu-p2p,7.195628933195941,True,0.15774611910706018,,0.00035,6,1,paper-faithful-v3,bursty,20,1
model_4,Qwen/Qwen2.5-3B-Instruct,0,1,1787133931.6217306,1787133933.0748754,1787133943.5638778,1.4531447887420654,0.0,11.942147254943848,target-first,1,0,6794207232,0,6794207232,host-to-device + helper-gpu-p2p,7.35803573321974,True,0.2175898873341363,,0.00035,12,2,paper-faithful-v3,bursty,20,1
model_2,Qwen/Qwen2.5-1.5B-Instruct,0,1,1787133964.0207684,1787133964.8979056,1787133965.8973327,0.8771371841430664,0.0,1.8765642642974854,target-first,1,0,3554176000,0,3554176000,host-to-device + helper-gpu-p2p,4.077900158735694,True,0.227374549017741,,0.00035,17,3,paper-faithful-v3,bursty,20,1
model_4,Qwen/Qwen2.5-3B-Instruct,1,0,1787133994.593237,1787133996.138607,1787133996.7949483,1.545370101928711,0.0,2.201711416244507,target-first,1,0,6794207232,0,6794207232,host-to-device + helper-gpu-p2p,5.436200694734973,True,0.3433669537347299,,0.00035,23,4,paper-faithful-v3,bursty,20,1
model_1,meta-llama/Llama-3.2-1B,0,1,1787134041.553132,1787134042.3740246,1787134161.3175988,0.8208925724029541,0.0,119.76446676254272,target-first,1,0,2996965376,0,2996965376,host-to-device + helper-gpu-p2p,7.195628933195941,True,,,,,5,paper-faithful-v3,bursty,20,1
model_5,meta-llama/Llama-3.1-8B,0,1,1787134056.8885484,1787134058.7064397,1787134072.0868633,1.8178913593292236,0.0,15.198314905166626,target-first,1,0,16060522496,0,16060522496,host-to-device + helper-gpu-p2p,12.119318048748934,True,0.21478775150032914,,0.00035,35,6,paper-faithful-v3,bursty,20,1
model_1,meta-llama/Llama-3.2-1B,1,0,1787134087.5337355,1787134088.2033358,1787134088.6922045,0.669600248336792,0.0,1.1584689617156982,target-first,1,0,2996965376,0,2996965376,host-to-device + helper-gpu-p2p,6.151692051156006,True,0.13821333716633993,,0.00035,39,7,paper-faithful-v3,bursty,20,1
model_2,Qwen/Qwen2.5-1.5B-Instruct,1,0,1787134123.7825613,1787134125.0769742,1787134134.6405647,1.2944128513336182,0.0,10.858003377914429,target-first,1,0,3554176000,0,3554176000,host-to-device + helper-gpu-p2p,5.320181513939164,True,0.27462321222881275,,0.00035,29,8,paper-faithful-v3,bursty,20,1
model_5,meta-llama/Llama-3.1-8B,1,0,1787134186.4392064,1787134188.5407367,1787134199.3498914,2.1015303134918213,0.0,12.910685062408447,target-first,1,0,16060522496,0,16060522496,host-to-device + helper-gpu-p2p,6.59267800469677,True,0.3476271493448481,,0.00035,51,9,paper-faithful-v3,bursty,20,1
model_6,Qwen/Qwen2.5-7B-Instruct,0,1,1787134220.3908386,1787134223.1234944,1787134223.7088704,2.7326557636260986,0.0,3.3180317878723145,target-first,1,0,15231233024,0,15231233024,host-to-device + helper-gpu-p2p,5.562104242467116,True,0.24303868760546418,,0.00035,62,10,paper-faithful-v3,bursty,20,1
model_4,Qwen/Qwen2.5-3B-Instruct,0,1,1787134251.6180172,1787134253.0672185,1787134265.8245592,1.4492013454437256,0.0,14.206542015075684,target-first,1,0,6794207232,0,6794207232,host-to-device + helper-gpu-p2p,7.35803573321974,True,0.26294329711144127,,0.00035,68,11,paper-faithful-v3,bursty,20,1
model_4,Qwen/Qwen2.5-3B-Instruct,0,1,1787135798.20519,1787135800.5226796,1787135810.6269453,2.3174896240234375,0.0,12.421755313873291,target-first,1,0,6794207232,0,6794207232,host-to-device + helper-gpu-p2p,9.61531680900963,True,0.04904291619905582,,0.00035,2,0,paper-faithful-v3,bursty,20,2
model_2,Qwen/Qwen2.5-1.5B-Instruct,1,0,1787135831.4788241,1787135833.7369826,1787135834.688782,2.2581584453582764,0.0,3.2099578380584717,target-first,1,0,3554176000,0,3554176000,host-to-device + helper-gpu-p2p,6.962543091065566,True,0.15816579622365798,,0.00035,7,1,paper-faithful-v3,bursty,20,2
