migration_id,model,model_path,source_gpu,target_gpu,migration_start,target_ready_time,migration_end,migration_latency_s,service_downtime_s,migration_total_s,ordering,readiness_barrier,latency_is_submission_only,weight_bytes,kv_bytes,total_bytes,transfer_path,effective_gbps,success,peak_kvpr_before,peak_kvpr_after,tau,alg1_cycle
0,model_4,Qwen/Qwen2.5-3B-Instruct,0,1,1787143440.848956,1787143442.7825062,1787143457.1893675,1.9335501194000244,0.0,16.34041142463684,target-first,1,0,6794207232,0,6794207232,host-to-device + helper-gpu-p2p,10.528193216881052,True,0.0008077038348320111,,0.00035,1
1,model_2,Qwen/Qwen2.5-1.5B-Instruct,1,0,1787143472.303215,1787143473.5874693,1787143485.9704006,1.2842543125152588,0.0,13.667185544967651,target-first,1,0,3554176000,0,3554176000,host-to-device + helper-gpu-p2p,6.386704225873905,True,0.06648110072025781,,0.00035,5
2,model_4,Qwen/Qwen2.5-3B-Instruct,1,0,1787143506.1751428,1787143508.3456159,1787143524.3545537,2.170473098754883,0.0,18.179410934448242,target-first,1,0,6794207232,0,6794207232,host-to-device + helper-gpu-p2p,5.306246864279098,True,0.07714434261479569,,0.00035,10
3,model_2,Qwen/Qwen2.5-1.5B-Instruct,0,1,1787143539.579597,1787143541.1147108,1787143555.450531,1.53511381149292,0.0,15.870934009552002,target-first,1,0,3554176000,0,3554176000,host-to-device + helper-gpu-p2p,7.620714311660187,True,0.06798180079822681,,0.00035,14
4,model_1,meta-llama/Llama-3.2-1B,0,1,1787143570.7589767,1787143572.3861337,1787143580.6767492,1.6271569728851318,0.0,9.9177725315094,target-first,1,0,2996965376,0,2996965376,host-to-device + helper-gpu-p2p,7.059879092759093,True,0.06722193727335565,,0.00035,18
5,model_1,meta-llama/Llama-3.2-1B,1,0,1787143606.100803,1787143607.6009367,1787143616.9564636,1.500133752822876,0.0,10.855660676956177,target-first,1,0,2996965376,0,2996965376,host-to-device + helper-gpu-p2p,4.77883072102888,True,0.05956014008484199,,0.00035,24
6,model_1,meta-llama/Llama-3.2-1B,0,1,1787143637.4867373,1787143638.7036352,1787143641.8360307,1.216897964477539,0.0,4.34929347038269,target-first,1,0,2996965376,0,2996965376,host-to-device + helper-gpu-p2p,7.059879092759093,True,0.051992372786027016,,0.00035,29
7,model_1,meta-llama/Llama-3.2-1B,1,0,1787143668.0173612,1787143669.0764406,1787143681.0313087,1.0590794086456299,0.0,13.013947486877441,target-first,1,0,2996965376,0,2996965376,host-to-device + helper-gpu-p2p,4.77883072102888,True,0.059885409647554094,,0.00035,35
8,model_1,meta-llama/Llama-3.2-1B,0,1,1787143706.967534,1787143708.4555316,1787143716.9015853,1.4879975318908691,0.0,9.934051275253296,target-first,1,0,2996965376,0,2996965376,host-to-device + helper-gpu-p2p,7.059879092759093,True,0.07187491995260399,,0.00035,41
9,model_1,meta-llama/Llama-3.2-1B,1,0,1787143737.4819963,1787143739.1344585,1787143749.8781765,1.6524622440338135,0.0,12.396180152893066,target-first,1,0,2996965376,0,2996965376,host-to-device + helper-gpu-p2p,4.77883072102888,True,0.0682176955027062,,0.00035,46
10,model_2,Qwen/Qwen2.5-1.5B-Instruct,1,0,1787143775.5237947,1787143777.6906018,1787143790.429854,2.166807174682617,0.0,14.906059265136719,target-first,1,0,3554176000,0,3554176000,host-to-device + helper-gpu-p2p,6.386704225873905,True,0.06993387594349273,,0.00035,52
11,model_1,meta-llama/Llama-3.2-1B,0,1,1787143806.2674227,1787143808.063592,1787143824.1259942,1.7961692810058594,0.0,17.858571529388428,target-first,1,0,2996965376,0,2996965376,host-to-device + helper-gpu-p2p,7.059879092759093,True,0.08302507180649038,,0.00035,56
12,model_1,meta-llama/Llama-3.2-1B,1,0,1787143839.7649465,1787143841.513244,1787143848.6652853,1.7482974529266357,0.0,8.900338888168335,target-first,1,0,2996965376,0,2996965376,host-to-device + helper-gpu-p2p,4.77883072102888,True,0.08135839795573582,,0.00035,60
