request_id,model,arrival_time,completion_time,prompt_tokens,output_tokens,ttft_s,tpot_s,e2e_s,ttft_slo_s,tpot_slo_s,ttft_slo_met,tpot_slo_met,joint_slo_met,success,in_measurement_window
model_2#0,model_2,0.06031852245866218,14.892136805470333,50,268,0.0908050537109375,0.0549711238092451,14.831818283011671,0.22660613059997559,0.03378264047205448,1,0,0,1,0
model_6#0,model_6,0.11403353660297495,0.8939661646103478,320,16,0.20500397682189941,0.03563666343688965,0.7799326280073728,0.6012606620788574,0.037298424169421196,1,1,1,1,0
model_5#0,model_5,0.24364315167765327,1.8112936376797473,60,55,0.09282565116882324,0.026724429564042525,1.5676504860020941,0.6448996067047119,0.040172288194298744,1,1,1,1,0
model_5#1,model_5,0.3151467567565246,4.740284073753804,11,155,0.09402108192443848,0.02789927913296607,4.425137316997279,0.6448996067047119,0.040172288194298744,1,1,1,1,0
model_2#1,model_2,0.3774580179406117,3.9768540659379,419,30,0.12091064453125,0.11577171484629313,3.5993960479972884,0.22660613059997559,0.03378264047205448,1,0,0,1,0
model_2#2,model_2,0.3854930729005047,9.0717746119055,288,95,0.23404455184936523,0.08890997234143709,8.686281539004995,0.22660613059997559,0.03378264047205448,0,0,0,1,0
model_2#3,model_2,0.4136001231272257,2.266892412128045,363,24,0.20580482482910156,0.06841541330019633,1.8532922890008194,0.22660613059997559,0.03378264047205448,1,0,0,1,0
model_2#4,model_2,0.5030252021858501,1.8516231231803573,94,16,0.11587882041931152,0.07675597071647644,1.3485979209945071,0.22660613059997559,0.03378264047205448,1,0,0,1,0
model_3#0,model_3,0.5496701935015426,17.70113806450975,208,312,0.11724305152893066,0.0545635231030293,17.151467871008208,0.3281092643737793,0.03691067732870579,1,0,0,1,0
model_2#5,model_2,0.5537296988811715,8.315377610870884,34,70,0.08745741844177246,0.1095207759312221,7.761647911989712,0.22660613059997559,0.03378264047205448,1,0,0,1,0
model_2#6,model_2,0.6546713875751754,18.59419696757973,134,384,0.06641721725463867,0.04651582675675551,17.939525580004556,0.22660613059997559,0.03378264047205448,1,0,0,1,0
model_2#7,model_2,0.7197867713435473,2.0802423073506136,1316,16,0.09724712371826172,0.07804718613624573,1.3604555360070663,0.22660613059997559,0.03378264047205448,1,0,0,1,0
model_2#8,model_2,0.7907852550321335,2.0814306200242214,194,16,0.134796142578125,0.07151196897029877,1.2906453649920877,0.22660613059997559,0.03378264047205448,1,0,0,1,0
model_2#9,model_2,0.8188657001116826,2.0809875481170184,621,16,0.10647392272949219,0.07154463231563568,1.2621218480053358,0.22660613059997559,0.03378264047205448,1,0,0,1,0
model_2#10,model_2,0.9192181741266099,17.82768293812408,570,354,0.4935901165008545,0.04633436499342407,16.908464763997472,0.22660613059997559,0.03378264047205448,0,0,0,1,0
model_2#11,model_2,1.037663070777903,7.647173998777411,329,53,0.43944287300109863,0.11630307503466336,6.609510927999509,0.22660613059997559,0.03378264047205448,0,0,0,1,0
model_5#2,model_5,1.1065465344280683,5.982281539428092,92,158,0.16398191452026367,0.02976272528684592,4.875735005000024,0.6448996067047119,0.040172288194298744,1,1,1,1,0
model_3#1,model_3,1.1592418740601826,1.7317199510707835,771,16,0.129624605178833,0.027181297540664673,0.5724780770106008,0.3281092643737793,0.03691067732870579,1,1,1,1,0
model_2#12,model_2,1.1685094714269542,2.079509120427541,447,16,0.30862975120544434,0.03712138533592224,0.9109996490005869,0.22660613059997559,0.03378264047205448,0,0,0,1,0
model_2#13,model_2,1.1726246090863717,13.885580276083376,347,228,0.30535006523132324,0.05437261598152027,12.712955666997004,0.22660613059997559,0.03378264047205448,0,0,0,1,0
model_2#14,model_2,1.235454733474761,4.271960387477883,241,37,0.2419719696044922,0.07539636379963643,3.036505654003122,0.22660613059997559,0.03378264047205448,0,0,0,1,0
model_2#15,model_2,1.344574852340257,17.021211938338922,18,323,0.13263392448425293,0.04809338094280231,15.676637085998664,0.22660613059997559,0.03378264047205448,1,0,0,1,0
model_2#16,model_2,1.4244030628668714,4.340145458865549,983,38,0.10445237159729004,0.07380745285435726,2.9157423959986772,0.22660613059997559,0.03378264047205448,1,0,0,1,0
model_2#17,model_2,1.5377161904074736,18.653452225411847,576,384,0.059488773345947266,0.04438645268479983,17.115736035004375,0.22660613059997559,0.03378264047205448,1,0,0,1,0
model_2#18,model_2,1.5625249434090842,8.436895487408332,159,70,0.054151296615600586,0.09735805988311767,6.874370543999248,0.22660613059997559,0.03378264047205448,1,0,0,1,0
model_3#2,model_3,1.709193949592644,19.740589589584033,187,334,0.0480198860168457,0.05381113540626572,18.031395639991388,0.3281092643737793,0.03691067732870579,1,0,0,1,0
