request_id,model,arrival_time,completion_time,prompt_tokens,output_tokens,ttft_s,tpot_s,e2e_s,ttft_slo_s,tpot_slo_s,ttft_slo_met,tpot_slo_met,joint_slo_met,success,in_measurement_window
model_2#0,model_2,0.002523480954177426,6.802680087955732,76,202,0.0681145191192627,0.0332871687294233,6.800156607001554,0.22660613059997559,0.03378264047205448,1,1,1,1,0
model_4#0,model_4,0.0415102274427781,15.607257303447987,84,384,0.15593385696411133,0.040099174405137696,15.56574707600521,0.3274989128112793,0.04136216081678867,1,1,1,1,0
model_5#0,model_5,0.22465751581385085,1.0963009348130068,356,16,0.25424838066101074,0.038259416818618774,0.871643418999156,0.6448996067047119,0.040172288194298744,1,1,1,1,0
model_5#1,model_5,0.28132731520425613,25.068951727202222,22,384,0.2342545986175537,0.06391354463994503,24.787624411997967,0.6448996067047119,0.040172288194298744,1,0,0,1,0
model_2#1,model_2,1.4618924827709523,10.89791241176589,90,248,0.04307246208190918,0.03784315336135126,9.436019928994938,0.22660613059997559,0.03378264047205448,1,0,0,1,0
model_6#0,model_6,1.6462796414476166,4.363287938444554,163,69,0.18221688270568848,0.03665412336155988,2.717008296996937,0.6012606620788574,0.037298424169421196,1,1,1,1,0
model_5#2,model_5,1.750790930846804,3.3154230848438853,142,47,0.0630037784576416,0.03183201526073699,1.5646321539970813,0.6448996067047119,0.040172288194298744,1,1,1,1,0
model_5#3,model_5,1.88050304849805,9.727748854496731,10,157,0.057756900787353516,0.049571954520644654,7.847245805998682,0.6448996067047119,0.040172288194298744,1,0,0,1,0
model_6#1,model_6,1.889431746837087,12.754154105831272,23,226,0.04573178291320801,0.04783061014867462,10.864722358994186,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_5#4,model_5,2.0126397074514157,5.710693351461049,10,84,0.057478904724121094,0.043256946972438266,3.698053644009633,0.6448996067047119,0.040172288194298744,1,0,0,1,0
model_4#1,model_4,2.160692179385224,13.345347651381163,27,277,0.062200069427490234,0.04010899488676326,11.184655471995939,0.3274989128112793,0.04136216081678867,1,1,1,1,0
model_3#0,model_3,2.2698841039647144,12.067526877956979,17,195,0.09439969062805176,0.049713430649194965,9.797642773992266,0.3281092643737793,0.03691067732870579,1,0,0,1,0
model_3#1,model_3,2.610902307646852,27.4396759356504,8,384,0.09209132194519043,0.06438645347952843,24.828773628003546,0.3281092643737793,0.03691067732870579,1,0,0,1,0
model_3#2,model_3,2.8185474409700784,6.915590677964147,359,78,0.11492800712585449,0.05097518211755997,4.097043236994068,0.3281092643737793,0.03691067732870579,1,0,0,1,0
model_3#3,model_3,2.835761642038739,27.474236570035607,8,384,0.09853172302246094,0.06387858465313911,24.638474927996867,0.3281092643737793,0.03691067732870579,1,0,0,1,0
model_1#0,model_1,3.342000038713251,4.39954798269997,483,32,0.10239911079406738,0.029666215181350708,1.0575479439867195,0.14725327491760254,0.021735001355409622,1,0,0,1,0
model_3#4,model_3,3.490384733336944,4.4838600563269235,308,27,0.0952460765838623,0.033067014482286244,0.9934753229899798,0.3281092643737793,0.03691067732870579,1,1,1,1,0
model_6#2,model_6,3.7691707400919094,18.29218923709061,17,260,0.1068885326385498,0.05541566151839036,14.523018496998702,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_5#5,model_5,3.956488439430066,20.56425901242863,68,225,0.08376359939575195,0.07340465969509549,16.60777057299856,0.6448996067047119,0.040172288194298744,1,0,0,1,0
model_4#2,model_4,4.00364417736289,4.918062710356185,18,29,0.09066653251647949,0.02824121508105048,0.9144185329932952,0.3274989128112793,0.04136216081678867,1,1,1,1,0
model_5#6,model_5,4.005281543846262,7.1145186148419945,175,56,0.07922744750976562,0.05384831343378339,3.109237070995732,0.6448996067047119,0.040172288194298744,1,0,0,1,0
model_5#7,model_5,4.201978190617856,30.64216980261471,16,384,0.08034229278564453,0.0686178021132946,26.440191611996852,0.6448996067047119,0.040172288194298744,1,0,0,1,0
