request_id,model,arrival_time,completion_time,prompt_tokens,output_tokens,ttft_s,tpot_s,e2e_s,ttft_slo_s,tpot_slo_s,ttft_slo_met,tpot_slo_met,joint_slo_met,success,in_measurement_window
model_5#0,model_5,0.1989651362742446,0.6775363742704652,356,16,0.0897526741027832,0.02393452823162079,0.4785712379962206,0.6448996067047119,0.040172288194298744,1,1,1,1,0
model_2#0,model_2,0.3774580179406117,3.183005740948815,76,202,0.15972113609313965,0.013055352881403253,2.8055477230082033,0.22660613059997559,0.03378264047205448,1,1,1,1,0
model_2#1,model_2,0.4136001231272257,4.077109930138222,90,248,0.1437397003173828,0.014158977616217828,3.663509807010996,0.22660613059997559,0.03378264047205448,1,1,1,1,0
model_2#2,model_2,0.5030252021858501,1.75839777017583,13,105,0.05504035949707031,0.0113851683480399,1.2553725679899799,0.22660613059997559,0.03378264047205448,1,1,1,1,0
model_5#1,model_5,0.5866028306120954,6.466582188623137,22,384,0.040247440338134766,0.015181219826141993,5.879979358011042,0.6448996067047119,0.040172288194298744,1,1,1,1,0
model_2#3,model_2,0.7197867713435473,8.355127488338962,10,361,0.021158218383789062,0.021064838213933804,7.635340716995415,0.22660613059997559,0.03378264047205448,1,1,1,1,0
model_2#4,model_2,0.8188657001116826,9.484010412121034,413,384,0.02398967742919922,0.02245037940641244,8.66514471200935,0.22660613059997559,0.03378264047205448,1,1,1,1,0
model_5#2,model_5,0.8862104756561785,1.5497844066566069,142,47,0.04260730743408203,0.013118941733177672,0.6635739310004283,0.6448996067047119,0.040172288194298744,1,1,1,1,0
model_2#5,model_2,0.9192181741266099,9.482851620126194,72,375,0.034871816635131836,0.022698809305826823,8.563633445999585,0.22660613059997559,0.03378264047205448,1,1,1,1,0
model_2#6,model_2,1.1726246090863717,10.550977464083873,128,384,0.022028207778930664,0.024338647723197937,9.378352854997502,0.22660613059997559,0.03378264047205448,1,1,1,1,0
model_2#7,model_2,1.5625249434090842,11.886534586418133,10,384,0.027489662170410156,0.02678735988835494,10.324009643009049,0.22660613059997559,0.03378264047205448,1,1,1,1,0
model_5#3,model_5,1.712047361608532,4.068139206603339,10,157,0.018964529037475586,0.014846671159100381,2.3560918449948076,0.6448996067047119,0.040172288194298744,1,1,1,1,0
model_2#8,model_2,1.8482379603149046,8.227731199315926,35,259,0.027186155319213867,0.024493295713741346,6.379493239001022,0.22660613059997559,0.03378264047205448,1,1,1,1,0
model_3#0,model_3,2.550102540852503,7.141017875845545,17,195,0.12284064292907715,0.022878068532699195,4.590915334993042,0.3281092643737793,0.03691067732870579,1,1,1,1,0
model_5#4,model_5,2.5968164312917197,3.91844510829562,10,84,0.09834551811218262,0.014504310630616687,1.3216286770039005,0.6448996067047119,0.040172288194298744,1,1,1,1,0
model_3#1,model_3,2.6092988915596544,13.105094004565096,8,384,0.17882752418518066,0.02682908872763316,10.495795113005443,0.3281092643737793,0.03691067732870579,1,1,1,1,0
model_3#2,model_3,2.654977656360289,4.14104373437077,359,78,0.13273000717163086,0.017275000229859963,1.4860660780104809,0.3281092643737793,0.03691067732870579,1,1,1,1,0
model_2#9,model_2,2.8616262697131334,3.34260108072599,400,24,0.05025529861450195,0.017755061388015747,0.48097481101285666,0.22660613059997559,0.03378264047205448,1,1,1,1,0
model_5#5,model_5,3.001267473112993,6.449718397112182,68,225,0.03193211555480957,0.015150166617499457,3.4484509239991894,0.6448996067047119,0.040172288194298744,1,1,1,1,0
model_2#10,model_2,3.1213873540726276,3.586096688075319,224,22,0.03840923309326172,0.019146366552873093,0.4647093340026913,0.22660613059997559,0.03378264047205448,1,1,1,1,0
model_2#11,model_2,3.186536137500672,4.378561469499266,12,62,0.037023067474365234,0.018560048072568832,1.1920253319985932,0.22660613059997559,0.03378264047205448,1,1,1,1,0
model_2#12,model_2,3.2342378740809403,3.601211727081613,310,18,0.043280601501464844,0.017767031987508137,0.36697385300067253,0.22660613059997559,0.03378264047205448,1,1,1,1,0
model_2#13,model_2,3.3969150370797068,16.225476635078195,93,384,0.040015459060668945,0.033275569478670754,12.828561597998487,0.22660613059997559,0.03378264047205448,1,1,1,1,0
model_2#14,model_2,3.4408597757585966,13.984805349756513,19,318,0.028530120849609375,0.03303835451977808,10.543945573997917,0.22660613059997559,0.03378264047205448,1,1,1,1,0
model_2#15,model_2,3.5033624251001827,7.0115672921012235,247,128,0.034700632095336914,0.027060259133577347,3.508204867001041,0.22660613059997559,0.03378264047205448,1,1,1,1,0
model_3#3,model_3,3.5417865367379417,14.50568426873711,8,384,0.03800320625305176,0.028426516180237133,10.963897731999168,0.3281092643737793,0.03691067732870579,1,1,1,1,0
model_3#4,model_3,3.7540441926251216,4.250375159623479,308,27,0.045676231384277344,0.016504225907502352,0.4963309669983573,0.3281092643737793,0.03691067732870579,1,1,1,1,0
model_2#16,model_2,3.8417526328766964,4.167865222879291,292,16,0.04311323165893555,0.017377912998199463,0.3261125900025945,0.22660613059997559,0.03378264047205448,1,1,1,1,0
model_2#17,model_2,3.842253736024931,4.249694870021985,370,21,0.0425570011138916,0.017140343075706846,0.40744113399705384,0.22660613059997559,0.03378264047205448,1,1,1,1,0
model_2#18,model_2,3.846014817768888,4.521214681764546,517,36,0.07683777809143066,0.01646472348107232,0.6751998639956582,0.22660613059997559,0.03378264047205448,1,1,1,1,0
model_5#6,model_5,4.222796590032622,5.187231005032763,175,56,0.04287433624267578,0.016363680362701416,0.9644344150001416,0.6448996067047119,0.040172288194298744,1,1,1,1,0
model_2#19,model_2,4.304619545204973,4.599350502205839,391,16,0.04703807830810547,0.015177905559539795,0.2947309570008656,0.22660613059997559,0.03378264047205448,1,1,1,1,0
model_2#20,model_2,4.635934320969892,7.010140994964087,330,64,0.042250633239746094,0.03630592301487923,2.3742066739941947,0.22660613059997559,0.03378264047205448,1,0,0,1,0
model_2#21,model_2,4.69089130828799,12.324222247290908,104,198,0.03675198554992676,0.03831537805422388,7.633330939002917,0.22660613059997559,0.03378264047205448,1,0,0,1,0
model_2#22,model_2,4.715893550805935,5.240695497807769,433,17,0.03936910629272461,0.028253919938031363,0.5248019470018335,0.22660613059997559,0.03378264047205448,1,1,1,1,0
