request_id,model,arrival_time,completion_time,prompt_tokens,output_tokens,ttft_s,tpot_s,e2e_s,ttft_slo_s,tpot_slo_s,ttft_slo_met,tpot_slo_met,joint_slo_met,success,in_measurement_window
model_2#0,model_2,0.002523480954177426,3.2491225349473,76,202,0.0787663459777832,0.015640416947921905,3.2465990539931227,0.22660613059997559,0.03378264047205448,1,1,1,1,0
model_4#0,model_4,0.0415102274427781,10.791321876445146,84,384,0.08335089683532715,0.02774923915664355,10.749811649002368,0.3274989128112793,0.04136216081678867,1,1,1,1,0
model_5#0,model_5,0.22465751581385085,0.8074427448233106,356,16,0.15906643867492676,0.026189520955085754,0.5827852290094597,0.6448996067047119,0.040172288194298744,1,1,1,1,0
model_5#1,model_5,0.28132731520425613,16.632898940200977,22,384,0.14282822608947754,0.04218328309555849,16.351571624996723,0.6448996067047119,0.040172288194298744,1,0,0,1,0
model_2#1,model_2,1.4618924827709523,7.427228241770525,90,248,0.029860734939575195,0.02389080774399542,5.965335758999572,0.22660613059997559,0.03378264047205448,1,1,1,1,0
model_6#0,model_6,1.6462796414476166,3.800343089451925,163,69,0.09540367126464844,0.029753450034321217,2.154063448004308,0.6012606620788574,0.037298424169421196,1,1,1,1,0
model_5#2,model_5,1.750790930846804,3.106314850853621,142,47,0.05770611763000488,0.02747898406170784,1.3555239200068172,0.6448996067047119,0.040172288194298744,1,1,1,1,0
model_5#3,model_5,1.88050304849805,7.337598653499136,10,157,0.05402016639709473,0.034373161899056405,5.457095605001086,0.6448996067047119,0.040172288194298744,1,1,1,1,0
model_6#1,model_6,1.889431746837087,9.905531145836445,23,226,0.04555964469909668,0.035231968997854045,8.016099398999359,0.6012606620788574,0.037298424169421196,1,1,1,1,0
model_5#4,model_5,2.0126397074514157,4.552712570441616,10,84,0.0531613826751709,0.029542210556211927,2.5400728629902005,0.6448996067047119,0.040172288194298744,1,1,1,1,0
model_4#1,model_4,2.160692179385224,10.246592443391565,27,277,0.051878929138183594,0.02897158426498248,8.08590026400634,0.3274989128112793,0.04136216081678867,1,1,1,1,0
model_3#0,model_3,2.2698841039647144,8.88769150596373,17,195,0.1033625602722168,0.03336990918868627,6.617807401999016,0.3281092643737793,0.03691067732870579,1,1,1,1,0
model_3#1,model_3,2.610902307646852,14.979858545649135,8,384,0.11435246467590332,0.03188530479868253,12.368956238002283,0.3281092643737793,0.03691067732870579,1,1,1,1,0
model_3#2,model_3,2.8185474409700784,5.268517296980363,359,78,0.08681607246398926,0.030213273488558255,2.4499698560102843,0.3281092643737793,0.03691067732870579,1,1,1,1,0
model_3#3,model_3,2.835761642038739,15.068545401037005,8,384,0.10407662391662598,0.03155838760236899,12.232783758998266,0.3281092643737793,0.03691067732870579,1,1,1,1,0
model_1#0,model_1,3.342000038713251,4.05210077372709,483,32,0.1089937686920166,0.01860063523054123,0.7101007350138389,0.14725327491760254,0.021735001355409622,1,1,1,1,0
