implementation,workload,request_rate,seed,offered_rate,achieved_throughput,goodput,total_requests,completed_requests,failed_requests,joint_slo,ttft_slo,tpot_slo,ttft_mean,ttft_p50,ttft_p95,ttft_p99,ttft_max,tpot_mean,tpot_p50,tpot_p95,tpot_p99,tpot_max,e2e_mean,e2e_p50,e2e_p95,e2e_p99,e2e_max,migration_count,migration_decisions_logged,migration_success,migration_failed,migration_latency_is_submission_only,migration_latency_mean,migration_latency_p50,migration_latency_p95,migration_latency_p99,migration_latency_max,migration_total_time,migration_weight_bytes,migration_kv_bytes,migration_total_bytes,migration_bandwidth,migration_bandwidth_p50,migration_paths,service_downtime_mean,service_downtime_p50,service_downtime_p95,service_downtime_p99,admitted_requests,deferred_requests,requeued_requests,shed_requests,deadline_violations,alg2_rounds,alg2_eligible,alg2_pathological_rounds,queue_length_mean,queue_length_max,activations,deactivations,idle_evictions,alg1_cycles,alg1_placement_decisions,alg1_migrate_decisions,activation_count,activation_total_s,deactivation_count,deactivation_total_s,weight_transfer_total_s,weight_transfer_mean_gbps,weight_transfers,p2p_weight_transfers,page_locked_transfers,alg1_suppressed_by_tau,alg1_rejected_by_memory,alg1_convergence_gap_mean
paper-faithful-v3,bursty,8,1,8.04,8.04,1.53,2412,2412,0,0.19029850746268656,0.9295190713101161,0.20066334991708126,218.32431786095918,115.28337001800537,589.1681671142576,1879.797813892361,18450.23202896118,65.90016248552031,50.14715374757846,142.949910893252,365.48779622504543,798.8316267728806,10124.242979546449,6863.157861997024,30660.252540403595,49225.848796456696,53542.923348999466,13,25,13,0,0,7974.624670468844,2072.345972061157,38746.297550201394,47150.07204055785,49251.01566314697,217.49043941497803,125973670912,0,125973670912,7.942707887145063,8.35015166370846,host-to-device + helper-gpu-p2p,6230.320600362925,0.0,38746.297550201394,47150.07204055785,1061,41,0,41,41,1028,1102,0,1.100194552529183,12,6,19,7,67,363,13,18,35.008251905441284,19,133.96938729286194,25.33741754296352,8.309679983304537,24,0,0,,,
paper-faithful-v3,bursty,8,2,7.953333333333333,7.953333333333333,1.4733333333333334,2386,2386,0,0.18524727577535624,0.9015088013411567,0.18943839061190276,413.09974819097016,111.83083057403564,1977.7970910072327,7360.632860660561,10321.699619293213,56.904767992253376,51.95910795086449,96.9986627223315,167.3205929075511,283.1059992313385,9400.110060611347,6650.263063005696,27793.207439746766,34918.47811389676,53456.2997489993,12,25,12,0,0,9158.749004205069,2311.940312385559,44831.01431131363,46243.52353334427,46596.65083885193,178.80199718475342,94438849536,0,94438849536,9.2441328713236,8.765229587545209,host-to-device + helper-gpu-p2p,7498.587787151337,0.0,44831.01431131363,46243.52353334427,1011,193,2,191,191,979,1204,0,1.278855975485189,44,9,20,9,74,386,14,20,39.92715096473694,20,101.3287091255188,24.74924485302472,8.604982391809033,26,0,0,,,
paper-faithful-v3,bursty,8,3,8.163333333333334,8.163333333333334,1.39,2449,2449,0,0.17027358105349122,0.9158840342997142,0.17476521028991426,216.39699340110022,116.01448059082031,713.8515472412106,1999.5176315307601,8058.233261108398,65.60206461798313,55.49745261669159,135.78755521328645,227.82437443733215,298.1298863887787,10118.122228066053,7332.8921899956185,28657.509271203882,39082.202775358455,45030.70471000683,13,26,13,0,0,2135.0446664370024,2046.3602542877197,2854.267835617065,3064.3069744110103,3116.816759109497,139.63134360313416,110223345664,0,110223345664,7.754279632844597,6.5016428594672275,host-to-device + helper-gpu-p2p,0.0,0.0,0.0,0.0,1072,39,0,39,39,1044,1111,0,1.0651340996168583,12,6,20,7,69,354,13,19,41.10102105140686,20,120.81001925468445,24.636543137035915,8.634489717471782,25,0,0,,,
paper-faithful-v3,bursty,20,1,20.186666666666667,20.186666666666667,7.216666666666667,6056,6056,0,0.3574966974900925,0.9331241743725232,0.37153236459709377,192.84865968765953,87.21911907196045,690.8553838729858,2057.818973064421,7931.357383728027,91.67002889345223,43.670443333175086,246.64247758460766,1325.1643326911262,2324.154943227768,10866.436232712822,5988.3800224997685,37370.45827124166,83342.72282549852,101684.91362899658,12,26,12,0,0,1548.399845759074,1499.2574453353882,2434.666013717651,2673.0578136444096,2732.6557636260986,212.9384527206421,87388323840,0,87388323840,6.640632130104098,6.372185027926388,host-to-device + helper-gpu-p2p,0.0,0.0,0.0,0.0,1474,65,0,65,65,1348,1539,0,1.1780415430267062,18,6,19,7,76,424,14,18,26.80128765106201,19,86.24110102653503,24.666915582012734,7.407417417140838,24,0,0,,,
paper-faithful-v3,bursty,20,2,19.51,19.51,0.8833333333333333,5853,5853,0,0.04527592687510678,0.6837519220912353,0.04613018964633521,996.5231471971714,185.55712699890137,5477.700376510618,12192.93587684631,18321.633100509644,225.55920363759964,123.07346458277426,824.9020546674728,2114.2703324556146,2851.3136506080627,23446.140534347804,16345.197567992727,71532.90762859979,86741.85414955893,100078.74884699413,13,26,13,0,0,7292.304479158842,2543.846845626831,26385.87026596066,37748.20524215696,40588.788986206055,301.8103234767914,115558253568,0,115558253568,7.754715770648887,6.962543091065566,host-to-device + helper-gpu-p2p,5361.255187254686,0.0,26385.87026596066,37748.20524215696,1599,847,15,832,832,1257,2446,3,2.5385839299920447,124,9,24,11,60,310,13,22,52.527881383895874,24,204.46723747253418,27.331556931050727,8.492569386212674,28,0,0,,,
paper-faithful-v3,bursty,20,3,19.976666666666667,19.976666666666667,5.293333333333333,5993,5993,0,0.264975805105957,0.7725679959953279,0.2694810612381111,636.474072863577,131.3183307647705,2612.3072624206543,10429.992046356185,13772.308826446533,172.29927095246728,67.03624812265237,625.8646945953362,1358.5089501828843,2070.029065012932,19633.523978887813,10170.458378997864,74800.33871279446,92607.82925603446,105715.07880999707,13,27,13,0,0,4758.214895541852,1556.5993785858154,18911.191082000674,39065.38640975948,44103.93524169922,165.1656243801117,117542002688,0,117542002688,8.031443352172516,7.024376283151665,host-to-device + helper-gpu-p2p,3392.6104032076323,0.0,17641.574096679626,38811.46301269527,1499,824,7,817,817,1184,2323,0,3.89527027027027,206,5,19,6,72,362,14,18,25.00892972946167,19,107.84266829490662,25.122385365059017,8.161592516051785,24,0,0,,,
paper-faithful-v3,steady,8,1,8.04,8.04,0.7066666666666667,2412,2412,0,0.087893864013267,0.9805140961857379,0.08872305140961857,131.33011983204045,111.0609769821167,267.1234846115111,514.4741988182066,1476.6771793365479,54.8698478952917,50.48433047785748,89.46426657996335,104.21043043398377,202.9625028371811,9250.454110463173,6159.928260996821,26078.097722493112,33799.43735677005,39393.05791100196,13,26,13,0,0,1515.6511893639197,1448.7652778625488,2332.7923774719225,2738.3064460754385,2839.6849632263184,147.48964929580688,43315002368,0,43315002368,6.370544416374015,7.909765410298652,host-to-device + helper-gpu-p2p,0.0,0.0,0.0,0.0,1159,0,0,0,0,1116,1159,0,1.0385304659498207,6,0,13,0,70,420,13,13,19.703465461730957,13,127.75977683067322,15.777805882011307,6.480608875617437,19,0,0,,,
paper-faithful-v3,steady,8,2,8.093333333333334,8.093333333333334,0.71,2428,2428,0,0.08772652388797364,0.9794069192751236,0.08896210873146623,126.01677943297234,109.58945751190186,253.55764627456665,443.4681701660156,793.4613227844238,52.993578216973354,51.81636980601719,84.23197316005826,98.72714116998104,124.34746424357095,8910.218341949922,6104.657477997534,24795.96915929942,30792.415078121267,33593.60611300508,12,24,12,0,0,1647.1463044484456,1623.8172054290771,1985.2166295051575,2040.5964875221252,2054.441452026367,155.60661602020264,55891620864,0,55891620864,6.112985607076883,5.7468318277538195,host-to-device + helper-gpu-p2p,0.0,0.0,0.0,0.0,1144,0,0,0,0,1120,1144,0,1.0214285714285714,3,0,12,0,68,408,12,12,19.765755653381348,12,135.82939195632935,17.347880215980695,6.2657258650812455,18,0,0,,,
paper-faithful-v3,steady,8,3,8.083333333333334,8.083333333333334,0.5233333333333333,2425,2425,0,0.06474226804123712,0.9806185567010309,0.06515463917525773,138.52306975531823,117.54870414733887,300.12164115905756,495.7788944244369,1732.6297760009766,58.89762095035123,53.66903295119604,91.27805656316329,115.45649429162323,190.5643343925476,9803.12876012624,7063.476190000074,28617.789842799506,32992.20738395815,38002.78874998912,13,28,13,0,0,1629.1071635026199,1627.1569728851318,2168.2735443115234,2170.033187866211,2170.473098754883,166.1898171901703,48226665472,0,48226665472,6.429492469209233,6.386704225873905,host-to-device + helper-gpu-p2p,0.0,0.0,0.0,0.0,1127,0,0,0,0,1095,1127,0,1.0292237442922374,4,0,14,0,66,396,14,13,21.178393125534058,13,144.99947261810303,15.650790540035814,6.645688290902945,19,0,0,,,
paper-faithful-v4,bursty,8,1,8.04,8.04,1.16,2412,2412,0,0.14427860696517414,0.8975953565505804,0.15339966832504145,249.25395396613757,116.03701114654541,842.6804423332196,2835.4891681671124,14503.438711166382,68.26533373069194,49.694686925271284,168.4412356533784,459.83000258604125,1159.631758928299,10271.442581010337,7130.3482165021705,28160.051478749625,60142.969717618515,78696.16019699606,13,25,13,0,0,5892.760918690608,2165.9531593322754,22017.78430938714,44408.417358398394,50006.075620651245,187.84450030326843,98261156864,0,98261156864,15.750814195979704,14.087207221396016,host-to-device + helper-gpu-p2p,3846.621201588557,0.0,20002.430248260425,44005.346546173045,1084,17,0,17,17,1048,1101,0,1.0505725190839694,8,6,19,7,70,376,13,18,37.70242738723755,19,119.57958507537842,13.675385313981678,16.78311721812206,24,0,24,31,0,1.1857142857142857
paper-faithful-v4,bursty,8,2,7.953333333333333,7.953333333333333,1.6066666666666667,2386,2386,0,0.20201173512154233,0.9044425817267393,0.21039396479463537,374.44812653950055,111.60850524902344,1122.4703192710876,7036.305487155917,11138.086557388306,60.434677077687404,48.350865416454546,138.1977462454846,256.7903347313404,430.99114298820496,9442.015528399323,6339.10785199987,28318.23680450907,40904.405570198316,51750.98301099206,15,26,15,0,0,7728.132899602254,1637.366533279419,46776.902866363525,48254.669132232666,48624.11069869995,221.49714708328247,120161736704,0,120161736704,14.46605745452994,14.35534580523047,host-to-device + helper-gpu-p2p,6307.290204366048,0.0,46776.902866363525,48254.669132232666,1084,149,1,148,148,1040,1233,0,1.2326923076923078,35,9,22,9,72,363,13,22,36.609517335891724,22,112.97347569465637,15.517881825973745,16.600556748321868,28,0,28,27,0,1.1388888888888888
paper-faithful-v4,bursty,8,3,8.163333333333334,8.163333333333334,1.12,2449,2449,0,0.13719885667619436,0.8530012249897918,0.14414046549612086,364.91309530445875,128.59392166137695,1453.7595272064207,4558.92117500305,7792.871952056885,102.32329234949479,62.22971972454799,207.8613346510559,1193.6064052581787,1831.35586977005,12438.678838489503,9206.728475008276,38400.285145192174,51617.68186960252,63562.19526199857,15,26,15,0,0,5563.767592112224,1998.9569187164307,22740.566563606226,42664.451279640176,47645.42245864868,221.847660779953,147165874176,0,147165874176,15.497213064884507,13.638729674499645,host-to-device + helper-gpu-p2p,3980.8319568634033,0.0,22740.566563606226,42664.451279640176,1034,96,8,88,88,1005,1130,6,1.1343283582089552,30,6,20,7,66,330,13,19,32.61418914794922,20,149.08655405044556,13.47223550300987,18.50321358865872,25,0,25,29,0,1.196969696969697
paper-faithful-v4,bursty,20,1,20.186666666666667,20.186666666666667,7.1066666666666665,6056,6056,0,0.3520475561426684,0.935105680317041,0.3571664464993395,245.76578737092618,88.30404281616211,717.1717286109924,3670.032274723052,8091.942071914673,97.2075716952217,45.39448650722987,248.31095136081177,1647.4521522011025,2891.9108361005783,11398.700409119243,6153.09945899935,38625.333506246534,93832.84943814286,112555.87009699957,13,26,13,0,0,1343.0083898397593,1110.900640487671,2610.5887413024893,2943.4335136413565,3026.644706726074,231.81423449516296,90942499840,0,90942499840,13.11006452134536,12.42729148626816,host-to-device + helper-gpu-p2p,0.0,0.0,0.0,0.0,1579,262,9,253,253,1355,1841,2,1.6952029520295202,33,6,19,7,78,427,14,18,24.511030912399292,19,102.52487301826477,13.195755687993369,15.206226794973617,24,0,24,29,0,1.3205128205128205
paper-faithful-v4,bursty,20,2,19.51,19.51,0.4666666666666667,5853,5853,0,0.023919357594396035,0.598496497522638,0.025627883136852898,1790.5344062435634,230.07583618164062,9373.124551773055,20596.370267868017,25421.648502349854,253.63445491027358,124.90274372710485,1064.3427516660115,2306.1260286010856,3317.5458908081055,25153.655616215798,19472.473983012605,72761.53638779942,90500.33407095702,108216.19780000765,13,24,13,0,0,9729.58964567918,2153.4242630004883,49950.19350051877,61133.71316909788,63929.593086242676,288.19061970710754,113752456192,0,113752456192,14.563707088866314,12.653584352846257,host-to-device + helper-gpu-p2p,8043.091297149658,0.0,49950.19350051877,61133.71316909788,1591,1045,34,1011,1011,1251,2636,11,3.466027178257394,161,8,21,10,62,317,13,19,41.96594309806824,21,178.08565855026245,14.254599310021149,16.156603217449142,25,0,25,20,0,1.3548387096774193
paper-faithful-v4,bursty,20,3,19.976666666666667,19.976666666666667,5.0633333333333335,5993,5993,0,0.2534623727682296,0.8606707825796763,0.2601368262973469,399.7310858506423,130.79428672790527,1708.2515716552714,5392.114639282226,6216.440916061401,149.84826177134937,74.20137524604797,543.5191932651727,861.586464047432,1125.9403973817825,17169.72010594396,9245.833066001069,61358.97741140506,74319.85228512727,88103.20369499095,13,26,13,0,0,973.4966204716609,992.2590255737305,1290.7140254974363,1371.2844371795652,1391.4270401000977,118.45361518859863,114301971456,0,114301971456,13.908203036491386,15.046527691036705,host-to-device + helper-gpu-p2p,0.0,0.0,0.0,0.0,1560,235,8,227,227,1261,1795,0,1.4417129262490087,46,6,20,7,72,358,13,19,18.545151472091675,20,110.71892285346985,15.893120421998901,15.410956993992981,25,0,25,38,0,1.0833333333333333
paper-faithful-v4,steady,8,1,8.04,8.04,0.57,2412,2412,0,0.0708955223880597,0.9709784411276948,0.07296849087893864,144.7151342830057,116.52541160583496,292.93460845947254,682.0954775810239,2297.3365783691406,56.948521854862186,54.583942182219346,88.30832126534871,117.44660441295161,351.26088559627533,9534.443678380834,6401.859229001275,26258.479827946547,31248.315057254196,39665.38313700585,13,28,13,0,0,1720.0520038604736,1721.5445041656494,2629.4032096862793,2661.7305946350098,2669.8124408721924,174.87005138397217,76492442624,0,76492442624,12.167770772302738,12.466306370484006,host-to-device + helper-gpu-p2p,0.0,0.0,0.0,0.0,1161,1,0,1,1,1115,1162,0,1.042152466367713,3,0,14,0,64,384,14,14,23.931936264038086,13,152.49060726165771,11.668154187995242,12.796068171622723,20,0,20,23,0,1.578125
paper-faithful-v4,steady,8,2,8.093333333333334,8.093333333333334,0.58,2428,2428,0,0.07166392092257001,0.9699341021416804,0.07248764415156507,133.98493337866896,114.29762840270996,270.51439285278326,571.7641377449036,1006.1969757080078,54.884934635641066,51.66085032017335,88.47693727566646,101.64354568178005,142.80928671360016,9242.858366767468,6291.70937800518,25877.784560040167,32934.03742553797,35906.94377699401,14,28,14,0,0,1882.1450642177037,1824.161171913147,2551.918065547943,2578.0809473991394,2584.6216678619385,201.19098544120789,91438344192,0,91438344192,9.90343307266943,9.714635721938063,host-to-device + helper-gpu-p2p,0.0,0.0,0.0,0.0,1174,0,0,0,0,1128,1174,0,1.0407801418439717,6,0,14,0,61,366,14,14,26.35003089904785,14,174.82912468910217,13.00354819399945,11.910015474664252,20,0,20,12,0,1.2622950819672132
