1787145494.261668095 0, 35432, 0;1, 35446, 1;2, 0, 0;3, 0, 0;
1787145496.573661901 0, 35906, 19;1, 35882, 7;2, 0, 0;3, 0, 0;
1787145499.534906545 0, 35906, 22;1, 36068, 12;2, 0, 0;3, 0, 0;
1787145503.040352676 0, 35906, 22;1, 36316, 37;2, 0, 0;3, 0, 0;
1787145505.494958494 0, 36060, 25;1, 36506, 42;2, 0, 0;3, 0, 0;
1787145507.813262993 0, 36060, 21;1, 36878, 74;2, 0, 0;3, 0, 0;
1787145510.255240928 0, 36060, 26;1, 36990, 66;2, 0, 0;3, 0, 0;
1787145512.569649825 0, 36188, 37;1, 36990, 51;2, 0, 0;3, 0, 0;
1787145514.888349448 0, 36188, 27;1, 36990, 45;2, 0, 0;3, 0, 0;
1787145517.183788884 0, 36412, 40;1, 37214, 71;2, 0, 0;3, 0, 0;
1787145519.426437085 0, 36412, 25;1, 37214, 78;2, 0, 0;3, 0, 0;
1787145521.754954883 0, 36412, 20;1, 37326, 25;2, 0, 0;3, 0, 0;
1787145524.522006599 0, 36630, 20;1, 37550, 37;2, 0, 0;3, 0, 0;
1787145527.649367066 0, 36630, 28;1, 37550, 58;2, 0, 0;3, 0, 0;
1787145530.174100213 0, 36630, 42;1, 37550, 40;2, 0, 0;3, 0, 0;
1787145532.666722441 0, 36630, 32;1, 37600, 76;2, 0, 0;3, 0, 0;
1787145535.213748308 0, 36670, 53;1, 37792, 58;2, 0, 0;3, 0, 0;
1787145537.702439723 0, 36820, 73;1, 37792, 79;2, 0, 0;3, 0, 0;
1787145540.103387340 0, 37056, 67;1, 37792, 64;2, 0, 0;3, 0, 0;
1787145542.569461629 0, 37620, 66;1, 37794, 62;2, 0, 0;3, 0, 0;
1787145545.141447322 0, 37922, 30;1, 37794, 58;2, 0, 0;3, 0, 0;
1787145547.583453534 0, 38404, 24;1, 37794, 36;2, 0, 0;3, 0, 0;
1787145550.154412428 0, 38660, 48;1, 37686, 37;2, 0, 0;3, 0, 0;
1787145552.635723810 0, 39074, 47;1, 37570, 46;2, 0, 0;3, 0, 0;
1787145555.214350456 0, 40026, 49;1, 37570, 53;2, 0, 0;3, 0, 0;
1787145557.711931662 0, 40154, 57;1, 37458, 13;2, 0, 0;3, 0, 0;
1787145560.151425586 0, 40326, 34;1, 37458, 11;2, 0, 0;3, 0, 0;
1787145562.541552039 0, 41050, 24;1, 37346, 0;2, 0, 0;3, 0, 0;
1787145564.967496798 0, 41434, 64;1, 37346, 0;2, 0, 0;3, 0, 0;
1787145567.490180079 0, 41622, 65;1, 37346, 0;2, 0, 0;3, 0, 0;
1787145570.061324742 0, 41686, 76;1, 37346, 0;2, 0, 0;3, 0, 0;
1787145572.406204652 0, 41688, 86;1, 37346, 17;2, 0, 0;3, 0, 0;
1787145574.901086092 0, 41944, 70;1, 37346, 52;2, 0, 0;3, 0, 0;
1787145577.321367659 0, 42096, 51;1, 37346, 13;2, 0, 0;3, 0, 0;
1787145579.776906591 0, 42906, 29;1, 37346, 0;2, 0, 0;3, 0, 0;
1787145582.246322852 0, 43572, 81;1, 37346, 12;2, 0, 0;3, 0, 0;
1787145584.898342393 0, 43632, 66;1, 37346, 0;2, 0, 0;3, 0, 0;
1787145587.378778479 0, 43632, 89;1, 37268, 0;2, 0, 0;3, 0, 0;
1787145589.769582164 0, 43632, 73;1, 20794, 18;2, 0, 0;3, 0, 0;
1787145592.282581374 0, 43632, 87;1, 20794, 33;2, 0, 0;3, 0, 0;
