timestamp,gpu_id,gpu_utilization,memory_used_mib
1787149375.7050862,0,0,35768
1787149375.7050862,1,1,35782
1787149375.7050862,2,0,0
1787149375.7050862,3,0,0
1787149377.999073,0,13,35944
1787149377.999073,1,4,35884
1787149377.999073,2,0,0
1787149377.999073,3,0,0
1787149380.2935488,0,98,35946
1787149380.2935488,1,100,36034
1787149380.2935488,2,0,0
1787149380.2935488,3,0,0
1787149382.5925965,0,43,35946
1787149382.5925965,1,45,36150
1787149382.5925965,2,0,0
1787149382.5925965,3,0,0
1787149384.8931756,0,32,35966
1787149384.8931756,1,84,36402
1787149384.8931756,2,0,0
1787149384.8931756,3,0,0
1787149387.1840806,0,51,35966
1787149387.1840806,1,58,37042
1787149387.1840806,2,0,0
1787149387.1840806,3,0,0
1787149389.469402,0,42,36222
1787149389.469402,1,94,37154
1787149389.469402,2,0,0
1787149389.469402,3,0,0
1787149391.7669134,0,26,36224
1787149391.7669134,1,32,37378
1787149391.7669134,2,0,0
1787149391.7669134,3,0,0
1787149394.3313208,0,23,36224
1787149394.3313208,1,64,38166
1787149394.3313208,2,0,0
1787149394.3313208,3,0,0
1787149397.2713633,0,46,36288
1787149397.2713633,1,57,38390
1787149397.2713633,2,0,0
1787149397.2713633,3,0,0
1787149399.6172733,0,44,36752
1787149399.6172733,1,64,38502
1787149399.6172733,2,0,0
1787149399.6172733,3,0,0
1787149401.9944775,0,51,37150
1787149401.9944775,1,50,38840
1787149401.9944775,2,0,0
1787149401.9944775,3,0,0
1787149404.299941,0,54,37150
1787149404.299941,1,55,39154
1787149404.299941,2,0,0
1787149404.299941,3,0,0
1787149406.6152537,0,42,37224
1787149406.6152537,1,75,39400
1787149406.6152537,2,0,0
1787149406.6152537,3,0,0
1787149408.9657412,0,37,37224
1787149408.9657412,1,38,40132
1787149408.9657412,2,0,0
1787149408.9657412,3,0,0
1787149411.3132255,0,52,37224
1787149411.3132255,1,55,40132
1787149411.3132255,2,0,0
1787149411.3132255,3,0,0
1787149413.6496406,0,52,37224
1787149413.6496406,1,40,40176
1787149413.6496406,2,0,0
1787149413.6496406,3,0,0
1787149415.9944649,0,48,37224
1787149415.9944649,1,50,40288
1787149415.9944649,2,0,0
1787149415.9944649,3,0,0
1787149418.334368,0,47,37302
1787149418.334368,1,72,40288
1787149418.334368,2,0,0
1787149418.334368,3,0,0
1787149420.6682813,0,54,37302
1787149420.6682813,1,63,40288
1787149420.6682813,2,0,0
1787149420.6682813,3,0,0
1787149423.039807,0,50,37302
1787149423.039807,1,37,40288
1787149423.039807,2,0,0
1787149423.039807,3,0,0
1787149425.4143946,0,51,37302
1787149425.4143946,1,71,40496
1787149425.4143946,2,0,0
1787149425.4143946,3,0,0
1787149427.7381444,0,44,37302
1787149427.7381444,1,36,40496
1787149427.7381444,2,0,0
1787149427.7381444,3,0,0
1787149430.071511,0,26,28914
1787149430.071511,1,63,40496
1787149430.071511,2,0,0
1787149430.071511,3,0,0
1787149432.3540494,0,60,28914
1787149432.3540494,1,34,40384
1787149432.3540494,2,0,0
1787149432.3540494,3,0,0
1787149434.6609654,0,28,37234
1787149434.6609654,1,61,40592
1787149434.6609654,2,0,0
1787149434.6609654,3,0,0
1787149437.0909529,0,73,38316
1787149437.0909529,1,74,40272
1787149437.0909529,2,0,0
1787149437.0909529,3,0,0
1787149439.4022858,0,35,38446
1787149439.4022858,1,67,40160
1787149439.4022858,2,0,0
1787149439.4022858,3,0,0
1787149441.746627,0,43,38830
1787149441.746627,1,58,39712
1787149441.746627,2,0,0
1787149441.746627,3,0,0
1787149444.0781338,0,19,39214
1787149444.0781338,1,64,39712
1787149444.0781338,2,0,0
1787149444.0781338,3,0,0
1787149446.4728484,0,53,39342
1787149446.4728484,1,15,39488
1787149446.4728484,2,0,0
1787149446.4728484,3,0,0
1787149448.8785553,0,42,39726
1787149448.8785553,1,49,39264
1787149448.8785553,2,0,0
1787149448.8785553,3,0,0
1787149451.1929092,0,53,40110
1787149451.1929092,1,71,39264
1787149451.1929092,2,0,0
1787149451.1929092,3,0,0
1787149453.54757,0,66,40110
1787149453.54757,1,52,39264
1787149453.54757,2,0,0
1787149453.54757,3,0,0
1787149455.9118347,0,63,40110
1787149455.9118347,1,52,39264
1787149455.9118347,2,0,0
1787149455.9118347,3,0,0
1787149458.278272,0,42,40110
1787149458.278272,1,43,39264
