Real trace file: /workspace/prism-exp/exp/workloads/paper-faithful-v4/bursty_r8_s1.pkl
[PRISM_DIRECT] 3387 requests, span 419.6s
Starting TP benchmark: paper-faithful-v4_bursty_rate8_seed1
Generated 3387 requests
Request model_5#0 arrives at 124314.441413186, sleeping for 0.19896376626275014 seconds
Request model_2#0 arrives at 124314.64072118, sleeping for 0.17814839394122828 seconds
Request model_2#1 arrives at 124314.820176745, sleeping for 0.03483595412399154 seconds
Request model_2#2 arrives at 124314.855289507, sleeping for 0.08914825117972214 seconds
Request model_5#1 arrives at 124314.94537292, sleeping for 0.08264289662474766 seconds
Request model_2#3 arrives at 124315.028751933, sleeping for 0.1324477843445493 seconds
Request model_2#4 arrives at 124315.16229289, sleeping for 0.09798573612351902 seconds
Request model_5#2 arrives at 124315.260645735, sleeping for 0.06697772665938828 seconds
Request model_2#5 arrives at 124315.327942925, sleeping for 0.032688185121514834 seconds
Request model_2#6 arrives at 124315.361240264, sleeping for 0.25279728109308053 seconds
Request model_2#7 arrives at 124315.614684388, sleeping for 0.3892535214108648 seconds
Request model_5#3 arrives at 124316.005239245, sleeping for 0.14822096261195838 seconds
Request model_2#8 arrives at 124316.154639205, sleeping for 0.13501170130621176 seconds
Request model_3#0 arrives at 124316.291082097, sleeping for 0.700433439866174 seconds
Request model_5#4 arrives at 124316.994070564, sleeping for 0.04415882329340093 seconds
Request model_3#1 arrives at 124317.039615151, sleeping for 0.01109664655814413 seconds
Request model_3#2 arrives at 124317.051827449, sleeping for 0.044563043367816135 seconds
Request model_2#9 arrives at 124317.097253246, sleeping for 0.2057859297201503 seconds
Request model_5#5 arrives at 124317.304724003, sleeping for 0.13795634610869456 seconds
Request model_2#10 arrives at 124317.443108747, sleeping for 0.1196914930769708 seconds
Request model_2#11 arrives at 124317.564482866, sleeping for 0.06346612749621272 seconds
Request model_2#12 arrives at 124317.629115882, sleeping for 0.04653488808253314 seconds
Request model_2#13 arrives at 124317.676350721, sleeping for 0.1619772220874438 seconds
Request model_2#14 arrives at 124317.838742091, sleeping for 0.043530630762688816 seconds
Request model_2#15 arrives at 124317.883214327, sleeping for 0.06156103409011848 seconds
