1787148073.920163512 0, 35432, 0;1, 35446, 0;2, 0, 0;3, 0, 0;
1787148076.884824519 0, 35926, 31;1, 35900, 8;2, 0, 0;3, 0, 0;
1787148079.719141503 0, 35926, 36;1, 36026, 49;2, 0, 0;3, 0, 0;
1787148082.238910772 0, 35926, 22;1, 36158, 66;2, 0, 0;3, 0, 0;
1787148084.584093222 0, 36114, 27;1, 36442, 35;2, 0, 0;3, 0, 0;
1787148087.072218613 0, 36114, 41;1, 36668, 45;2, 0, 0;3, 0, 0;
1787148089.542360697 0, 36114, 27;1, 36906, 39;2, 0, 0;3, 0, 0;
1787148092.120507170 0, 36114, 25;1, 36906, 58;2, 0, 0;3, 0, 0;
1787148094.468490022 0, 36114, 26;1, 37020, 63;2, 0, 0;3, 0, 0;
1787148096.874656340 0, 36434, 20;1, 37244, 71;2, 0, 0;3, 0, 0;
1787148099.329699899 0, 36434, 32;1, 37244, 73;2, 0, 0;3, 0, 0;
1787148101.852047497 0, 36550, 26;1, 37356, 67;2, 0, 0;3, 0, 0;
1787148104.304202941 0, 36652, 28;1, 37468, 63;2, 0, 0;3, 0, 0;
1787148106.758728348 0, 36652, 20;1, 37580, 71;2, 0, 0;3, 0, 0;
1787148109.242363197 0, 36652, 31;1, 37580, 48;2, 0, 0;3, 0, 0;
1787148111.661569331 0, 36652, 33;1, 37670, 70;2, 0, 0;3, 0, 0;
1787148114.138423009 0, 36688, 25;1, 37750, 35;2, 0, 0;3, 0, 0;
1787148116.462702382 0, 36744, 37;1, 37750, 35;2, 0, 0;3, 0, 0;
1787148118.854413253 0, 36968, 45;1, 37750, 34;2, 0, 0;3, 0, 0;
1787148121.302557708 0, 37546, 16;1, 37752, 32;2, 0, 0;3, 0, 0;
1787148123.729642970 0, 37912, 27;1, 37752, 30;2, 0, 0;3, 0, 0;
1787148126.194081337 0, 38166, 52;1, 37752, 61;2, 0, 0;3, 0, 0;
1787148128.646921317 0, 38552, 62;1, 37752, 44;2, 0, 0;3, 0, 0;
1787148131.131465032 0, 38838, 37;1, 37752, 32;2, 0, 0;3, 0, 0;
1787148133.625009700 0, 39666, 33;1, 37752, 36;2, 0, 0;3, 0, 0;
1787148136.118055077 0, 40350, 50;1, 37578, 24;2, 0, 0;3, 0, 0;
1787148138.596214822 0, 40350, 67;1, 37528, 11;2, 0, 0;3, 0, 0;
1787148141.082925158 0, 40734, 21;1, 37416, 0;2, 0, 0;3, 0, 0;
1787148143.643436613 0, 41376, 83;1, 37416, 0;2, 0, 0;3, 0, 0;
1787148146.131923741 0, 41632, 84;1, 37416, 0;2, 0, 0;3, 0, 0;
1787148148.542170523 0, 41684, 54;1, 45768, 0;2, 0, 0;3, 0, 0;
1787148151.052675373 0, 41684, 59;1, 46054, 41;2, 0, 0;3, 0, 0;
1787148153.656888689 0, 41860, 32;1, 46058, 40;2, 0, 0;3, 0, 0;
1787148156.614935685 0, 42196, 56;1, 46202, 78;2, 0, 0;3, 0, 0;
1787148159.180512473 0, 43030, 59;1, 46202, 61;2, 0, 0;3, 0, 0;
1787148161.662360498 0, 43120, 58;1, 46272, 35;2, 0, 0;3, 0, 0;
1787148164.257430619 0, 34542, 37;1, 36988, 37;2, 0, 0;3, 0, 0;
1787148166.745801352 0, 34542, 58;1, 29782, 23;2, 0, 0;3, 0, 0;
1787148169.238619642 0, 34598, 46;1, 29864, 36;2, 0, 0;3, 0, 0;
1787148171.738073741 0, 34598, 57;1, 29864, 73;2, 0, 0;3, 0, 0;
1787148174.221307855 0, 34598, 49;1, 29864, 43;2, 0, 0;3, 0, 0;
1787148176.763028485 0, 34726, 54;1, 29864, 60;2, 0, 0;3, 0, 0;
1787148179.237474115 0, 34726, 41;1, 29864, 54;2, 0, 0;3, 0, 0;
1787148181.612641910 0, 34726, 50;1, 29950, 67;2, 0, 0;3, 0, 0;
1787148184.151477084 0, 34726, 77;1, 29950, 44;2, 0, 0;3, 0, 0;
1787148186.713564121 0, 34726, 61;1, 29950, 53;2, 0, 0;3, 0, 0;
1787148189.194733469 0, 34726, 71;1, 29950, 44;2, 0, 0;3, 0, 0;
1787148191.687701365 0, 34808, 49;1, 30032, 17;2, 0, 0;3, 0, 0;
1787148194.263645641 0, 34960, 46;1, 45358, 61;2, 0, 0;3, 0, 0;
1787148196.742894095 0, 34296, 61;1, 47732, 64;2, 0, 0;3, 0, 0;
1787148199.259765004 0, 33656, 37;1, 48180, 62;2, 0, 0;3, 0, 0;
1787148201.846708035 0, 32760, 30;1, 48770, 41;2, 0, 0;3, 0, 0;
1787148204.453148233 0, 31736, 24;1, 49616, 51;2, 0, 0;3, 0, 0;
1787148206.989894740 0, 29944, 35;1, 49728, 49;2, 0, 0;3, 0, 0;
1787148209.454632190 0, 29944, 19;1, 49840, 17;2, 0, 0;3, 0, 0;
1787148211.887816124 0, 29944, 20;1, 49840, 33;2, 0, 0;3, 0, 0;
1787148214.216448964 0, 29702, 7;1, 50766, 35;2, 0, 0;3, 0, 0;
1787148216.686793951 0, 29688, 38;1, 50878, 66;2, 0, 0;3, 0, 0;
1787148219.118317221 0, 29560, 19;1, 50880, 58;2, 0, 0;3, 0, 0;
1787148221.623810649 0, 29560, 28;1, 51218, 40;2, 0, 0;3, 0, 0;
1787148224.119409032 0, 29560, 28;1, 51334, 53;2, 0, 0;3, 0, 0;
1787148226.581703755 0, 29560, 41;1, 45782, 50;2, 0, 0;3, 0, 0;
1787148229.132391198 0, 29560, 20;1, 46342, 36;2, 0, 0;3, 0, 0;
1787148231.930447472 0, 29560, 27;1, 46342, 55;2, 0, 0;3, 0, 0;
1787148234.913684976 0, 29560, 32;1, 46342, 61;2, 0, 0;3, 0, 0;
1787148237.396880118 0, 29560, 25;1, 46454, 40;2, 0, 0;3, 0, 0;
1787148239.947493998 0, 29560, 30;1, 46454, 57;2, 0, 0;3, 0, 0;
1787148242.445555451 0, 29560, 26;1, 46454, 34;2, 0, 0;3, 0, 0;
1787148244.935461802 0, 29222, 19;1, 46098, 35;2, 0, 0;3, 0, 0;
1787148247.403245810 0, 25260, 25;1, 37464, 51;2, 0, 0;3, 0, 0;
1787148249.850441477 0, 28660, 26;1, 37464, 55;2, 0, 0;3, 0, 0;
1787148252.236057214 0, 30556, 33;1, 37128, 45;2, 0, 0;3, 0, 0;
1787148254.705525883 0, 30558, 71;1, 36680, 14;2, 0, 0;3, 0, 0;
1787148257.170037815 0, 30558, 32;1, 36008, 50;2, 0, 0;3, 0, 0;
1787148259.587598907 0, 30558, 47;1, 35224, 63;2, 0, 0;3, 0, 0;
1787148262.068295141 0, 30560, 54;1, 34552, 51;2, 0, 0;3, 0, 0;
1787148264.484690351 0, 30672, 47;1, 33656, 76;2, 0, 0;3, 0, 0;
1787148266.968078278 0, 30672, 48;1, 33616, 0;2, 0, 0;3, 0, 0;
1787148269.427570320 0, 30672, 38;1, 33724, 8;2, 0, 0;3, 0, 0;
1787148271.872744251 0, 30672, 61;1, 33948, 36;2, 0, 0;3, 0, 0;
1787148274.326345753 0, 30672, 51;1, 33948, 58;2, 0, 0;3, 0, 0;
1787148276.804146921 0, 34478, 74;1, 33896, 22;2, 0, 0;3, 0, 0;
1787148279.255496869 0, 34478, 52;1, 33612, 50;2, 0, 0;3, 0, 0;
1787148281.734342807 0, 34478, 44;1, 33726, 43;2, 0, 0;3, 0, 0;
1787148284.190429732 0, 34480, 72;1, 33730, 69;2, 0, 0;3, 0, 0;
1787148286.662424749 0, 34480, 41;1, 34316, 11;2, 0, 0;3, 0, 0;
1787148289.256016004 0, 34480, 47;1, 34540, 95;2, 0, 0;3, 0, 0;
