1787146138.026474401 0, 35432, 0;1, 35446, 0;2, 0, 0;3, 0, 0;
1787146140.598763847 0, 35926, 67;1, 35882, 15;2, 0, 0;3, 0, 0;
1787146143.154730643 0, 35926, 65;1, 35944, 58;2, 0, 0;3, 0, 0;
1787146145.653515094 0, 36138, 42;1, 36056, 50;2, 0, 0;3, 0, 0;
1787146148.082515544 0, 36238, 48;1, 36450, 68;2, 0, 0;3, 0, 0;
1787146150.455160479 0, 36396, 44;1, 36450, 62;2, 0, 0;3, 0, 0;
1787146152.854283870 0, 37008, 54;1, 36474, 75;2, 0, 0;3, 0, 0;
1787146155.247252074 0, 37136, 57;1, 36474, 75;2, 0, 0;3, 0, 0;
1787146157.659702603 0, 37612, 56;1, 37022, 52;2, 0, 0;3, 0, 0;
1787146160.130680069 0, 37740, 60;1, 37332, 35;2, 0, 0;3, 0, 0;
1787146162.599263443 0, 37996, 50;1, 37556, 36;2, 0, 0;3, 0, 0;
1787146165.028136544 0, 38156, 79;1, 37780, 65;2, 0, 0;3, 0, 0;
1787146167.505612980 0, 38156, 74;1, 37860, 59;2, 0, 0;3, 0, 0;
1787146169.909332389 0, 38156, 61;1, 37890, 43;2, 0, 0;3, 0, 0;
1787146172.261772922 0, 38412, 67;1, 37890, 57;2, 0, 0;3, 0, 0;
1787146174.520616331 0, 38412, 51;1, 37890, 70;2, 0, 0;3, 0, 0;
1787146176.997794148 0, 38414, 43;1, 37890, 53;2, 0, 0;3, 0, 0;
1787146179.444949585 0, 38414, 43;1, 38346, 55;2, 0, 0;3, 0, 0;
1787146181.926078848 0, 38414, 58;1, 38348, 43;2, 0, 0;3, 0, 0;
1787146184.372523095 0, 38414, 80;1, 38460, 64;2, 0, 0;3, 0, 0;
1787146186.740421800 0, 38414, 79;1, 38460, 42;2, 0, 0;3, 0, 0;
1787146189.217014367 0, 38414, 65;1, 38460, 62;2, 0, 0;3, 0, 0;
1787146191.627477938 0, 38414, 66;1, 38460, 81;2, 0, 0;3, 0, 0;
1787146194.094754114 0, 38478, 60;1, 38560, 75;2, 0, 0;3, 0, 0;
1787146196.506705097 0, 38478, 53;1, 38560, 74;2, 0, 0;3, 0, 0;
1787146198.922234446 0, 38478, 36;1, 38560, 58;2, 0, 0;3, 0, 0;
1787146201.377295596 0, 38478, 43;1, 38560, 45;2, 0, 0;3, 0, 0;
1787146203.730951744 0, 38478, 52;1, 38562, 55;2, 0, 0;3, 0, 0;
1787146206.148341626 0, 38478, 57;1, 38562, 69;2, 0, 0;3, 0, 0;
1787146208.538612352 0, 38644, 55;1, 38562, 39;2, 0, 0;3, 0, 0;
1787146210.979611245 0, 38644, 85;1, 38562, 55;2, 0, 0;3, 0, 0;
1787146213.481723900 0, 38688, 58;1, 38562, 75;2, 0, 0;3, 0, 0;
1787146215.921107531 0, 38816, 65;1, 38562, 71;2, 0, 0;3, 0, 0;
1787146218.302259707 0, 38904, 59;1, 38562, 66;2, 0, 0;3, 0, 0;
1787146221.076566540 0, 38960, 61;1, 38562, 42;2, 0, 0;3, 0, 0;
1787146224.053277331 0, 38960, 77;1, 38562, 51;2, 0, 0;3, 0, 0;
1787146226.342853957 0, 38960, 70;1, 38562, 37;2, 0, 0;3, 0, 0;
1787146228.798185511 0, 38960, 64;1, 38674, 51;2, 0, 0;3, 0, 0;
1787146231.117747877 0, 39030, 49;1, 38562, 32;2, 0, 0;3, 0, 0;
1787146233.435397570 0, 38902, 19;1, 38562, 62;2, 0, 0;3, 0, 0;
1787146235.736283972 0, 38774, 73;1, 38562, 58;2, 0, 0;3, 0, 0;
1787146238.058316622 0, 38774, 88;1, 38562, 41;2, 0, 0;3, 0, 0;
1787146240.393670449 0, 38774, 69;1, 38562, 63;2, 0, 0;3, 0, 0;
1787146242.884694122 0, 38774, 73;1, 38338, 47;2, 0, 0;3, 0, 0;
1787146245.234841240 0, 39158, 68;1, 38226, 83;2, 0, 0;3, 0, 0;
1787146247.695611814 0, 39158, 63;1, 38226, 81;2, 0, 0;3, 0, 0;
1787146250.112291930 0, 39158, 52;1, 38450, 65;2, 0, 0;3, 0, 0;
1787146252.544926657 0, 39158, 78;1, 38450, 74;2, 0, 0;3, 0, 0;
1787146254.968337342 0, 39158, 52;1, 38450, 70;2, 0, 0;3, 0, 0;
1787146257.446100409 0, 39158, 49;1, 38450, 54;2, 0, 0;3, 0, 0;
1787146259.982280574 0, 39158, 51;1, 38450, 60;2, 0, 0;3, 0, 0;
1787146262.297913608 0, 39158, 58;1, 38450, 76;2, 0, 0;3, 0, 0;
1787146264.623405215 0, 39158, 89;1, 38562, 72;2, 0, 0;3, 0, 0;
1787146266.946897330 0, 39158, 60;1, 38450, 73;2, 0, 0;3, 0, 0;
1787146269.298753832 0, 39158, 45;1, 38450, 58;2, 0, 0;3, 0, 0;
1787146271.753601550 0, 39158, 53;1, 38338, 44;2, 0, 0;3, 0, 0;
1787146274.233730733 0, 39210, 100;1, 38338, 38;2, 0, 0;3, 0, 0;
1787146276.682128273 0, 39210, 73;1, 38338, 60;2, 0, 0;3, 0, 0;
1787146279.103077228 0, 39274, 42;1, 38338, 37;2, 0, 0;3, 0, 0;
1787146281.419998655 0, 39274, 56;1, 38338, 38;2, 0, 0;3, 0, 0;
1787146283.684601254 0, 39274, 57;1, 38338, 73;2, 0, 0;3, 0, 0;
1787146286.103991967 0, 39274, 63;1, 38338, 65;2, 0, 0;3, 0, 0;
1787146288.555119653 0, 39274, 33;1, 38338, 66;2, 0, 0;3, 0, 0;
1787146291.008119291 0, 39274, 76;1, 38450, 71;2, 0, 0;3, 0, 0;
1787146293.473753796 0, 39018, 78;1, 38450, 74;2, 0, 0;3, 0, 0;
1787146295.715779246 0, 39018, 61;1, 38768, 41;2, 0, 0;3, 0, 0;
1787146298.303255462 0, 39018, 59;1, 38768, 45;2, 0, 0;3, 0, 0;
1787146300.870607543 0, 39018, 89;1, 38880, 99;2, 0, 0;3, 0, 0;
1787146303.203072343 0, 39018, 100;1, 38992, 99;2, 0, 0;3, 0, 0;
1787146305.436557062 0, 39018, 58;1, 38992, 66;2, 0, 0;3, 0, 0;
1787146307.758748520 0, 39018, 49;1, 38992, 62;2, 0, 0;3, 0, 0;
1787146310.053805911 0, 39018, 62;1, 38992, 49;2, 0, 0;3, 0, 0;
1787146312.383368708 0, 39018, 67;1, 38992, 38;2, 0, 0;3, 0, 0;
1787146314.803121255 0, 39018, 69;1, 38992, 51;2, 0, 0;3, 0, 0;
1787146317.234640177 0, 39018, 48;1, 38992, 82;2, 0, 0;3, 0, 0;
1787146319.551696279 0, 39018, 78;1, 38992, 80;2, 0, 0;3, 0, 0;
1787146321.918732146 0, 39018, 68;1, 38992, 69;2, 0, 0;3, 0, 0;
1787146324.362642346 0, 39018, 41;1, 38992, 41;2, 0, 0;3, 0, 0;
1787146326.861486118 0, 39018, 60;1, 39144, 51;2, 0, 0;3, 0, 0;
1787146329.372555937 0, 39018, 67;1, 38584, 75;2, 0, 0;3, 0, 0;
1787146331.818977770 0, 39074, 46;1, 38472, 39;2, 0, 0;3, 0, 0;
1787146334.280471034 0, 39074, 37;1, 38472, 35;2, 0, 0;3, 0, 0;
1787146336.776483133 0, 39330, 23;1, 38584, 43;2, 0, 0;3, 0, 0;
1787146339.261621038 0, 39458, 46;1, 38696, 47;2, 0, 0;3, 0, 0;
1787146341.659031188 0, 39458, 68;1, 38696, 61;2, 0, 0;3, 0, 0;
1787146344.154868628 0, 39458, 53;1, 39026, 42;2, 0, 0;3, 0, 0;
1787146346.609752974 0, 39458, 68;1, 39138, 52;2, 0, 0;3, 0, 0;
1787146348.978781107 0, 39458, 66;1, 39308, 60;2, 0, 0;3, 0, 0;
1787146351.349267102 0, 39458, 80;1, 39308, 61;2, 0, 0;3, 0, 0;
1787146353.825332526 0, 39458, 66;1, 39308, 66;2, 0, 0;3, 0, 0;
1787146356.282611367 0, 39458, 67;1, 39308, 51;2, 0, 0;3, 0, 0;
1787146358.804248342 0, 39458, 45;1, 39308, 69;2, 0, 0;3, 0, 0;
1787146361.191276920 0, 39460, 62;1, 39308, 60;2, 0, 0;3, 0, 0;
1787146363.633902511 0, 39460, 65;1, 39308, 71;2, 0, 0;3, 0, 0;
1787146366.069773404 0, 39460, 73;1, 39308, 66;2, 0, 0;3, 0, 0;
1787146368.570218802 0, 39460, 64;1, 39308, 66;2, 0, 0;3, 0, 0;
1787146371.057046422 0, 39460, 71;1, 39308, 67;2, 0, 0;3, 0, 0;
1787146373.521424263 0, 39204, 71;1, 39308, 46;2, 0, 0;3, 0, 0;
1787146376.356450075 0, 39204, 65;1, 39308, 59;2, 0, 0;3, 0, 0;
1787146378.989998111 0, 39018, 50;1, 39308, 70;2, 0, 0;3, 0, 0;
1787146381.381715286 0, 38948, 57;1, 39308, 81;2, 0, 0;3, 0, 0;
1787146383.865439474 0, 38820, 57;1, 39308, 56;2, 0, 0;3, 0, 0;
1787146386.211896460 0, 38820, 70;1, 39308, 52;2, 0, 0;3, 0, 0;
1787146388.693446605 0, 38820, 70;1, 39308, 75;2, 0, 0;3, 0, 0;
1787146391.158512748 0, 38820, 46;1, 39308, 66;2, 0, 0;3, 0, 0;
1787146393.616658513 0, 38820, 77;1, 39308, 39;2, 0, 0;3, 0, 0;
1787146396.086671643 0, 38820, 72;1, 39308, 56;2, 0, 0;3, 0, 0;
1787146398.431681218 0, 38820, 63;1, 39308, 64;2, 0, 0;3, 0, 0;
1787146400.832725098 0, 38820, 76;1, 39308, 46;2, 0, 0;3, 0, 0;
1787146403.314106764 0, 38820, 62;1, 39308, 42;2, 0, 0;3, 0, 0;
1787146405.737961224 0, 38820, 76;1, 39308, 65;2, 0, 0;3, 0, 0;
1787146408.206164043 0, 38820, 72;1, 39308, 66;2, 0, 0;3, 0, 0;
1787146410.601337946 0, 38988, 24;1, 39420, 50;2, 0, 0;3, 0, 0;
1787146413.047870276 0, 38988, 52;1, 39532, 53;2, 0, 0;3, 0, 0;
1787146415.543515532 0, 38988, 64;1, 39532, 62;2, 0, 0;3, 0, 0;
1787146417.922417754 0, 38988, 69;1, 39532, 87;2, 0, 0;3, 0, 0;
1787146420.446691398 0, 38988, 70;1, 39532, 75;2, 0, 0;3, 0, 0;
1787146422.858279414 0, 38988, 69;1, 39532, 61;2, 0, 0;3, 0, 0;
1787146425.174151582 0, 38988, 47;1, 39532, 50;2, 0, 0;3, 0, 0;
1787146427.487849728 0, 38988, 47;1, 39532, 67;2, 0, 0;3, 0, 0;
1787146429.795988517 0, 38988, 50;1, 39532, 60;2, 0, 0;3, 0, 0;
