Real trace file: /workspace/prism-exp/exp/workloads/paper-faithful-v4/steady_r8_s3.pkl
[PRISM_DIRECT] 3372 requests, span 419.6s
Starting TP benchmark: paper-faithful-v4_steady_rate8_seed3
Generated 3372 requests
Request model_5#0 arrives at 123670.857252412, sleeping for 0.15078926329442766 seconds
Request model_2#0 arrives at 123671.008518064, sleeping for 0.15875690254324581 seconds
Request model_2#1 arrives at 123671.168146231, sleeping for 0.043822729945532046 seconds
Request model_5#1 arrives at 123671.212651252, sleeping for 0.018839301192201674 seconds
Request model_6#0 arrives at 123671.232930605, sleeping for 0.6739347500260919 seconds
Request model_5#2 arrives at 123671.907900548, sleeping for 0.004249617995810695 seconds
Request model_6#1 arrives at 123671.913077456, sleeping for 0.07882602894096635 seconds
Request model_3#0 arrives at 123671.992387663, sleeping for 0.18853600267902948 seconds
Request model_4#0 arrives at 123672.182215088, sleeping for 0.16790326411137357 seconds
Request model_1#0 arrives at 123672.351137219, sleeping for 0.004562680856906809 seconds
Request model_5#3 arrives at 123672.356041376, sleeping for 0.0038457598857348785 seconds
Request model_3#1 arrives at 123672.360486374, sleeping for 0.03983535576844588 seconds
Request model_3#2 arrives at 123672.400763238, sleeping for 0.13372128088667523 seconds
Request model_6#2 arrives at 123672.535105854, sleeping for 0.0463014410197502 seconds
Request model_6#3 arrives at 123672.58246642, sleeping for 0.30003062121977564 seconds
Request model_1#1 arrives at 123672.883119402, sleeping for 0.039897727911011316 seconds
Request model_5#4 arrives at 123672.923411836, sleeping for 0.18703754236048553 seconds
Request model_6#4 arrives at 123673.110848357, sleeping for 0.0891410345066106 seconds
Request model_1#2 arrives at 123673.201257922, sleeping for 0.08201803640986327 seconds
Request model_6#5 arrives at 123673.283769384, sleeping for 0.16520013108674902 seconds
Request model_2#2 arrives at 123673.450251501, sleeping for 0.5259641194570577 seconds
Request model_2#3 arrives at 123673.977095556, sleeping for 0.002315150326467119 seconds
Request model_1#3 arrives at 123673.980467952, sleeping for 0.11381696164608002 seconds
Request model_6#6 arrives at 123674.094869415, sleeping for 0.0791849586967146 seconds
Request model_3#3 arrives at 123674.174988144, sleeping for 0.12308866804232821 seconds
Request model_3#4 arrives at 123674.298425602, sleeping for 0.08634547296969686 seconds
Request model_4#1 arrives at 123674.385883392, sleeping for 0.056573925612610765 seconds
Request model_3#5 arrives at 123674.442704373, sleeping for 0.03903634763264563 seconds
Request model_6#7 arrives at 123674.482113096, sleeping for 0.06748331224662252 seconds
Request model_5#5 arrives at 123674.550634326, sleeping for 0.1728897200373467 seconds
Request model_5#6 arrives at 123674.724144864, sleeping for 0.07926856915582903 seconds
Request model_6#8 arrives at 123674.804655583, sleeping for 0 seconds
Request model_5#7 arrives at 123674.805295044, sleeping for 0.10076639971521217 seconds
Request model_6#9 arrives at 123674.906423166, sleeping for 0.036531050864141434 seconds
Request model_1#4 arrives at 123674.944708068, sleeping for 0.1755385420838138 seconds
Request model_6#10 arrives at 123675.122154842, sleeping for 0.37954231136245653 seconds
Request model_6#11 arrives at 123675.503180193, sleeping for 0.009157659660559148 seconds
Request model_6#12 arrives at 123675.513194269, sleeping for 0.004371442788396962 seconds
Request model_6#13 arrives at 123675.518420338, sleeping for 0.031238737647072412 seconds
Request model_2#4 arrives at 123675.550657179, sleeping for 0.20698843461286742 seconds
Request model_5#8 arrives at 123675.759316004, sleeping for 0.11533071243320592 seconds
