request_id,model,arrival_time,completion_time,prompt_tokens,output_tokens,ttft_s,tpot_s,e2e_s,ttft_slo_s,tpot_slo_s,ttft_slo_met,tpot_slo_met,joint_slo_met,success,in_measurement_window
model_2#0,model_2,0.08008317125203554,1.3614659722486884,235,37,0.08034324645996094,0.03229694108705263,1.2813828009966528,0.22660613059997559,0.03378264047205448,1,1,1,1,0
model_5#0,model_5,0.10506659997099088,0.704889178966363,447,16,0.09380125999450684,0.03120681643486023,0.5998225789953722,0.6448996067047119,0.040172288194298744,1,1,1,1,0
model_1#0,model_1,0.20641437006780428,1.0014939240623872,304,17,0.08498454093933105,0.04138464086196002,0.795079553994583,0.14725327491760254,0.021735001355409622,1,0,0,1,0
model_3#0,model_3,0.304795446467155,1.3101189304541678,584,17,0.1913466453552246,0.04754046832813936,1.0053234839870129,0.3281092643737793,0.03691067732870579,1,0,0,1,0
model_2#1,model_2,0.33229308031398846,3.6263811313281025,185,85,0.05369710922241211,0.038050449595731846,3.294088051014114,0.22660613059997559,0.03378264047205448,1,0,0,1,0
model_6#0,model_6,0.5161779185412732,1.4224411335429457,354,16,0.09870004653930664,0.050139784812927246,0.9062632150016725,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_6#1,model_6,1.0163385991170168,1.6215964571153842,313,16,0.268963098526001,0.02071651816368103,0.6052578579983674,0.6012606620788574,0.037298424169421196,1,1,1,1,0
model_6#2,model_6,1.0624267171600204,2.0883189651588747,352,29,0.22268128395080566,0.027492317660101528,1.0258922479988541,0.6012606620788574,0.037298424169421196,1,1,1,1,0
model_5#1,model_5,1.6410383714774641,10.581474155473245,10,240,0.04654526710510254,0.03702776432037354,8.940435783995781,0.6448996067047119,0.040172288194298744,1,1,1,1,0
model_3#1,model_3,1.864578029624016,25.604348023628763,51,346,0.1132042407989502,0.06825537833175219,23.739769994004746,0.3281092643737793,0.03691067732870579,1,0,0,1,0
model_1#1,model_1,1.9959054807080732,11.11641259470741,59,314,0.15859055519104004,0.028507572830103006,9.120507113999338,0.14725327491760254,0.021735001355409622,0,0,0,1,0
model_6#3,model_6,2.161646479427766,29.347768467421595,352,384,0.06407499313354492,0.07060170235733192,27.18612198799383,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_2#2,model_2,2.2108764411200252,5.391493328115292,512,84,0.1487135887145996,0.03601490883600144,3.180616886995267,0.22660613059997559,0.03378264047205448,1,0,0,1,0
model_2#3,model_2,2.427914957226683,16.88715734823382,89,362,0.04719042778015137,0.039778283946421925,14.459242391007137,0.22660613059997559,0.03378264047205448,1,0,0,1,0
model_1#2,model_1,3.0138899304631,3.647855314459938,130,16,0.12020683288574219,0.03178498148918152,0.6339653839968378,0.14725327491760254,0.021735001355409622,1,0,0,1,0
model_3#2,model_3,3.037297446150649,31.320280104148868,61,384,0.10101985931396484,0.07335724557439487,28.282982657998218,0.3281092643737793,0.03691067732870579,1,0,0,1,0
model_6#4,model_6,3.167066554816871,30.511974402806686,24,384,0.0979154109954834,0.07092984703679879,27.344907847989816,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_6#5,model_6,3.1905225722840114,4.4698317182883915,8,16,0.07455205917358398,0.07504929602146149,1.2793091460043797,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_6#6,model_6,3.4199569688956,6.389556743890604,15,41,0.12283897399902344,0.06933312881283643,2.969599774995004,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_6#7,model_6,3.5036234174861165,6.643823637490888,13,46,0.07271385192871094,0.066590692685998,3.140200220004772,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_6#8,model_6,3.5815972091721457,4.768129105176599,293,16,0.1102447509765625,0.06701959669589996,1.1865318960044533,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_6#9,model_6,3.7978180018852807,4.89116990789069,255,16,0.10660815238952637,0.06142875552177429,1.0933519060054095,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_3#3,model_3,3.804595056216404,7.020407398210428,238,48,0.055962562561035156,0.06571332116921742,3.215812341994024,0.3281092643737793,0.03691067732870579,1,0,0,1,0
model_6#10,model_6,3.8866886039275594,30.88942870692228,427,384,0.13303804397583008,0.06993259054919083,27.00274010299472,0.6012606620788574,0.037298424169421196,1,0,0,1,0
