request_id,model,arrival_time,completion_time,prompt_tokens,output_tokens,ttft_s,tpot_s,e2e_s,ttft_slo_s,tpot_slo_s,ttft_slo_met,tpot_slo_met,joint_slo_met,success,in_measurement_window
model_2#0,model_2,0.002523480954177426,8.836189848963468,76,202,0.24239468574523926,0.042480336557520496,8.83366636800929,0.22660613059997559,0.03378264047205448,0,0,0,1,0
model_4#0,model_4,0.0415102274427781,17.4728148194417,84,384,0.21926116943359375,0.04479166492819786,17.431304591998924,0.3274989128112793,0.04136216081678867,1,0,0,1,0
model_5#0,model_5,0.22465751581385085,0.9678941518146527,356,16,0.12778878211975098,0.03811149299144745,0.7432366360008018,0.6448996067047119,0.040172288194298744,1,1,1,1,0
model_5#1,model_5,0.28132731520425613,28.362216360203167,22,384,0.1493978500366211,0.07269705024858315,28.080889044998912,0.6448996067047119,0.040172288194298744,1,0,0,1,0
model_2#1,model_2,1.4618924827709523,12.199056791757346,90,248,0.09673762321472168,0.04286904392703887,10.737164308986394,0.22660613059997559,0.03378264047205448,1,0,0,1,0
model_6#0,model_6,1.6462796414476166,4.967250051448499,163,69,0.1336526870727539,0.04610378845878269,3.320970410000882,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_5#2,model_5,1.750790930846804,3.958099548849375,142,47,0.16136789321899414,0.04341303034031645,2.207308618002571,0.6448996067047119,0.040172288194298744,1,0,0,1,0
model_5#3,model_5,1.88050304849805,12.436548680507094,10,157,0.12376141548156738,0.0664034573135862,10.556045632009045,0.6448996067047119,0.040172288194298744,1,0,0,1,0
model_6#1,model_6,1.889431746837087,12.586231152847628,23,226,0.07994747161865234,0.04694137636539156,10.696799406010541,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_5#4,model_5,2.0126397074514157,6.4237636094499235,10,84,0.048245906829833984,0.0518473329998198,4.411123901998508,0.6448996067047119,0.040172288194298744,1,0,0,1,0
model_4#1,model_4,2.160692179385224,14.926025422390667,27,277,0.08740854263305664,0.04573676818544684,12.765333243005443,0.3274989128112793,0.04136216081678867,1,0,0,1,0
model_3#0,model_3,2.2698841039647144,12.648926752966062,17,195,0.10212206840515137,0.05266152895413912,10.379042649001349,0.3281092643737793,0.03691067732870579,1,0,0,1,0
model_3#1,model_3,2.610902307646852,23.417760437649946,8,384,0.15392637252807617,0.053739193826913834,20.806858130003093,0.3281092643737793,0.03691067732870579,1,0,0,1,0
