implementation,workload,request_rate,seed,ttft_mean,ttft_p50,ttft_p95,ttft_p99,ttft_max,tpot_mean,tpot_p50,tpot_p95,tpot_p99,tpot_max,e2e_mean,e2e_p50,e2e_p95,e2e_p99,e2e_max
paper-faithful-v3-alg1only,bursty,8,1,185.37311381961575,113.9981746673584,569.775331020354,1218.6687660217262,13682.76596069336,62.53515641949257,51.773588899095,118.72807756687197,211.01920690606616,431.73323571681976,9950.486618323032,7055.954711511731,30553.914803046766,41408.77620725689,50594.22766600619
paper-faithful-v3-alg1only,bursty,8,2,402.17103692332137,110.24773120880127,1230.0432920455933,8040.153276920337,12499.971866607666,58.219078117197895,48.33156315663727,127.1996945142746,246.66634256189533,445.95345854759216,9306.571119098307,6189.875163996476,28913.148543484567,40081.72063859241,49154.06038699439
paper-faithful-v3-alg1only,bursty,8,3,208.1235319607206,116.68682098388672,737.48459815979,1249.3417263031006,6082.8211307525635,73.20906811458228,54.81250790076527,161.9390190130023,383.38131666183466,638.3908215691062,10654.73086015241,7859.802967985161,30906.71551880658,46183.33746939779,58435.21605699789
paper-faithful-v3-alg1only,steady,8,1,138.37124992958942,116.69540405273438,282.58327245712246,568.6680340766897,1436.859369277954,57.9462206190794,54.78783922442973,94.18370361421621,115.60335946083067,176.55400931835175,9637.776009522086,6637.070912503987,26472.20250349346,33744.518902673735,40363.34149900358
paper-faithful-v3-alg1only,steady,8,2,143.51880776234083,111.16456985473633,297.6875424385073,717.0138669013978,4251.6889572143555,53.71620172591762,51.66303278934775,83.80155989003403,99.04338903303417,186.86875700950623,9097.725706908343,6073.3415330032585,25750.47003050714,31530.23429782217,33028.95992301637
paper-faithful-v3-alg1only,steady,8,3,134.04970660652083,111.83476448059082,275.8839607238759,498.6992645263657,1358.1039905548096,55.956693282177355,52.877530455589294,86.75814622701186,105.9673882291672,159.10767515500388,9333.587451422583,6820.31411601929,26003.574002382786,32128.582046556967,35253.29454001621
paper-faithful-v3-alg2only,bursty,8,1,189.62751069472205,117.14160442352295,559.9352240562438,1291.3741064071655,5223.337888717651,68.25531282893625,58.02672946204741,135.35270364955068,212.65408935688293,397.9794532060623,10880.862977056162,7582.440081998357,33247.80524779779,39475.24313218214,55308.8360579859
paper-faithful-v3-alg2only,bursty,8,2,415.1855600249937,113.30807209014893,2050.8251786231995,7277.866780757913,9779.731273651123,63.09933616488277,52.70784281286573,127.30077461016421,216.96808040142062,406.33203089237213,10132.121880791497,7129.704907987616,30283.32409599534,42890.6986403963,56664.89005298354
paper-faithful-v3-alg2only,bursty,8,3,281.23364209057894,125.16474723815918,929.9272060394286,2267.0899486541743,12307.284116744995,91.54187516209116,57.29958787560463,259.342677160254,505.31847178936,771.003246307373,12933.480424249401,8675.549410982057,43825.76842200942,61084.16286283289,71680.3523710114
paper-faithful-v3-alg2only,steady,8,1,126.20860476596636,110.23521423339844,251.3661503791808,450.53934335708544,1101.6337871551514,52.89812939506802,49.582077053988854,78.16079879036316,94.22185826209756,155.01129627227783,8941.024755327955,6215.251466492191,25295.03610396204,29615.3398893337,31626.9466119993
paper-faithful-v3-alg2only,steady,8,2,117.69480416566576,104.13730144500732,221.59212827682495,383.37055206298834,793.7259674072266,50.63813491815632,47.613304705382916,71.05199066655976,84.18642967939377,116.26291275024414,8578.292624523125,5962.905150503502,24437.062191597943,26692.013653941103,27902.64580398798
paper-faithful-v3-alg2only,steady,8,3,138.44300761665266,113.16800117492676,281.19025230407703,727.5304698944085,2107.5658798217773,56.86416864443246,54.766327142715454,83.20540614346882,108.36289950779482,243.88065934181213,9495.220977485002,6784.9053899990395,27113.118108193128,30290.694461752424,31883.958620979683
paper-faithful-v4,bursty,8,1,397.03479809547537,119.48657035827637,935.0560069084163,7764.143064022058,19718.60098838806,61.82686412944228,49.425637335081085,143.79613404472664,224.08927506522127,609.5333993434906,10177.024096142746,7106.060601494391,29950.532923784336,58788.26633500458,71673.6497580132
paper-faithful-v4,bursty,8,2,926.1907064305167,118.98458003997803,6198.933899402618,15826.841163635274,23145.527362823486,61.93043548169213,49.547306860731325,150.43894610889666,324.69472885131864,579.4660747051239,9984.309994390773,7156.70658351155,28481.92173298594,44134.06563774625,54196.10592297977
paper-faithful-v4,bursty,8,3,232.7612357608831,110.74519157409668,775.7798671722411,2965.152883529661,9989.181995391846,64.48382473966909,52.375079068270594,115.60476422309861,433.89180266857136,758.8375061750412,9305.140600651299,7364.298125990899,24616.58906420925,30061.629340412324,36507.90271299775
