implementation,workload,request_rate,seed,migration_count,migration_decisions_logged,migration_success,migration_failed,migration_latency_is_submission_only,migration_latency_mean,migration_latency_p50,migration_latency_p95,migration_latency_p99,migration_latency_max,migration_total_time,migration_weight_bytes,migration_kv_bytes,migration_total_bytes,migration_bandwidth,migration_bandwidth_p50,migration_paths,service_downtime_mean,service_downtime_p50,service_downtime_p95,service_downtime_p99,weight_transfers,p2p_weight_transfers,page_locked_transfers
paper-faithful-v3-alg1only,bursty,8,1,15,27,15,0,1,9841.794443130493,1794.3229675292969,49595.20852565759,83111.54105663297,91490.62418937683,269.5827670097351,119725438976,0,119725438976,8.432065571831597,9.674882820581084,host-to-device + helper-gpu-p2p,8208.710304896036,0.0,49595.20852565759,83111.54105663297,25,0,0
paper-faithful-v3-alg1only,bursty,8,2,9,26,9,0,1,1795.993513531155,1840.3198719024658,2442.9641246795654,2511.9912242889404,2529.247999191284,88.75184965133667,71823238144,0,71823238144,8.253832986236658,9.410260181096401,host-to-device + helper-gpu-p2p,0.0,0.0,0.0,0.0,28,0,0
paper-faithful-v3-alg1only,bursty,8,3,10,22,10,0,1,4575.469899177551,2139.698624610901,16307.136523723577,25147.423551082615,27357.495307922363,144.06229043006897,89002129408,0,89002129408,8.383939833461131,7.433095932406841,host-to-device + helper-gpu-p2p,2735.7495307922363,0.0,15046.62241935727,24895.320730209354,23,0,0
paper-faithful-v3-alg1only,steady,8,1,13,26,13,0,1,1975.8575879610503,1801.8591403961182,3065.1927471160875,3484.6093273162833,3589.463472366333,198.8952717781067,84644136960,0,84644136960,6.556417048962099,6.59981153460713,host-to-device + helper-gpu-p2p,0.0,0.0,0.0,0.0,19,0,0
paper-faithful-v3-alg1only,steady,8,2,13,26,13,0,1,1890.5219114743745,1863.4288311004639,2601.575899124145,2701.4556980133057,2726.4256477355957,192.75272631645203,89837184000,0,89837184000,6.675713899375688,6.392878054704382,host-to-device + helper-gpu-p2p,0.0,0.0,0.0,0.0,19,0,0
paper-faithful-v3-alg1only,steady,8,3,13,27,13,0,1,1916.2030036632832,1766.9994831085205,3178.1110763549786,3766.082191467284,3913.0749702453613,173.48544454574585,51012718592,0,51012718592,5.458798684807296,5.516873949999492,host-to-device + helper-gpu-p2p,0.0,0.0,0.0,0.0,19,0,0
paper-faithful-v3-alg2only,bursty,8,1,2,2,2,0,1,2805.97460269928,2805.97460269928,3817.3584818840027,3907.259271144867,3929.734468460083,27.808728218078613,18228198400,0,18228198400,9.512572106209701,9.512572106209701,host-to-device + helper-gpu-p2p,0.0,0.0,0.0,0.0,14,0,0
paper-faithful-v3-alg2only,bursty,8,2,2,2,2,0,1,1904.088020324707,1904.088020324707,2461.48624420166,2511.0327529907227,2523.4193801879883,29.845794200897217,14427009024,0,14427009024,6.799512032798974,6.799512032798974,host-to-device + helper-gpu-p2p,0.0,0.0,0.0,0.0,17,0,0
paper-faithful-v3-alg2only,bursty,8,3,6,6,6,0,1,1723.8610585530598,1590.336799621582,2624.2576837539673,2802.6728868484497,2847.2766876220703,51.73083305358887,47072911360,0,47072911360,10.123851642953314,11.093923288384538,host-to-device + helper-gpu-p2p,0.0,0.0,0.0,0.0,19,0,0
paper-faithful-v3-alg2only,steady,8,1,0,0,0,0,1,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,,nan,nan,nan,nan,6,0,0
paper-faithful-v3-alg2only,steady,8,2,0,0,0,0,1,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,,nan,nan,nan,nan,6,0,0
paper-faithful-v3-alg2only,steady,8,3,0,0,0,0,1,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,,nan,nan,nan,nan,6,0,0
paper-faithful-v4,bursty,8,1,14,24,14,0,0,11547.144481113979,2419.948101043701,55231.869649887056,95406.85900688166,105450.60634613037,276.11320090293884,120119670784,0,120119670784,14.013936821260819,15.237086149369116,gpu-to-gpu-p2p;host-to-device + helper-gpu-p2p,9545.829841068813,0.0,55231.869649887056,95406.85900688166,24,7,24
paper-faithful-v4,bursty,8,2,16,28,16,0,0,9134.623438119888,2672.479510307312,47083.76234769821,66270.11111974715,71066.6983127594,275.38860034942627,142840235008,0,142840235008,12.293049914104024,14.624933514379087,gpu-to-gpu-p2p;host-to-device + helper-gpu-p2p,6884.759292006493,0.0,47083.76234769821,66270.11111974715,28,8,28
paper-faithful-v4,bursty,8,3,13,26,13,0,0,2073.1141934028037,2298.322916030884,2894.228553771971,3430.785484313964,3564.924716949463,110.09273290634155,91824880640,0,91824880640,12.217915953455124,13.89212607457464,gpu-to-gpu-p2p;host-to-device + helper-gpu-p2p,0.0,0.0,0.0,0.0,25,6,25
