implementation,workload,request_rate,seed,model,requests,completed,goodput,joint_slo,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,tpot_p50_ms,tpot_p95_ms,tpot_p99_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms
paper-faithful-v3-alg1only,bursty,8,1,model_1,134,134,0.05333333333333334,0.11940298507462686,68.31812858581543,1998.6915349960284,5150.6051826477005,31.95536005627978,49.233703721653285,66.53716690838334,2640.466215525521,12945.961189798252,14402.167320818695
paper-faithful-v3-alg1only,bursty,8,1,model_2,260,260,0.16333333333333333,0.18846153846153846,89.08987045288086,176.08464956283564,920.367145538336,41.625074186223614,54.08700406551361,58.52899622065681,4949.765057492186,17735.502239583002,19096.5382269345
paper-faithful-v3-alg1only,bursty,8,1,model_3,744,744,0.6766666666666666,0.2728494623655914,112.15388774871826,714.579463005066,1137.5020861625674,51.04477796703577,113.0067229270935,151.30576878786098,6631.711638503475,31786.231269607386,41004.743122617656
paper-faithful-v3-alg1only,bursty,8,1,model_4,221,221,0.22,0.2986425339366516,112.90144920349121,239.19415473937988,1045.214414596559,47.78801846778256,64.07613754272461,65.53856296569425,7546.287867007777,21857.173093012534,24439.697357203113
paper-faithful-v3-alg1only,bursty,8,1,model_5,592,592,0.10333333333333333,0.052364864864864864,142.37797260284424,675.7188439369191,1153.949439525606,68.48558421744531,202.0776972174644,303.73910211599804,8494.837357997312,38301.28483649167,47241.45082481501
paper-faithful-v3-alg1only,bursty,8,1,model_6,461,461,0.13333333333333333,0.08676789587852494,117.4628734588623,370.0118064880371,710.8376979827871,59.44873227013482,103.89100495031325,138.78631293773626,7831.155883002793,30286.944704013877,34532.79993721516
paper-faithful-v3-alg1only,bursty,8,2,model_1,230,230,0.29,0.3782608695652174,74.4556188583374,513.6948466300964,1966.6659402847322,25.952860854920885,47.35319876800407,61.00680828094483,2167.9087155062007,11444.484878245565,14712.637617245786
paper-faithful-v3-alg1only,bursty,8,2,model_2,253,253,0.06666666666666667,0.07905138339920949,104.10881042480469,1665.802812576284,4671.29020690918,44.48267604623522,58.646573436658215,69.62379295317844,6265.609755006153,18996.48032899713,21383.106930918293
paper-faithful-v3-alg1only,bursty,8,2,model_3,461,461,0.7633333333333333,0.4967462039045553,85.6008529663086,286.8058681488037,620.409488677978,36.891575493564496,57.97393872187688,77.88377404212946,5117.132434010273,16757.384550990537,20395.614004397026
paper-faithful-v3-alg1only,bursty,8,2,model_4,312,312,0.2,0.19230769230769232,128.93593311309814,3042.5224304199214,5115.997750759124,69.9521890786466,124.82274110169749,226.86914667487144,7280.480473011266,30105.818832336805,37526.88573114865
paper-faithful-v3-alg1only,bursty,8,2,model_5,566,566,0.26666666666666666,0.1413427561837456,144.2563533782959,1764.3806338310242,10792.807495594028,70.3475962464626,224.63471205397087,334.1654814779759,8171.718137498829,38468.863946000056,47470.73126235192
paper-faithful-v3-alg1only,bursty,8,2,model_6,564,564,0.19333333333333333,0.10283687943262411,130.043625831604,4312.3148798942575,8304.145784378052,53.45712735785105,84.70426363416078,108.4606902088438,7231.479231995763,24383.54110880901,31370.788150423905
paper-faithful-v3-alg1only,bursty,8,3,model_1,154,154,0.02666666666666667,0.05194805194805195,81.75992965698242,803.8837194442741,2170.3511428833003,35.812337425622076,57.960007049030494,73.31897759123852,6589.617147998069,17008.024593658047,18382.275062644912
paper-faithful-v3-alg1only,bursty,8,3,model_2,246,246,0.25333333333333335,0.3089430894308943,90.57676792144775,772.3650932312012,2270.2486515045184,38.08115019152562,67.62779205240668,84.13696328276092,5007.350083003985,15970.94656801346,19063.339628501857
paper-faithful-v3-alg1only,bursty,8,3,model_3,300,300,0.18,0.18,107.13565349578857,312.57785558700573,518.7827181816099,59.51685969566189,96.74731791019441,103.89023013805084,8184.6759085019585,25514.716050152492,27793.43982826045
paper-faithful-v3-alg1only,bursty,8,3,model_4,454,454,0.41333333333333333,0.27312775330396477,108.55650901794434,342.22112894058137,3324.735975265491,48.84366530696427,78.21403649449347,101.1928269267081,5462.878810998518,21550.459665231745,27142.99980130453
paper-faithful-v3-alg1only,bursty,8,3,model_5,647,647,0.32,0.14837712519319937,158.13422203063965,969.4833755493162,1193.4208440780624,86.25047736697728,362.24224766095466,535.920388996601,10541.760753985727,43883.74581781098,52444.38345065805
paper-faithful-v3-alg1only,bursty,8,3,model_6,648,648,0.09333333333333334,0.043209876543209874,127.17783451080322,378.0025124549866,855.0070762634263,62.92400206853486,137.2258177503596,227.82094269990887,7652.922640001634,31308.49677685036,40557.03868577547
paper-faithful-v3-alg1only,steady,8,1,model_1,168,168,0.016666666666666666,0.02976190476190476,79.65099811553955,176.70795917510986,332.17991828918565,36.292007279421206,46.23832032084465,51.339073094629526,2744.4058135151863,15260.302381808291,16271.082895304138
paper-faithful-v3-alg1only,steady,8,1,model_2,356,356,0.12666666666666668,0.10674157303370786,97.04625606536865,196.86609506607056,234.68884229660026,41.4566183437471,57.36267939209938,70.30458739575216,5667.890377008007,18013.72311299201,19774.032861055453
paper-faithful-v3-alg1only,steady,8,1,model_3,553,553,0.08333333333333333,0.045207956600361664,105.89599609375,224.83520507812494,321.29339218139677,53.73621794084708,72.0640116681655,92.39586657140323,6540.693397022551,23580.77589699533,26494.70195312054
paper-faithful-v3-alg1only,steady,8,1,model_4,265,265,0.08666666666666667,0.09811320754716982,117.78044700622559,232.59286880493164,594.2974567413362,52.46100852738565,65.43071788290273,80.25220334529877,7411.2052059790585,21192.129975400163,22331.014952525737
paper-faithful-v3-alg1only,steady,8,1,model_5,687,687,0.03666666666666667,0.01601164483260553,141.74628257751465,351.3724088668822,548.0075788497925,73.56512321616118,108.17221853929229,145.49850366054437,8338.562357996125,32658.941296004923,38794.38486722356
paper-faithful-v3-alg1only,steady,8,1,model_6,383,383,0.02,0.015665796344647518,138.38934898376465,509.218955039977,823.1819820404069,61.213044669684464,79.72996953286622,103.35740811684558,7462.977924995357,25589.67626148951,28489.48500339582
paper-faithful-v3-alg1only,steady,8,2,model_1,398,398,0.07333333333333333,0.05527638190954774,75.07431507110596,165.24397134780875,256.76968812942454,35.68155637181262,45.79665861173307,51.35428440239694,3472.695885502617,15093.734814070918,15980.312367961742
paper-faithful-v3-alg1only,steady,8,2,model_2,191,191,0.07,0.1099476439790576,99.16472434997559,241.62721633911133,830.1057815551748,42.752280831336975,54.28948936363061,67.4437901148429,5277.362728986191,18300.149225004134,20147.154698107614
paper-faithful-v3-alg1only,steady,8,2,model_3,417,417,0.13,0.09352517985611511,102.66232490539551,231.35266304016105,1489.6713829040493,50.332090642192576,71.28790107866128,75.20403479698659,6770.647726021707,23245.56467801449,28044.717764757803
paper-faithful-v3-alg1only,steady,8,2,model_4,362,362,0.12666666666666668,0.10497237569060773,116.39237403869629,250.54425001144395,637.6805639266952,52.394701619660424,69.67591583684866,96.25936090946193,5935.170455501066,24229.569915906177,25214.593124543022
paper-faithful-v3-alg1only,steady,8,2,model_5,505,505,0.09666666666666666,0.05742574257425743,136.0189914703369,364.5573139190671,906.8943500518774,62.97336518764496,87.02529080325577,100.34453920393823,7551.90665498958,28160.30179461813,32242.43091532611
paper-faithful-v3-alg1only,steady,8,2,model_6,555,555,0.04666666666666667,0.025225225225225224,131.25896453857422,339.3181800842285,551.9314861297621,64.94808259109656,91.21548001255307,108.91281268175916,7373.280337982578,28814.67444878362,32112.311525609697
