timestamp,gpu_id,gpu_utilization,memory_used_mib
1787155823.253475,0,0,35336
1787155823.253475,1,0,35350
1787155823.253475,2,0,0
1787155823.253475,3,0,0
1787155825.6976917,0,33,35808
1787155825.6976917,1,12,35786
1787155825.6976917,2,0,0
1787155825.6976917,3,0,0
1787155828.0043657,0,65,35810
1787155828.0043657,1,61,35820
1787155828.0043657,2,0,0
1787155828.0043657,3,0,0
1787155830.3043706,0,64,36000
1787155830.3043706,1,61,35860
1787155830.3043706,2,0,0
1787155830.3043706,3,0,0
1787155832.6037934,0,63,36122
1787155832.6037934,1,48,36354
1787155832.6037934,2,0,0
1787155832.6037934,3,0,0
1787155834.8854513,0,55,36152
1787155834.8854513,1,61,36354
1787155834.8854513,2,0,0
1787155834.8854513,3,0,0
1787155837.199856,0,73,41410
1787155837.199856,1,55,36586
1787155837.199856,2,0,0
1787155837.199856,3,0,0
1787155839.5279188,0,46,42110
1787155839.5279188,1,40,36360
1787155839.5279188,2,0,0
1787155839.5279188,3,0,0
1787155841.7631893,0,71,42238
1787155841.7631893,1,53,36746
1787155841.7631893,2,0,0
1787155841.7631893,3,0,0
1787155844.0151367,0,52,42732
1787155844.0151367,1,48,36858
1787155844.0151367,2,0,0
1787155844.0151367,3,0,0
1787155846.3206036,0,52,42860
1787155846.3206036,1,76,37280
1787155846.3206036,2,0,0
1787155846.3206036,3,0,0
1787155848.694893,0,43,43148
1787155848.694893,1,37,37266
1787155848.694893,2,0,0
1787155848.694893,3,0,0
1787155851.101322,0,48,43584
1787155851.101322,1,41,32350
1787155851.101322,2,0,0
1787155851.101322,3,0,0
1787155853.4583771,0,54,43712
1787155853.4583771,1,37,32432
1787155853.4583771,2,0,0
1787155853.4583771,3,0,0
1787155855.8642957,0,65,43740
1787155855.8642957,1,30,32432
1787155855.8642957,2,0,0
1787155855.8642957,3,0,0
1787155858.27623,0,64,43740
1787155858.27623,1,69,32432
1787155858.27623,2,0,0
1787155858.27623,3,0,0
1787155860.576843,0,76,43740
1787155860.576843,1,48,32432
1787155860.576843,2,0,0
1787155860.576843,3,0,0
1787155862.9432855,0,74,43830
1787155862.9432855,1,37,32432
1787155862.9432855,2,0,0
1787155862.9432855,3,0,0
1787155865.3082814,0,59,43942
1787155865.3082814,1,44,32686
1787155865.3082814,2,0,0
1787155865.3082814,3,0,0
1787155867.6592386,0,61,43942
1787155867.6592386,1,54,32686
1787155867.6592386,2,0,0
1787155867.6592386,3,0,0
1787155870.0210168,0,96,43942
1787155870.0210168,1,64,32686
1787155870.0210168,2,0,0
1787155870.0210168,3,0,0
1787155872.3301713,0,84,44262
1787155872.3301713,1,71,39462
1787155872.3301713,2,0,0
1787155872.3301713,3,0,0
1787155874.6485353,0,43,43942
1787155874.6485353,1,45,41212
1787155874.6485353,2,0,0
1787155874.6485353,3,0,0
1787155877.0203867,0,75,43942
1787155877.0203867,1,67,41248
1787155877.0203867,2,0,0
1787155877.0203867,3,0,0
1787155879.3212461,0,72,44362
1787155879.3212461,1,45,41136
1787155879.3212461,2,0,0
1787155879.3212461,3,0,0
1787155881.7481484,0,69,44706
1787155881.7481484,1,50,41178
1787155881.7481484,2,0,0
1787155881.7481484,3,0,0
