timestamp,gpu_id,gpu_utilization,memory_used_mib
1787161484.5489526,0,0,35336
1787161484.5489526,1,0,35350
1787161484.5489526,2,0,0
1787161484.5489526,3,0,0
1787161487.0047147,0,0,35768
1787161487.0047147,1,0,35808
1787161487.0047147,2,0,0
1787161487.0047147,3,0,0
1787161489.3041284,0,34,35954
1787161489.3041284,1,10,36036
1787161489.3041284,2,0,0
1787161489.3041284,3,0,0
1787161491.6677568,0,37,36018
1787161491.6677568,1,15,36036
1787161491.6677568,2,0,0
1787161491.6677568,3,0,0
1787161494.0036597,0,33,36082
1787161494.0036597,1,18,36036
1787161494.0036597,2,0,0
1787161494.0036597,3,0,0
1787161496.3455818,0,12,36216
1787161496.3455818,1,11,36148
1787161496.3455818,2,0,0
1787161496.3455818,3,0,0
1787161498.7888048,0,48,36354
1787161498.7888048,1,19,36148
1787161498.7888048,2,0,0
1787161498.7888048,3,0,0
1787161501.1260567,0,39,36486
1787161501.1260567,1,20,36260
1787161501.1260567,2,0,0
1787161501.1260567,3,0,0
1787161503.4653656,0,25,36488
1787161503.4653656,1,14,36260
1787161503.4653656,2,0,0
1787161503.4653656,3,0,0
1787161505.7636216,0,29,36488
1787161505.7636216,1,22,36260
1787161505.7636216,2,0,0
1787161505.7636216,3,0,0
1787161508.1049101,0,41,36686
1787161508.1049101,1,15,36878
1787161508.1049101,2,0,0
1787161508.1049101,3,0,0
1787161510.4782822,0,45,36686
1787161510.4782822,1,35,36878
1787161510.4782822,2,0,0
1787161510.4782822,3,0,0
1787161512.8891494,0,34,36686
1787161512.8891494,1,21,36878
1787161512.8891494,2,0,0
1787161512.8891494,3,0,0
1787161515.264122,0,48,36884
1787161515.264122,1,20,36878
1787161515.264122,2,0,0
1787161515.264122,3,0,0
1787161517.603012,0,41,36886
1787161517.603012,1,21,36878
1787161517.603012,2,0,0
1787161517.603012,3,0,0
1787161520.0119798,0,32,36886
1787161520.0119798,1,12,36878
1787161520.0119798,2,0,0
1787161520.0119798,3,0,0
1787161522.386648,0,36,36886
1787161522.386648,1,33,36960
1787161522.386648,2,0,0
1787161522.386648,3,0,0
1787161524.744387,0,32,36886
1787161524.744387,1,16,36960
1787161524.744387,2,0,0
1787161524.744387,3,0,0
1787161527.0550473,0,36,36886
