migration_id,model,model_path,source_gpu,target_gpu,migration_start,target_ready_time,migration_end,migration_latency_s,service_downtime_s,migration_total_s,ordering,readiness_barrier,latency_is_submission_only,weight_bytes,kv_bytes,total_bytes,transfer_path,effective_gbps,success,peak_kvpr_before,peak_kvpr_after,tau,alg1_cycle
0,model_4,Qwen/Qwen2.5-3B-Instruct,0,1,1787158348.5346475,1787158349.9921591,1787158365.42132,1.4575116634368896,0.0,16.886672496795654,target-first,0,1,6794207232,0,6794207232,host-to-device + helper-gpu-p2p,12.061499522271795,True,0.0008077038348320111,,0.00035,1
1,model_4,Qwen/Qwen2.5-3B-Instruct,1,0,1787158380.5716465,1787158381.9072094,1787158402.3436656,1.3355629444122314,0.0,21.772019147872925,target-first,0,1,6794207232,0,6794207232,host-to-device + helper-gpu-p2p,5.599323085768356,True,0.07976819101404876,,0.00035,5
2,model_2,Qwen/Qwen2.5-1.5B-Instruct,1,0,1787158417.5527716,1787158419.1415086,1787158429.3881898,1.5887370109558105,0.0,11.835418224334717,target-first,0,1,3554176000,0,3554176000,host-to-device + helper-gpu-p2p,5.516873949999492,True,0.07451035839895967,,0.00035,9
3,model_2,Qwen/Qwen2.5-1.5B-Instruct,0,1,1787158449.6892366,1787158453.6023116,1787158465.1799736,3.9130749702453613,0.0,15.490736961364746,target-first,0,1,3554176000,0,3554176000,host-to-device + helper-gpu-p2p,3.433756829707284,True,0.07654180218879078,,0.00035,14
4,model_2,Qwen/Qwen2.5-1.5B-Instruct,1,0,1787158480.4083652,1787158482.1477149,1787158484.3359542,1.739349603652954,0.0,3.927588939666748,target-first,0,1,3554176000,0,3554176000,host-to-device + helper-gpu-p2p,5.516873949999492,True,0.07132880507390224,,0.00035,18
5,model_2,Qwen/Qwen2.5-1.5B-Instruct,0,1,1787158510.886904,1787158512.7968044,1787158526.783118,1.909900426864624,0.0,15.896214008331299,target-first,0,1,3554176000,0,3554176000,host-to-device + helper-gpu-p2p,3.433756829707284,True,0.05476917462059062,,0.00035,24
6,model_1,meta-llama/Llama-3.2-1B,0,1,1787158542.0981991,1787158543.039106,1787158548.8277724,0.9409067630767822,0.0,6.7295732498168945,target-first,0,1,2996965376,0,2996965376,host-to-device + helper-gpu-p2p,5.799307612157045,True,0.05078960733426595,,0.00035,28
7,model_1,meta-llama/Llama-3.2-1B,1,0,1787158604.942246,1787158607.630381,1787158615.7861276,2.6881351470947266,0.0,10.843881607055664,target-first,0,1,2996965376,0,2996965376,host-to-device + helper-gpu-p2p,5.902421951313503,True,0.082634045024064,,0.00035,40
8,model_2,Qwen/Qwen2.5-1.5B-Instruct,1,0,1787158636.3088577,1787158638.0936968,1787158651.977691,1.784839153289795,0.0,15.668833255767822,target-first,0,1,3554176000,0,3554176000,host-to-device + helper-gpu-p2p,5.516873949999492,True,0.054816167879858754,,0.00035,45
9,model_2,Qwen/Qwen2.5-1.5B-Instruct,0,1,1787158667.2740486,1787158668.7565296,1787158684.7274995,1.4824810028076172,0.0,17.453450918197632,target-first,0,1,3554176000,0,3554176000,host-to-device + helper-gpu-p2p,3.433756829707284,True,0.0835239421236517,,0.00035,49
10,model_2,Qwen/Qwen2.5-1.5B-Instruct,1,0,1787158700.1133227,1787158702.3433986,1787158713.3374403,2.2300758361816406,0.0,13.224117517471313,target-first,0,1,3554176000,0,3554176000,host-to-device + helper-gpu-p2p,5.516873949999492,True,0.07242897506093438,,0.00035,53
11,model_2,Qwen/Qwen2.5-1.5B-Instruct,0,1,1787158738.9260437,1787158740.9991088,1787158756.256625,2.0730650424957275,0.0,17.330581188201904,target-first,0,1,3554176000,0,3554176000,host-to-device + helper-gpu-p2p,3.433756829707284,True,0.06662649909702521,,0.00035,59
12,model_1,meta-llama/Llama-3.2-1B,0,1,1787158771.9025445,1787158773.669544,1787158778.3289015,1.7669994831085205,0.0,6.42635703086853,target-first,0,1,2996965376,0,2996965376,host-to-device + helper-gpu-p2p,5.799307612157045,True,0.06318619842042347,,0.00035,63
