migration_id,model,model_path,source_gpu,target_gpu,migration_start,target_ready_time,migration_end,migration_latency_s,service_downtime_s,migration_total_s,ordering,readiness_barrier,latency_is_submission_only,weight_bytes,kv_bytes,total_bytes,transfer_path,effective_gbps,success,peak_kvpr_before,peak_kvpr_after,tau,alg1_cycle
0,model_6,Qwen/Qwen2.5-7B-Instruct,1,0,1787164032.6845152,1787164035.7333083,1787164037.4496884,3.048793077468872,0.0,4.7651731967926025,target-first,1,0,15231233024,0,15231233024,gpu-to-gpu-p2p,16.16205961434942,True,0.0010691327573524952,0.000712713099143465,0.00035,1
1,model_5,meta-llama/Llama-3.1-8B,0,1,1787164062.915282,1787164065.96834,1787164066.6883466,3.053057909011841,0.0,3.773064613342285,target-first,1,0,16060522496,0,16060522496,gpu-to-gpu-p2p,16.303341381073665,True,0.07857568928984694,0.05773347817339306,0.00035,7
2,model_4,Qwen/Qwen2.5-3B-Instruct,0,1,1787164093.1014097,1787164096.581918,1787164107.3714924,3.480508327484131,0.0,14.270082712173462,target-first,1,0,6794207232,0,6794207232,gpu-to-gpu-p2p,15.238900660694874,True,0.05756042332453317,0.04353087100458459,0.00035,13
3,model_4,Qwen/Qwen2.5-3B-Instruct,1,0,1787164127.6292322,1787164130.9372368,1787164132.173859,3.30800461769104,0.0,4.544626712799072,target-first,1,0,6794207232,0,6794207232,host-to-device + helper-gpu-p2p,7.074384509186673,True,0.044819841197033514,0.0629882832593518,0.00035,18
4,model_6,Qwen/Qwen2.5-7B-Instruct,0,1,1787164157.962372,1787164160.2903197,1787164176.7316995,2.3279476165771484,0.0,18.769327402114868,target-first,1,0,15231233024,0,15231233024,host-to-device + helper-gpu-p2p,11.424533564498505,True,0.14602118820668541,0.091090467125297,0.00035,24
5,model_4,Qwen/Qwen2.5-3B-Instruct,0,1,1787164176.788749,1787164215.8781993,1787164215.8781993,39.08945035934448,39.08945035934448,39.08945035934448,source-first,1,0,6794207232,0,6794207232,gpu-to-gpu-p2p,15.238900660694874,True,,,,
6,model_2,Qwen/Qwen2.5-1.5B-Instruct,1,0,1787164197.1553304,1787164198.8854308,1787164199.617753,1.730100393295288,0.0,2.4624226093292236,target-first,1,0,3554176000,0,3554176000,gpu-to-gpu-p2p,14.624933514379087,True,0.09984908896298102,0.09475599210989,0.00035,29
7,model_3,meta-llama/Llama-3.2-3B,1,0,1787164227.744301,1787164230.1639686,1787164238.1309555,2.4196674823760986,0.0,10.386654376983643,target-first,1,0,7213504512,0,7213504512,gpu-to-gpu-p2p,14.886886165854063,True,0.07965128904891453,0.05727498190878206,0.00035,35
8,model_4,Qwen/Qwen2.5-3B-Instruct,1,0,1787164258.6276207,1787164262.2303977,1787164276.2572215,3.6027770042419434,0.0,17.629600763320923,target-first,1,0,6794207232,0,6794207232,host-to-device + helper-gpu-p2p,7.074384509186673,True,0.04666034968323022,0.042277405948440636,0.00035,40
9,model_4,Qwen/Qwen2.5-3B-Instruct,0,1,1787164291.7644978,1787164294.5856252,1787164310.517663,2.821127414703369,0.0,18.753165245056152,target-first,1,0,6794207232,0,6794207232,gpu-to-gpu-p2p,15.238900660694874,True,0.13884612479983682,0.11688109176726771,0.00035,44
10,model_3,meta-llama/Llama-3.2-3B,0,1,1787164325.9286284,1787164327.943862,1787164343.207124,2.0152335166931152,0.0,17.27849555015564,target-first,1,0,7213504512,0,7213504512,host-to-device + helper-gpu-p2p,7.745020076165523,True,0.10312441510889989,0.08565587428609096,0.00035,48
11,model_6,Qwen/Qwen2.5-7B-Instruct,1,0,1787164358.6046243,1787164361.1284559,1787164378.3996162,2.523831605911255,0.0,19.794991970062256,target-first,1,0,15231233024,0,15231233024,gpu-to-gpu-p2p,16.16205961434942,True,0.12550224372905727,0.08452730444364201,0.00035,52
12,model_4,Qwen/Qwen2.5-3B-Instruct,1,0,1787164378.5036457,1787164449.570344,1787164449.570344,71.0666983127594,71.0666983127594,71.0666983127594,source-first,1,0,6794207232,0,6794207232,host-to-device + helper-gpu-p2p,7.074384509186673,True,,,,
13,model_2,Qwen/Qwen2.5-1.5B-Instruct,1,0,1787164388.9919114,1787164390.745721,1787164396.4964077,1.7538096904754639,0.0,7.504496335983276,target-first,1,0,3554176000,0,3554176000,gpu-to-gpu-p2p,14.624933514379087,True,0.07086983275132934,0.0708371784781372,0.00035,55
14,model_6,Qwen/Qwen2.5-7B-Instruct,0,1,1787164422.259808,1787164424.7658107,1787164445.3419387,2.50600266456604,0.0,23.082130670547485,target-first,1,0,15231233024,0,15231233024,host-to-device + helper-gpu-p2p,11.424533564498505,True,0.20403782818709493,0.11950063462536076,0.00035,61
15,model_2,Qwen/Qwen2.5-1.5B-Instruct,0,1,1787164455.6645749,1787164457.0715399,1787164457.8827944,1.4069650173187256,0.0,2.218219518661499,target-first,1,0,3554176000,0,3554176000,host-to-device + helper-gpu-p2p,6.390642106472473,True,0.058422732994550676,0.06156293163463717,0.00035,64
