Real trace file: /workspace/prism-exp/exp/workloads/paper-faithful-v4/bursty_r8_s2.pkl
[PRISM_DIRECT] 3365 requests, span 419.8s
Starting TP benchmark: paper-faithful-v3-alg1only_bursty_rate8_seed2
Generated 3365 requests
Request model_3#0 arrives at 137099.72257922, sleeping for 0.1579858199111186 seconds
Request model_4#0 arrives at 137099.88083303, sleeping for 0.15833770186873153 seconds
Request model_4#1 arrives at 137100.040204531, sleeping for 0.0380275234056171 seconds
Request model_4#2 arrives at 137100.079306851, sleeping for 0.17982344204210676 seconds
Request model_1#0 arrives at 137100.259491138, sleeping for 0.011740056215785444 seconds
Request model_3#1 arrives at 137100.271718084, sleeping for 0.09712165192468092 seconds
Request model_1#1 arrives at 137100.369180947, sleeping for 0.07135347108123824 seconds
Request model_1#2 arrives at 137100.44267617, sleeping for 0.05266033406951465 seconds
Request model_1#3 arrives at 137100.497661289, sleeping for 0.3279177979857195 seconds
Request model_3#2 arrives at 137100.826580974, sleeping for 0.422081749944482 seconds
Request model_1#4 arrives at 137101.250075819, sleeping for 0.06739066570298746 seconds
Request model_3#3 arrives at 137101.319376307, sleeping for 0.1802352478262037 seconds
Request model_1#5 arrives at 137101.500770176, sleeping for 0.23400077171390876 seconds
Request model_1#6 arrives at 137101.735261112, sleeping for 0.1507478139246814 seconds
Request model_1#7 arrives at 137101.886879623, sleeping for 0.07021700227051042 seconds
Request model_1#8 arrives at 137101.958230953, sleeping for 0.20225541660329327 seconds
Request model_3#4 arrives at 137102.16167571, sleeping for 0.07848366713733412 seconds
Request model_4#3 arrives at 137102.24102923, sleeping for 0.14412198527134024 seconds
Request model_1#9 arrives at 137102.387399635, sleeping for 0.009776709077414125 seconds
Request model_4#4 arrives at 137102.398687559, sleeping for 0.1601011473685503 seconds
Request model_1#10 arrives at 137102.559211742, sleeping for 0.4979182039969601 seconds
Request model_4#5 arrives at 137103.058081342, sleeping for 0.0297675410984084 seconds
Request model_3#5 arrives at 137103.08807228, sleeping for 0.0537146627320908 seconds
Request model_1#11 arrives at 137103.142238298, sleeping for 0.09329901853925548 seconds
Request model_3#6 arrives at 137103.236464237, sleeping for 0.2395369278965518 seconds
Request model_1#12 arrives at 137103.477966452, sleeping for 0.1745478362427093 seconds
Request model_4#6 arrives at 137103.654415585, sleeping for 0.029984110180521384 seconds
Request model_1#13 arrives at 137103.684754444, sleeping for 0.07022604744997807 seconds
Request model_1#14 arrives at 137103.755290263, sleeping for 0.14245614959509112 seconds
Request model_1#15 arrives at 137103.898286603, sleeping for 0.17200709154712968 seconds
Request model_1#16 arrives at 137104.071307192, sleeping for 0.23155364813283086 seconds
Request model_1#17 arrives at 137104.304306456, sleeping for 0.06213983180350624 seconds
Request model_1#18 arrives at 137104.367107535, sleeping for 0.05764800313045271 seconds
Request model_4#7 arrives at 137104.425382819, sleeping for 0.04364448870182969 seconds
Request model_4#8 arrives at 137104.469684665, sleeping for 0.11941575547098182 seconds
Request model_4#9 arrives at 137104.591255928, sleeping for 0.34652370715048164 seconds
Request model_1#19 arrives at 137104.939353458, sleeping for 0.05192783346865326 seconds
Request model_4#10 arrives at 137104.991636384, sleeping for 0.09725873224670067 seconds
