1787155823.253474988 0, 35336, 0;1, 35350, 0;2, 0, 0;3, 0, 0;
1787155825.697691621 0, 35808, 33;1, 35786, 12;2, 0, 0;3, 0, 0;
1787155828.004365590 0, 35810, 65;1, 35820, 61;2, 0, 0;3, 0, 0;
1787155830.304370597 0, 36000, 64;1, 35860, 61;2, 0, 0;3, 0, 0;
1787155832.603793488 0, 36122, 63;1, 36354, 48;2, 0, 0;3, 0, 0;
1787155834.885451317 0, 36152, 55;1, 36354, 61;2, 0, 0;3, 0, 0;
1787155837.199856159 0, 41410, 73;1, 36586, 55;2, 0, 0;3, 0, 0;
1787155839.527918787 0, 42110, 46;1, 36360, 40;2, 0, 0;3, 0, 0;
1787155841.763189198 0, 42238, 71;1, 36746, 53;2, 0, 0;3, 0, 0;
1787155844.015136727 0, 42732, 52;1, 36858, 48;2, 0, 0;3, 0, 0;
1787155846.320603577 0, 42860, 52;1, 37280, 76;2, 0, 0;3, 0, 0;
1787155848.694892842 0, 43148, 43;1, 37266, 37;2, 0, 0;3, 0, 0;
1787155851.101321870 0, 43584, 48;1, 32350, 41;2, 0, 0;3, 0, 0;
1787155853.458377088 0, 43712, 54;1, 32432, 37;2, 0, 0;3, 0, 0;
1787155855.864295674 0, 43740, 65;1, 32432, 30;2, 0, 0;3, 0, 0;
1787155858.276230189 0, 43740, 64;1, 32432, 69;2, 0, 0;3, 0, 0;
1787155860.576843010 0, 43740, 76;1, 32432, 48;2, 0, 0;3, 0, 0;
1787155862.943285393 0, 43830, 74;1, 32432, 37;2, 0, 0;3, 0, 0;
1787155865.308281499 0, 43942, 59;1, 32686, 44;2, 0, 0;3, 0, 0;
1787155867.659238656 0, 43942, 61;1, 32686, 54;2, 0, 0;3, 0, 0;
1787155870.021016878 0, 43942, 96;1, 32686, 64;2, 0, 0;3, 0, 0;
1787155872.330171365 0, 44262, 84;1, 39462, 71;2, 0, 0;3, 0, 0;
1787155874.648535215 0, 43942, 43;1, 41212, 45;2, 0, 0;3, 0, 0;
