Real trace file: /workspace/prism-exp/exp/workloads/paper-faithful-v4/steady_r8_s3.pkl
[PRISM_DIRECT] 3372 requests, span 419.6s
Starting TP benchmark: paper-faithful-v3-alg1only_steady_rate8_seed3
Generated 3372 requests
Request model_5#0 arrives at 134586.842122954, sleeping for 0.1507891932851635 seconds
Request model_2#0 arrives at 134586.993376578, sleeping for 0.1587689705484081 seconds
Request model_2#1 arrives at 134587.153134383, sleeping for 0.043704739946406335 seconds
Request model_5#1 arrives at 134587.1981247, sleeping for 0.01823665518895723 seconds
Request model_6#0 arrives at 134587.218353829, sleeping for 0.6733821879897732 seconds
Request model_5#2 arrives at 134587.892964335, sleeping for 0.004055732977576554 seconds
Request model_6#1 arrives at 134587.898327173, sleeping for 0.07844730390934274 seconds
Request model_3#0 arrives at 134587.97762647, sleeping for 0.18816741765476763 seconds
Request model_4#0 arrives at 134588.167094849, sleeping for 0.16789424506714568 seconds
Request model_1#0 arrives at 134588.335532148, sleeping for 0.005037153838202357 seconds
Request model_5#3 arrives at 134588.340815756, sleeping for 0.0039422918925993145 seconds
Request model_3#1 arrives at 134588.345232172, sleeping for 0.03996037977049127 seconds
Request model_3#2 arrives at 134588.385481181, sleeping for 0.13387416987097822 seconds
Request model_6#2 arrives at 134588.51980961, sleeping for 0.04646851701545529 seconds
Request model_6#3 arrives at 134588.566600159, sleeping for 0.30076764422119595 seconds
Request model_1#1 arrives at 134588.867953933, sleeping for 0.03993382889893837 seconds
Request model_5#4 arrives at 134588.908270953, sleeping for 0.18704980736947618 seconds
Request model_6#4 arrives at 134589.095891719, sleeping for 0.08896888449089602 seconds
Request model_1#2 arrives at 134589.185741492, sleeping for 0.08240515840589069 seconds
Request model_6#5 arrives at 134589.268982795, sleeping for 0.1648572920821607 seconds
Request model_2#2 arrives at 134589.434362409, sleeping for 0.5267240634711925 seconds
Request model_2#3 arrives at 134589.962143377, sleeping for 0.002138311305316165 seconds
Request model_1#3 arrives at 134589.964696881, sleeping for 0.11445844461559318 seconds
Request model_6#6 arrives at 134590.079845011, sleeping for 0.07908013471751474 seconds
Request model_3#3 arrives at 134590.159700028, sleeping for 0.1232480060425587 seconds
Request model_3#4 arrives at 134590.283321831, sleeping for 0.08632005596882664 seconds
Request model_4#1 arrives at 134590.370229609, sleeping for 0.05709838058101013 seconds
Request model_3#5 arrives at 134590.428222525, sleeping for 0.03838895764783956 seconds
Request model_6#7 arrives at 134590.467449262, sleeping for 0.06701763821183704 seconds
Request model_5#5 arrives at 134590.535082982, sleeping for 0.17331179603934288 seconds
Request model_5#6 arrives at 134590.709480609, sleeping for 0.07880357615067624 seconds
Request model_6#8 arrives at 134590.788848786, sleeping for 0.00041337814764119685 seconds
Request model_5#7 arrives at 134590.789946988, sleeping for 0.10098392772488296 seconds
Request model_6#9 arrives at 134590.891433148, sleeping for 0.036391750822076574 seconds
Request model_1#4 arrives at 134590.929668334, sleeping for 0.17544896807521582 seconds
Request model_6#10 arrives at 134591.106977316, sleeping for 0.37959047936601564 seconds
Request model_6#11 arrives at 134591.487262646, sleeping for 0.009944978635758162 seconds
Request model_6#12 arrives at 134591.498572223, sleeping for 0.003864030761178583 seconds
Request model_6#13 arrives at 134591.502766599, sleeping for 0.031762708618771285 seconds
Request model_2#4 arrives at 134591.535141747, sleeping for 0.2073749986011535 seconds
Request model_5#8 arrives at 134591.744542616, sleeping for 0.1149733524362091 seconds
Request model_6#14 arrives at 134591.860389767, sleeping for 0.18871195905376226 seconds
Request model_6#15 arrives at 134592.049656936, sleeping for 0.28286898194346577 seconds
Request model_4#2 arrives at 134592.333169404, sleeping for 0.4997094799182378 seconds
Request model_6#16 arrives at 134592.833664332, sleeping for 0.05434513068757951 seconds
Request model_6#17 arrives at 134592.888978324, sleeping for 0 seconds
Request model_5#9 arrives at 134592.889591414, sleeping for 0.00015964629710651934 seconds
Request model_4#3 arrives at 134592.890528316, sleeping for 0.13712204061448574 seconds
Request model_6#18 arrives at 134593.028588879, sleeping for 0.2861003556463402 seconds
Request model_5#10 arrives at 134593.317131745, sleeping for 0.12991258106194437 seconds
Request model_1#5 arrives at 134593.447585547, sleeping for 0.07384636154165491 seconds
Request model_6#19 arrives at 134593.521986197, sleeping for 0.008483336248900741 seconds
Request model_1#6 arrives at 134593.531316581, sleeping for 0.050740944425342605 seconds
Request model_5#11 arrives at 134593.582310206, sleeping for 0.49246525127091445 seconds
Request model_2#5 arrives at 134594.075757873, sleeping for 0.0017056159558705986 seconds
Request model_6#20 arrives at 134594.077772326, sleeping for 0.4180272634839639 seconds
Request model_6#21 arrives at 134594.496197793, sleeping for 0.0068651494511868805 seconds
Request model_5#12 arrives at 134594.503384484, sleeping for 0.03312166896648705 seconds
Request model_4#4 arrives at 134594.537569854, sleeping for 0.030849364266032353 seconds
Request model_1#7 arrives at 134594.569022131, sleeping for 0.170847580418922 seconds
Request model_5#13 arrives at 134594.740180283, sleeping for 0.4285277095332276 seconds
Request model_6#22 arrives at 134595.169256376, sleeping for 0.00021122265025041997 seconds
Request model_6#23 arrives at 134595.170526327, sleeping for 0.03987428473192267 seconds
Request model_5#14 arrives at 134595.211350408, sleeping for 0.10698624543147162 seconds
Request model_3#6 arrives at 134595.318743556, sleeping for 0.4825573484704364 seconds
Request model_5#15 arrives at 134595.802596659, sleeping for 0.10779929661657661 seconds
Request model_6#24 arrives at 134595.912666361, sleeping for 0.089280331536429 seconds
Request model_6#25 arrives at 134596.003095435, sleeping for 0.03550868426100351 seconds
Request model_4#5 arrives at 134596.039403948, sleeping for 0.14033909971476533 seconds
Request model_6#26 arrives at 134596.180643096, sleeping for 0.11443188699195161 seconds
Request model_5#16 arrives at 134596.296152867, sleeping for 0.2726675866288133 seconds
Request model_6#27 arrives at 134596.56944295, sleeping for 0.04396362620173022 seconds
Request model_3#7 arrives at 134596.613676915, sleeping for 0.27635179183562286 seconds
Request model_6#28 arrives at 134596.891162594, sleeping for 0.192487772583263 seconds
Request model_6#29 arrives at 134597.084642419, sleeping for 0.023065421322826296 seconds
Request model_6#30 arrives at 134597.108025683, sleeping for 0.06441065040417016 seconds
Request model_6#31 arrives at 134597.17333284, sleeping for 0.04770891831140034 seconds
Request model_4#6 arrives at 134597.221616871, sleeping for 0.10019667542655952 seconds
Request model_3#8 arrives at 134597.322217499, sleeping for 0.09100122164818458 seconds
Request model_4#7 arrives at 134597.413583154, sleeping for 0.29800014791544527 seconds
Request model_5#17 arrives at 134597.712121604, sleeping for 4.222150892019272e-06 seconds
Request model_5#18 arrives at 134597.712825035, sleeping for 0.11345226637786254 seconds
Request model_4#8 arrives at 134597.827495234, sleeping for 0.006791383464587852 seconds
Request model_1#8 arrives at 134597.834951315, sleeping for 0.02256549065350555 seconds
Request model_6#32 arrives at 134597.858196899, sleeping for 0.09029662772081792 seconds
Request model_4#9 arrives at 134597.949549214, sleeping for 0.033753059862647206 seconds
Request model_3#9 arrives at 134597.983887784, sleeping for 0.014723425527336076 seconds
Request model_6#33 arrives at 134597.999180667, sleeping for 0.13423515282920562 seconds
Request model_4#10 arrives at 134598.134347636, sleeping for 0.028208789706695825 seconds
Request model_2#6 arrives at 134598.163600119, sleeping for 0.028030304587446153 seconds
Request model_5#19 arrives at 134598.192644422, sleeping for 0.1330784703604877 seconds
Request model_4#11 arrives at 134598.32698167, sleeping for 0.2680047255998943 seconds
Request model_6#34 arrives at 134598.595738986, sleeping for 0.08538855877122842 seconds
Request model_4#12 arrives at 134598.681899873, sleeping for 0.001181956409709528 seconds
Request model_3#10 arrives at 134598.683312655, sleeping for 0.1878788025060203 seconds
Request model_5#20 arrives at 134598.871845983, sleeping for 0.08004452192108147 seconds
Request model_4#13 arrives at 134598.952220421, sleeping for 0.04808096558554098 seconds
Request model_1#9 arrives at 134599.000605633, sleeping for 0.017585354013135657 seconds
Request model_2#7 arrives at 134599.01903404, sleeping for 0.19344482495216653 seconds
Request model_2#8 arrives at 134599.213545016, sleeping for 0.10988794936565682 seconds
Request model_4#14 arrives at 134599.32414124, sleeping for 0.020749842544319108 seconds
Request model_6#35 arrives at 134599.345581381, sleeping for 0.005988245306070894 seconds
Request model_4#15 arrives at 134599.35193565, sleeping for 0.22147238696925342 seconds
Request model_3#11 arrives at 134599.574425878, sleeping for 0.0915796892659273 seconds
Request model_2#9 arrives at 134599.666623694, sleeping for 0.004217023961246014 seconds
Request model_6#36 arrives at 134599.671879622, sleeping for 0.5588016648835037 seconds
Request model_6#37 arrives at 134600.231472096, sleeping for 0.1847208502003923 seconds
Request model_6#38 arrives at 134600.41691767, sleeping for 0.15455333603313193 seconds
Request model_6#39 arrives at 134600.572384249, sleeping for 0.005626931000733748 seconds
Request model_3#12 arrives at 134600.578704178, sleeping for 0.013535199570469558 seconds
Request model_4#16 arrives at 134600.593137219, sleeping for 0.016027545498218387 seconds
