1787162737.951799480 0, 35732, 13;1, 35786, 25;2, 0, 0;3, 0, 0;
1787162740.262709778 0, 35848, 21;1, 35828, 4;2, 0, 0;3, 0, 0;
1787162742.551984053 0, 35850, 27;1, 35888, 49;2, 0, 0;3, 0, 0;
1787162744.837284442 0, 35852, 47;1, 35936, 48;2, 0, 0;3, 0, 0;
1787162747.132151674 0, 35872, 45;1, 36304, 55;2, 0, 0;3, 0, 0;
1787162749.434463597 0, 35872, 35;1, 36934, 54;2, 0, 0;3, 0, 0;
1787162751.725044072 0, 36128, 55;1, 37046, 66;2, 0, 0;3, 0, 0;
1787162754.029850918 0, 36128, 54;1, 37362, 66;2, 0, 0;3, 0, 0;
1787162756.365617329 0, 36192, 47;1, 38058, 37;2, 0, 0;3, 0, 0;
1787162758.690896995 0, 36192, 9;1, 38266, 60;2, 0, 0;3, 0, 0;
1787162761.046688815 0, 36528, 36;1, 38282, 62;2, 0, 0;3, 0, 0;
1787162763.337545668 0, 36528, 47;1, 38732, 53;2, 0, 0;3, 0, 0;
1787162765.667535788 0, 37054, 36;1, 38844, 83;2, 0, 0;3, 0, 0;
1787162767.983442567 0, 37054, 48;1, 39212, 63;2, 0, 0;3, 0, 0;
1787162770.274976420 0, 37128, 42;1, 39562, 15;2, 0, 0;3, 0, 0;
1787162772.604461488 0, 37128, 50;1, 39966, 46;2, 0, 0;3, 0, 0;
1787162774.957072600 0, 37128, 54;1, 39966, 55;2, 0, 0;3, 0, 0;
1787162777.293740258 0, 37128, 48;1, 40010, 82;2, 0, 0;3, 0, 0;
1787162779.583211715 0, 37128, 36;1, 40010, 41;2, 0, 0;3, 0, 0;
1787162781.883336397 0, 37128, 48;1, 40010, 70;2, 0, 0;3, 0, 0;
1787162784.173023584 0, 37128, 31;1, 40010, 52;2, 0, 0;3, 0, 0;
1787162786.458729324 0, 37128, 52;1, 40010, 59;2, 0, 0;3, 0, 0;
1787162789.473747991 0, 37128, 38;1, 40218, 66;2, 0, 0;3, 0, 0;
1787162792.228791149 0, 28740, 44;1, 40218, 51;2, 0, 0;3, 0, 0;
1787162794.673725865 0, 28740, 52;1, 40218, 70;2, 0, 0;3, 0, 0;
1787162796.959518722 0, 36268, 35;1, 40426, 88;2, 0, 0;3, 0, 0;
1787162799.281823064 0, 38272, 52;1, 40106, 72;2, 0, 0;3, 0, 0;
1787162801.584682096 0, 38274, 65;1, 40106, 39;2, 0, 0;3, 0, 0;
1787162803.888849290 0, 38658, 50;1, 39882, 35;2, 0, 0;3, 0, 0;
1787162806.188595986 0, 38914, 19;1, 39882, 64;2, 0, 0;3, 0, 0;
1787162808.499657219 0, 39170, 56;1, 39882, 43;2, 0, 0;3, 0, 0;
1787162810.837972702 0, 39554, 60;1, 39322, 69;2, 0, 0;3, 0, 0;
1787162813.181461883 0, 39938, 53;1, 39322, 76;2, 0, 0;3, 0, 0;
1787162815.511175592 0, 40194, 48;1, 39322, 45;2, 0, 0;3, 0, 0;
1787162817.818601157 0, 40194, 60;1, 39210, 62;2, 0, 0;3, 0, 0;
1787162820.115142516 0, 40194, 66;1, 39210, 54;2, 0, 0;3, 0, 0;
1787162822.421660070 0, 40194, 46;1, 39210, 55;2, 0, 0;3, 0, 0;
1787162825.050150321 0, 40194, 36;1, 39210, 43;2, 0, 0;3, 0, 0;
1787162829.272737915 0, 40194, 65;1, 39210, 68;2, 0, 0;3, 0, 0;
1787162831.585302155 0, 40194, 41;1, 39098, 33;2, 0, 0;3, 0, 0;
