1787163383.397769432 0, 35862, 21;1, 35882, 35;2, 0, 0;3, 0, 0;
1787163385.818562482 0, 35904, 7;1, 36474, 3;2, 0, 0;3, 0, 0;
1787163388.227336297 0, 35224, 21;1, 44306, 25;2, 0, 0;3, 0, 0;
1787163390.570041164 0, 33978, 29;1, 44526, 55;2, 0, 0;3, 0, 0;
1787163392.972994054 0, 33978, 30;1, 44526, 80;2, 0, 0;3, 0, 0;
1787163395.413239056 0, 34132, 25;1, 44900, 47;2, 0, 0;3, 0, 0;
1787163397.868681242 0, 34132, 20;1, 45182, 70;2, 0, 0;3, 0, 0;
1787163400.355173418 0, 34132, 32;1, 45294, 67;2, 0, 0;3, 0, 0;
1787163402.827542638 0, 34132, 27;1, 45294, 61;2, 0, 0;3, 0, 0;
1787163405.293226792 0, 34216, 19;1, 45576, 43;2, 0, 0;3, 0, 0;
1787163408.160328252 0, 34484, 13;1, 45576, 37;2, 0, 0;3, 0, 0;
1787163410.925939321 0, 34484, 92;1, 45688, 100;2, 0, 0;3, 0, 0;
1787163413.258760436 0, 34702, 22;1, 45800, 41;2, 0, 0;3, 0, 0;
1787163415.583469733 0, 34830, 32;1, 45866, 80;2, 0, 0;3, 0, 0;
1787163418.012469539 0, 42562, 39;1, 45912, 56;2, 0, 0;3, 0, 0;
1787163420.331843021 0, 42674, 21;1, 45912, 59;2, 0, 0;3, 0, 0;
1787163422.867243386 0, 42960, 62;1, 46104, 56;2, 0, 0;3, 0, 0;
1787163425.427918402 0, 43142, 49;1, 46300, 44;2, 0, 0;3, 0, 0;
1787163427.960034345 0, 43142, 75;1, 46236, 68;2, 0, 0;3, 0, 0;
1787163430.475105025 0, 43686, 22;1, 44240, 38;2, 0, 0;3, 0, 0;
1787163432.960787192 0, 43814, 60;1, 44304, 45;2, 0, 0;3, 0, 0;
1787163435.452848567 0, 44188, 24;1, 44384, 58;2, 0, 0;3, 0, 0;
1787163437.980077500 0, 44582, 64;1, 44384, 50;2, 0, 0;3, 0, 0;
1787163440.457496584 0, 44710, 100;1, 44272, 71;2, 0, 0;3, 0, 0;
1787163442.932359351 0, 45350, 27;1, 44272, 39;2, 0, 0;3, 0, 0;
1787163445.426172027 0, 45906, 68;1, 44272, 37;2, 0, 0;3, 0, 0;
1787163447.899913717 0, 46016, 78;1, 44048, 30;2, 0, 0;3, 0, 0;
1787163450.400790380 0, 46970, 18;1, 47540, 41;2, 0, 0;3, 0, 0;
1787163452.881130575 0, 47226, 46;1, 47768, 46;2, 0, 0;3, 0, 0;
1787163455.450630661 0, 47226, 57;1, 47896, 39;2, 0, 0;3, 0, 0;
1787163457.966913103 0, 47226, 63;1, 48012, 31;2, 0, 0;3, 0, 0;
1787163460.483049851 0, 47098, 47;1, 48012, 34;2, 0, 0;3, 0, 0;
1787163462.993610687 0, 45654, 60;1, 48012, 70;2, 0, 0;3, 0, 0;
1787163465.476243843 0, 45814, 44;1, 48012, 33;2, 0, 0;3, 0, 0;
1787163467.933190592 0, 46070, 62;1, 48012, 58;2, 0, 0;3, 0, 0;
1787163470.435426115 0, 46070, 35;1, 48012, 43;2, 0, 0;3, 0, 0;
1787163472.730461832 0, 46070, 48;1, 48082, 62;2, 0, 0;3, 0, 0;
1787163475.336798299 0, 46070, 25;1, 48082, 33;2, 0, 0;3, 0, 0;
1787163477.876796559 0, 46072, 54;1, 46354, 33;2, 0, 0;3, 0, 0;
1787163480.388902979 0, 46072, 64;1, 46354, 46;2, 0, 0;3, 0, 0;
1787163482.909118941 0, 45944, 73;1, 52524, 48;2, 0, 0;3, 0, 0;
1787163486.006048833 0, 45846, 18;1, 54086, 52;2, 0, 0;3, 0, 0;
1787163488.834891644 0, 45816, 71;1, 54234, 54;2, 0, 0;3, 0, 0;
1787163491.748215936 0, 45268, 29;1, 54680, 55;2, 0, 0;3, 0, 0;
1787163494.372195042 0, 36942, 52;1, 54680, 51;2, 0, 0;3, 0, 0;
1787163496.867607456 0, 36686, 30;1, 54680, 61;2, 0, 0;3, 0, 0;
1787163499.379190136 0, 36532, 1;1, 54680, 41;2, 0, 0;3, 0, 0;
1787163501.861898784 0, 36302, 0;1, 55128, 33;2, 0, 0;3, 0, 0;
1787163504.380799671 0, 50670, 100;1, 56226, 95;2, 0, 0;3, 0, 0;
1787163506.869625635 0, 52382, 71;1, 56024, 55;2, 0, 0;3, 0, 0;
1787163509.438219081 0, 52340, 37;1, 56514, 10;2, 0, 0;3, 0, 0;
1787163511.953612404 0, 51572, 42;1, 56850, 3;2, 0, 0;3, 0, 0;
1787163514.426598593 0, 58058, 26;1, 57298, 41;2, 0, 0;3, 0, 0;
1787163516.966814074 0, 59146, 49;1, 52530, 20;2, 0, 0;3, 0, 0;
1787163519.403174646 0, 59258, 54;1, 48510, 33;2, 0, 0;3, 0, 0;
1787163521.702498655 0, 59258, 43;1, 48612, 58;2, 0, 0;3, 0, 0;
1787163524.065461439 0, 59258, 37;1, 48848, 14;2, 0, 0;3, 0, 0;
1787163526.483831204 0, 59258, 72;1, 48848, 14;2, 0, 0;3, 0, 0;
1787163528.815854161 0, 59244, 19;1, 48848, 20;2, 0, 0;3, 0, 0;
1787163531.258622853 0, 59244, 61;1, 48848, 16;2, 0, 0;3, 0, 0;
1787163533.507917487 0, 59244, 64;1, 48848, 57;2, 0, 0;3, 0, 0;
1787163535.983875171 0, 59244, 73;1, 45730, 25;2, 0, 0;3, 0, 0;
1787163538.399139460 0, 59244, 62;1, 45730, 24;2, 0, 0;3, 0, 0;
1787163540.913762864 0, 59244, 55;1, 45730, 18;2, 0, 0;3, 0, 0;
1787163543.420390842 0, 59244, 58;1, 45730, 18;2, 0, 0;3, 0, 0;
1787163545.948983555 0, 61744, 49;1, 45492, 0;2, 0, 0;3, 0, 0;
1787163548.463666653 0, 62970, 49;1, 35216, 21;2, 0, 0;3, 0, 0;
1787163550.793692738 0, 59244, 73;1, 35216, 23;2, 0, 0;3, 0, 0;
1787163553.314819551 0, 59088, 33;1, 35216, 18;2, 0, 0;3, 0, 0;
1787163555.760078825 0, 48282, 74;1, 35216, 21;2, 0, 0;3, 0, 0;
1787163558.080809238 0, 48282, 30;1, 35216, 16;2, 0, 0;3, 0, 0;
1787163560.397605533 0, 48282, 38;1, 38632, 12;2, 0, 0;3, 0, 0;
1787163562.918952648 0, 48282, 23;1, 40528, 29;2, 0, 0;3, 0, 0;
1787163566.024703940 0, 48618, 66;1, 40192, 71;2, 0, 0;3, 0, 0;
1787163568.351570465 0, 48730, 68;1, 39184, 54;2, 0, 0;3, 0, 0;
1787163570.681155782 0, 48730, 52;1, 39184, 46;2, 0, 0;3, 0, 0;
1787163573.004746218 0, 48842, 24;1, 39296, 23;2, 0, 0;3, 0, 0;
1787163575.288839425 0, 48954, 55;1, 39296, 47;2, 0, 0;3, 0, 0;
1787163577.721895210 0, 49066, 64;1, 39184, 49;2, 0, 0;3, 0, 0;
1787163580.081718150 0, 49290, 45;1, 43596, 31;2, 0, 0;3, 0, 0;
1787163582.595960487 0, 49402, 49;1, 55670, 37;2, 0, 0;3, 0, 0;
1787163585.185143385 0, 49402, 70;1, 56074, 64;2, 0, 0;3, 0, 0;
1787163587.729387237 0, 49626, 55;1, 56926, 37;2, 0, 0;3, 0, 0;
1787163590.214285358 0, 49818, 64;1, 56926, 74;2, 0, 0;3, 0, 0;
1787163592.749517680 0, 49850, 58;1, 56926, 64;2, 0, 0;3, 0, 0;
1787163595.275414985 0, 50074, 35;1, 56926, 48;2, 0, 0;3, 0, 0;
1787163597.848720546 0, 50298, 51;1, 56926, 58;2, 0, 0;3, 0, 0;
1787163600.346282690 0, 50772, 34;1, 56926, 38;2, 0, 0;3, 0, 0;
1787163602.798482915 0, 51086, 46;1, 56926, 62;2, 0, 0;3, 0, 0;
1787163605.312230092 0, 51086, 37;1, 56926, 78;2, 0, 0;3, 0, 0;
1787163607.759826466 0, 51086, 49;1, 56926, 77;2, 0, 0;3, 0, 0;
1787163610.191278331 0, 51086, 39;1, 56926, 93;2, 0, 0;3, 0, 0;
1787163612.633788563 0, 51086, 29;1, 57054, 59;2, 0, 0;3, 0, 0;
1787163615.080626120 0, 51086, 21;1, 57054, 79;2, 0, 0;3, 0, 0;
1787163617.566908371 0, 51086, 24;1, 57054, 66;2, 0, 0;3, 0, 0;
1787163620.097769013 0, 50526, 46;1, 57054, 41;2, 0, 0;3, 0, 0;
1787163622.577124828 0, 50526, 46;1, 57054, 65;2, 0, 0;3, 0, 0;
1787163624.917828172 0, 50526, 29;1, 57166, 62;2, 0, 0;3, 0, 0;
1787163627.394376689 0, 50414, 29;1, 57166, 60;2, 0, 0;3, 0, 0;
1787163629.849070597 0, 50190, 64;1, 57166, 75;2, 0, 0;3, 0, 0;
1787163632.390478837 0, 50078, 41;1, 57166, 36;2, 0, 0;3, 0, 0;
1787163634.806805949 0, 50078, 37;1, 57168, 82;2, 0, 0;3, 0, 0;
1787163637.266908421 0, 50078, 24;1, 57168, 48;2, 0, 0;3, 0, 0;
1787163640.147903035 0, 52476, 15;1, 57168, 43;2, 0, 0;3, 0, 0;
1787163643.290999319 0, 57976, 20;1, 57168, 80;2, 0, 0;3, 0, 0;
1787163645.751820306 0, 58276, 64;1, 57296, 72;2, 0, 0;3, 0, 0;
1787163648.038673414 0, 58584, 25;1, 57296, 63;2, 0, 0;3, 0, 0;
1787163650.525807631 0, 59128, 50;1, 57296, 63;2, 0, 0;3, 0, 0;
