Real trace file: /workspace/prism-exp/exp/workloads/paper-faithful-v4/bursty_r8_s3.pkl
[PRISM_DIRECT] 3372 requests, span 419.5s
Starting TP benchmark: paper-faithful-v4_bursty_rate8_seed3
Generated 3372 requests
Request model_2#0 arrives at 140912.081781849, sleeping for 0.08008191126282327 seconds
Request model_5#0 arrives at 140912.163091312, sleeping for 0.023756606969982386 seconds
Request model_1#0 arrives at 140912.18781572, sleeping for 0.10037961907801218 seconds
Request model_3#0 arrives at 140912.289124093, sleeping for 0.0974525824713055 seconds
Request model_2#1 arrives at 140912.387414932, sleeping for 0.026659387309337035 seconds
Request model_6#0 arrives at 140912.415757575, sleeping for 0.18220148253021762 seconds
Request model_6#1 arrives at 140912.598783522, sleeping for 0.49933576612966135 seconds
Request model_6#2 arrives at 140913.098632209, sleeping for 0.04557573716738261 seconds
Request model_5#1 arrives at 140913.145017239, sleeping for 0.5778022314771079 seconds
Request model_3#1 arrives at 140913.723570985, sleeping for 0.22278809364070185 seconds
Request model_1#1 arrives at 140913.948629265, sleeping for 0.1290571746940259 seconds
Request model_6#3 arrives at 140914.078135761, sleeping for 0.16529187743435614 seconds
Request model_2#2 arrives at 140914.244620513, sleeping for 0.048037087137345225 seconds
Request model_2#3 arrives at 140914.292962087, sleeping for 0.21673407923663035 seconds
Request model_1#2 arrives at 140914.510632476, sleeping for 0.5850385834928602 seconds
Request model_3#2 arrives at 140915.096503473, sleeping for 0.022575072158360854 seconds
Request model_6#4 arrives at 140915.119884609, sleeping for 0.12896333483513445 seconds
Request model_6#5 arrives at 140915.249532005, sleeping for 0.02277164629776962 seconds
Request model_6#6 arrives at 140915.27288616, sleeping for 0.22885193789261393 seconds
Request model_6#7 arrives at 140915.502745578, sleeping for 0.08265886848676018 seconds
Request model_6#8 arrives at 140915.586102274, sleeping for 0.0772759941755794 seconds
Request model_6#9 arrives at 140915.664466123, sleeping for 0.2151331078785006 seconds
Request model_3#3 arrives at 140915.8802933, sleeping for 0.006082815234549344 seconds
Request model_6#10 arrives at 140915.886681539, sleeping for 0.08178823394700885 seconds
Request model_3#4 arrives at 140915.968967534, sleeping for 0.21481939661316574 seconds
Request model_3#5 arrives at 140916.18450282, sleeping for 0.1880549178167712 seconds
Request model_6#11 arrives at 140916.373086026, sleeping for 0.007520253508118913 seconds
Request model_3#6 arrives at 140916.381427238, sleeping for 0.11258704296778888 seconds
Request model_1#3 arrives at 140916.49481325, sleeping for 0.09630186253343709 seconds
Request model_6#12 arrives at 140916.591967067, sleeping for 0.13884004697320051 seconds
Request model_6#13 arrives at 140916.731761739, sleeping for 0.22642646805616096 seconds
Request model_6#14 arrives at 140916.958926573, sleeping for 0.03523984827916138 seconds
Request model_3#7 arrives at 140916.994455876, sleeping for 0.05224294145591557 seconds
Request model_3#8 arrives at 140917.048928789, sleeping for 0.015398270275909454 seconds
Request model_6#15 arrives at 140917.065515194, sleeping for 0 seconds
Request model_3#9 arrives at 140917.066273015, sleeping for 0.0049513993435539305 seconds
Request model_3#10 arrives at 140917.071930474, sleeping for 0.026359643030446023 seconds
Request model_6#16 arrives at 140917.100483967, sleeping for 0.05880415849969722 seconds
Request model_3#11 arrives at 140917.159860677, sleeping for 0.1988120734167751 seconds
Request model_1#4 arrives at 140917.36033636, sleeping for 0.07549620108329691 seconds
Request model_3#12 arrives at 140917.437346757, sleeping for 0.09640626821783371 seconds
Request model_2#4 arrives at 140917.534451454, sleeping for 0.06551478710025549 seconds
Request model_2#5 arrives at 140917.600739794, sleeping for 0.0982784784573596 seconds
Request model_1#5 arrives at 140917.700186425, sleeping for 0.12395472670323215 seconds
Request model_5#2 arrives at 140917.824692063, sleeping for 0.26062878433731385 seconds
Request model_3#13 arrives at 140918.086489989, sleeping for 0.2554859362426214 seconds
Request model_3#14 arrives at 140918.343108828, sleeping for 0.09742409011232667 seconds
Request model_3#15 arrives at 140918.441459017, sleeping for 0.12575443065725267 seconds
Request model_6#17 arrives at 140918.567864018, sleeping for 0.27395634780987166 seconds
Request model_6#18 arrives at 140918.842996095, sleeping for 0.05268221301957965 seconds
Request model_1#6 arrives at 140918.897360497, sleeping for 0.09167475992580876 seconds
Request model_1#7 arrives at 140918.989552086, sleeping for 0.5877751760708634 seconds
Request model_6#19 arrives at 140919.578312328, sleeping for 0.019335492805112153 seconds
Request model_2#6 arrives at 140919.597954438, sleeping for 0.0687269595800899 seconds
Request model_6#20 arrives at 140919.667362543, sleeping for 0.14670875074807554 seconds
Request model_3#16 arrives at 140919.815086606, sleeping for 0.07648084888933226 seconds
Request model_6#21 arrives at 140919.892719954, sleeping for 0.05324572717654519 seconds
Request model_3#17 arrives at 140919.947153746, sleeping for 0.06499095837352797 seconds
Request model_3#18 arrives at 140920.012544925, sleeping for 0.12691494374303147 seconds
Request model_1#8 arrives at 140920.140085488, sleeping for 0.07050806525512598 seconds
Request model_3#19 arrives at 140920.211552486, sleeping for 0.054814522503875196 seconds
Request model_3#20 arrives at 140920.26697477, sleeping for 0.10299435997148976 seconds
Request model_6#22 arrives at 140920.370516847, sleeping for 0.042586710187606514 seconds
Request model_3#21 arrives at 140920.414272813, sleeping for 0.043533480318728834 seconds
Request model_3#22 arrives at 140920.45825315, sleeping for 0.019639883626950905 seconds
Request model_1#9 arrives at 140920.478792471, sleeping for 0.051376423973124474 seconds
Request model_5#3 arrives at 140920.53122779, sleeping for 0.11550757457735017 seconds
Request model_3#23 arrives at 140920.647711227, sleeping for 0.007969616388436407 seconds
Request model_6#23 arrives at 140920.656181389, sleeping for 0.24826816271524876 seconds
Request model_6#24 arrives at 140920.905108526, sleeping for 0.2973626074672211 seconds
Request model_3#24 arrives at 140921.203475888, sleeping for 0.18092200948740356 seconds
Request model_6#25 arrives at 140921.385064733, sleeping for 0.17957820513402112 seconds
Request model_6#26 arrives at 140921.565721516, sleeping for 0.2608073380542919 seconds
Request model_1#10 arrives at 140921.827720853, sleeping for 0.08776751841651276 seconds
Request model_6#27 arrives at 140921.917595919, sleeping for 0.027198545780265704 seconds
Request model_1#11 arrives at 140921.945829122, sleeping for 0.09970696942764334 seconds
Request model_1#12 arrives at 140922.046125523, sleeping for 0.1073824409104418 seconds
Request model_6#28 arrives at 140922.154592648, sleeping for 0.08474703261163086 seconds
Request model_3#25 arrives at 140922.239705306, sleeping for 0.008343393681570888 seconds
Request model_6#29 arrives at 140922.249045371, sleeping for 0.013357124262256548 seconds
Request model_3#26 arrives at 140922.262647611, sleeping for 0.2146368493558839 seconds
Request model_6#30 arrives at 140922.478566788, sleeping for 0.10464040111401118 seconds
Request model_6#31 arrives at 140922.585102619, sleeping for 0.15378773061092943 seconds
Request model_3#27 arrives at 140922.739686423, sleeping for 0.06140593430609442 seconds
Request model_3#28 arrives at 140922.802087908, sleeping for 0.22502060202532448 seconds
Request model_3#29 arrives at 140923.027866639, sleeping for 0.3451244684983976 seconds
Request model_3#30 arrives at 140923.373434292, sleeping for 0.15962578251492232 seconds
Request model_3#31 arrives at 140923.533342094, sleeping for 0.3082777093804907 seconds
Request model_3#32 arrives at 140923.842976933, sleeping for 0.00990402075694874 seconds
Request model_2#7 arrives at 140923.85435805, sleeping for 0.11984635278349742 seconds
Request model_6#32 arrives at 140923.974538502, sleeping for 0.03824743261793628 seconds
Request model_3#33 arrives at 140924.013855412, sleeping for 0.04453884399845265 seconds
Request model_1#13 arrives at 140924.05910588, sleeping for 0.029706455708947033 seconds
Request model_2#8 arrives at 140924.089409166, sleeping for 0.009256638790247962 seconds
Request model_3#34 arrives at 140924.100730743, sleeping for 0.14689524821005762 seconds
Request model_1#14 arrives at 140924.248105746, sleeping for 0.1691441846487578 seconds
Request model_1#15 arrives at 140924.418108334, sleeping for 0.3719185780500993 seconds
Request model_1#16 arrives at 140924.790401897, sleeping for 0.08953864133218303 seconds
Request model_3#35 arrives at 140924.881573215, sleeping for 0.11887179856421426 seconds
Request model_1#17 arrives at 140925.002111928, sleeping for 0.0062808866205159575 seconds
Request model_6#33 arrives at 140925.009493879, sleeping for 0.06490154712810181 seconds
Request model_3#36 arrives at 140925.074857978, sleeping for 0.09254287675139494 seconds
Request model_3#37 arrives at 140925.168179319, sleeping for 0.7479028963716701 seconds
Request model_3#38 arrives at 140925.917645313, sleeping for 0.041564324958017096 seconds
Request model_1#18 arrives at 140925.960223128, sleeping for 0.37752768766949885 seconds
Request model_3#39 arrives at 140926.33810166, sleeping for 0.003022877383045852 seconds
Request model_3#40 arrives at 140926.341783195, sleeping for 0.41943980718497187 seconds
Request model_3#41 arrives at 140926.761657131, sleeping for 0.058575238537741825 seconds
Request model_6#34 arrives at 140926.821246981, sleeping for 0.03657541354186833 seconds
Request model_1#19 arrives at 140926.859709359, sleeping for 0 seconds
Request model_6#35 arrives at 140926.86052847, sleeping for 0.018124209309462458 seconds
Request model_3#42 arrives at 140926.879113548, sleeping for 0.026987232005922124 seconds
Request model_1#20 arrives at 140926.907378051, sleeping for 0.08321774058276787 seconds
Request model_1#21 arrives at 140926.991632049, sleeping for 0.19194797196541913 seconds
Request model_1#22 arrives at 140927.18425339, sleeping for 0.18591761001152918 seconds
Request model_6#36 arrives at 140927.371246793, sleeping for 0.032832335331477225 seconds
Request model_6#37 arrives at 140927.404530244, sleeping for 0.004006007977295667 seconds
Request model_1#23 arrives at 140927.40906214, sleeping for 0.00855165344546549 seconds
Request model_6#38 arrives at 140927.418516355, sleeping for 0.18470274494029582 seconds
Request model_3#43 arrives at 140927.603814875, sleeping for 0.07076529887854122 seconds
Request model_3#44 arrives at 140927.675819184, sleeping for 0.030941849370719865 seconds
