request_id,model,arrival_time,completion_time,prompt_tokens,output_tokens,ttft_s,tpot_s,e2e_s,ttft_slo_s,tpot_slo_s,ttft_slo_met,tpot_slo_met,joint_slo_met,success,in_measurement_window
model_2#0,model_2,0.08008317125203554,1.5528198952641012,235,37,0.14160847663879395,0.035831051903801994,1.4727367240120657,0.22660613059997559,0.03378264047205448,1,0,0,1,0
model_5#0,model_5,0.10506659997099088,0.7431527239741572,447,16,0.2517833709716797,0.02379360795021057,0.6380861240031663,0.6448996067047119,0.040172288194298744,1,1,1,1,0
model_1#0,model_1,0.20641437006780428,0.7254026660790343,304,17,0.14967632293701172,0.02139698757844813,0.51898829601123,0.14725327491760254,0.021735001355409622,0,1,0,1,0
model_3#0,model_3,0.304795446467155,0.9510119534787138,584,17,0.10669827461242676,0.031333544675041645,0.6462165070115589,0.3281092643737793,0.03691067732870579,1,1,1,1,0
model_2#1,model_2,0.33229308031398846,3.247212752323989,185,85,0.0765082836151123,0.03332573946784524,2.914919672010001,0.22660613059997559,0.03378264047205448,1,1,1,1,0
model_6#0,model_6,0.5161779185412732,1.5015724025555235,354,16,0.1707463264465332,0.05054643750190735,0.9853944840142503,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_6#1,model_6,1.0163385991170168,1.708882295117956,313,16,0.08229541778564453,0.03784660995006561,0.6925436960009392,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_6#2,model_6,1.0624267171600204,2.0873532311755536,352,29,0.1300203800201416,0.030690801554712755,1.024926514015533,0.6012606620788574,0.037298424169421196,1,1,1,1,0
model_5#1,model_5,1.6410383714774641,9.808858878468584,10,240,0.040075063705444336,0.033827072381973265,8.16782050699112,0.6448996067047119,0.040172288194298744,1,1,1,1,0
model_3#1,model_3,1.864578029624016,23.081473390618402,51,346,0.049416542053222656,0.06114452215977487,21.216895360994386,0.3281092643737793,0.03691067732870579,1,0,0,1,0
model_1#1,model_1,1.9959054807080732,11.154551748692368,59,314,0.16004610061645508,0.028623934004716814,9.158646267984295,0.14725327491760254,0.021735001355409622,0,0,0,1,0
model_6#3,model_6,2.161646479427766,29.485250850419,352,384,0.109100341796875,0.07084498554468155,27.323604370991234,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_2#2,model_2,2.2108764411200252,5.330182197121292,512,84,0.13266229629516602,0.03547718979063488,3.1193057560012676,0.22660613059997559,0.03378264047205448,1,0,0,1,0
model_2#3,model_2,2.427914957226683,16.203730187206027,89,362,0.1537928581237793,0.03759760158496667,13.775815229979344,0.22660613059997559,0.03378264047205448,1,0,0,1,0
model_1#2,model_1,3.0138899304631,3.5818507104606203,130,16,0.05058598518371582,0.03202617168426514,0.5679607799975201,0.14725327491760254,0.021735001355409622,1,0,0,1,0
model_3#2,model_3,3.037297446150649,28.511338853147198,61,384,0.05431103706359863,0.0661679928501447,25.474041406996548,0.3281092643737793,0.03691067732870579,1,0,0,1,0
model_6#4,model_6,3.167066554816871,30.79895511381767,24,384,0.11136484146118164,0.07162584053973357,27.6318885590008,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_6#5,model_6,3.1905225722840114,4.374093883288937,8,16,0.08817815780639648,0.06822298467159271,1.1835713110049255,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_6#6,model_6,3.4199569688956,6.605369723898799,15,41,0.0665137767791748,0.07596466017932427,3.185412755003199,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_6#7,model_6,3.5036234174861165,7.2446917634754495,13,46,0.09230804443359375,0.0792174183804056,3.7410683459893335,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_6#8,model_6,3.5815972091721457,4.880223641163725,293,16,0.20218276977539062,0.06816339492797852,1.298626431991579,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_6#9,model_6,3.7978180018852807,4.912155478874302,255,16,0.08907008171081543,0.06378547847270966,1.1143374769890215,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_3#3,model_3,3.804595056216404,6.934307277225362,238,48,0.08383321762084961,0.06333305935064952,3.1297122210089583,0.3281092643737793,0.03691067732870579,1,0,0,1,0
model_6#10,model_6,3.8866886039275594,31.17684818090749,427,384,0.1455550193786621,0.0706572737544775,27.29015957697993,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_3#4,model_3,4.102005821593415,5.770531877583202,434,16,0.10816097259521484,0.09709647297859192,1.668526055989787,0.3281092643737793,0.03691067732870579,1,0,0,1,0
model_3#5,model_3,4.290776628811309,29.397904944823985,23,368,0.11393332481384277,0.0678886512051458,25.107128316012677,0.3281092643737793,0.03691067732870579,1,0,0,1,0
model_6#11,model_6,4.2988250304964115,26.530292270520768,11,311,0.11033248901367188,0.07109929434356199,22.231467240024358,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_3#6,model_3,4.412233131960545,6.067932557948677,78,16,0.19777894020080566,0.09083548188209534,1.6556994259881321,0.3281092643737793,0.03691067732870579,1,0,0,1,0
model_1#3,model_1,4.509334003529164,13.525988997547772,10,308,0.0884699821472168,0.02895469092703485,9.016654994018609,0.14725327491760254,0.021735001355409622,1,0,0,1,0
model_6#12,model_6,4.649025694968465,22.308058943984385,83,238,0.10625815391540527,0.07371625780057506,17.65903324901592,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_6#13,model_6,4.876406808021057,7.3062442930106055,76,31,0.08905839920043945,0.07535641424117549,2.429837484989548,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_6#14,model_6,4.9123848722576415,6.3052613452511626,335,16,0.1355435848236084,0.07830177247524261,1.392876472993521,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_3#7,model_3,4.964917448443222,6.221424137452479,232,16,0.3443760871887207,0.05650649964809418,1.2565066890092567,0.3281092643737793,0.03691067732870579,0,0,0,1,0
model_3#8,model_3,4.982545530267392,9.019793558273097,305,60,0.3253471851348877,0.06175890763600667,4.037248028005706,0.3281092643737793,0.03691067732870579,1,0,0,1,0
model_6#15,model_6,4.982683809342478,14.308638355330249,134,136,0.18891096115112305,0.06712899488561294,9.32595454598777,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_3#9,model_3,4.9894427053100205,6.222084009309137,312,16,0.31999659538269043,0.05654633045196533,1.2326413039991166,0.3281092643737793,0.03691067732870579,1,0,0,1,0
model_3#10,model_3,5.016508718016222,17.861236523016952,17,196,0.2915685176849365,0.06400758392956792,12.84472780500073,0.3281092643737793,0.03691067732870579,1,0,0,1,0
model_6#16,model_6,5.077506746479116,22.680894442478234,379,246,0.17956113815307617,0.07079648486967009,17.603387695999118,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_3#11,model_3,5.276891331423091,6.221634414398128,377,16,0.12157249450683594,0.0509786456823349,0.9447430829750374,0.3281092643737793,0.03691067732870579,1,0,0,1,0
model_1#4,model_1,5.354051062081791,7.615922665079208,16,71,0.04513859748840332,0.031153561363757496,2.2618716029974166,0.14725327491760254,0.021735001355409622,1,0,0,1,0
model_3#12,model_3,5.451971446211024,6.362813188188516,311,17,0.09781575202941895,0.04755763446583467,0.9108417419774923,0.3281092643737793,0.03691067732870579,1,0,0,1,0
model_2#4,model_2,5.518185162114784,6.368907454116376,343,16,0.1514115333557129,0.043429553508758545,0.850722292001592,0.22660613059997559,0.03378264047205448,1,0,0,1,0
model_2#5,model_2,5.617237063449831,20.39930862244128,44,384,0.17573285102844238,0.03800948957602183,14.782071558991447,0.22660613059997559,0.03378264047205448,1,0,0,1,0
model_1#5,model_1,5.742359772694372,15.41386739370374,10,318,0.16784024238586426,0.029853832046940643,9.671507621009368,0.14725327491760254,0.021735001355409622,0,0,0,1,0
model_5#2,model_5,6.003539358338314,18.085252092350714,14,356,0.06353998184204102,0.0337320418840044,12.081712734012399,0.6448996067047119,0.040172288194298744,1,1,1,1,0
model_3#13,model_3,6.260194556236204,7.6992265482274185,176,28,0.07084178924560547,0.04869896173477173,1.4390319919912145,0.3281092643737793,0.03691067732870579,1,0,0,1,0
model_3#14,model_3,6.358751779089317,34.04682624309683,748,384,0.13234210014343262,0.07171035557985306,27.688074464007514,0.3281092643737793,0.03691067732870579,1,0,0,1,0
model_3#15,model_3,6.48543194863751,21.142124269642323,233,235,0.08483219146728516,0.061963958943143806,14.656692321004812,0.3281092643737793,0.03691067732870579,1,0,0,1,0
model_6#17,model_6,6.760039296815956,8.087861002830175,107,16,0.22124338150024414,0.06873351335525513,1.3278217060142197,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_6#18,model_6,6.8138971890246935,8.08788470502882,219,16,0.1670525074005127,0.06878224015235901,1.2739875160041265,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_1#6,model_1,6.907254107914781,7.600593224902553,545,16,0.16157770156860352,0.03290162980556488,0.6933391169877723,0.14725327491760254,0.021735001355409622,0,0,0,1,0
model_1#7,model_1,7.495546533062794,7.8443048750692705,291,16,0.05440044403076172,0.018076181411743164,0.3487583420064766,0.14725327491760254,0.021735001355409622,1,1,1,1,0
model_6#19,model_6,7.515866281774623,8.790007237771324,166,16,0.08438396453857422,0.07410132884979248,1.2741409559966996,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_2#6,model_2,7.584900538570514,22.104353312565514,20,384,0.047724246978759766,0.037652876848975815,14.519452773994999,0.22660613059997559,0.03378264047205448,1,0,0,1,0
model_6#20,model_6,7.732289974746496,30.689119690761405,31,323,0.032349586486816406,0.07093974975609559,22.95682971601491,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_3#16,model_3,7.809786435900413,15.446648844881373,125,113,0.07628011703491211,0.06685437143376444,7.63686240898096,0.3281092643737793,0.03691067732870579,1,0,0,1,0
model_6#21,model_6,7.864184922146209,14.543344669146293,15,101,0.1320483684539795,0.0647757336644843,6.679159747000085,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_3#17,model_3,7.930363605339148,34.14970417235053,18,357,0.06606674194335938,0.0732212761203114,26.219340567011386,0.3281092643737793,0.03691067732870579,1,0,0,1,0
model_3#18,model_3,8.057678769707595,9.939605383712946,197,28,0.04907369613647461,0.065230735710689,1.8819266140053514,0.3281092643737793,0.03691067732870579,1,0,0,1,0
model_1#8,model_1,8.128812314249293,19.18931955824322,314,384,0.08968520164489746,0.028530664121111233,11.060507243993925,0.14725327491760254,0.021735001355409622,1,0,0,1,0
