timestamp,gpu_id,gpu_utilization,memory_used_mib
1787170389.6007373,0,3,35672
1787170389.6007373,1,4,35686
1787170389.6007373,2,0,0
1787170389.6007373,3,0,0
1787170391.836333,0,0,35828
1787170391.836333,1,0,35786
1787170391.836333,2,0,0
1787170391.836333,3,0,0
1787170394.1220767,0,100,35948
1787170394.1220767,1,99,35898
1787170394.1220767,2,0,0
1787170394.1220767,3,0,0
1787170396.3992229,0,99,36370
1787170396.3992229,1,100,36072
1787170396.3992229,2,0,0
1787170396.3992229,3,0,0
1787170398.6805398,0,99,36916
1787170398.6805398,1,100,36184
1787170398.6805398,2,0,0
1787170398.6805398,3,0,0
1787170400.967416,0,100,36916
1787170400.967416,1,99,36450
1787170400.967416,2,0,0
1787170400.967416,3,0,0
1787170403.2646887,0,99,36920
1787170403.2646887,1,100,36452
1787170403.2646887,2,0,0
1787170403.2646887,3,0,0
1787170405.504649,0,99,37064
1787170405.504649,1,99,37058
1787170405.504649,2,0,0
1787170405.504649,3,0,0
1787170407.7950351,0,100,37066
1787170407.7950351,1,100,37194
1787170407.7950351,2,0,0
1787170407.7950351,3,0,0
1787170410.082411,0,99,37202
1787170410.082411,1,100,37194
1787170410.082411,2,0,0
1787170410.082411,3,0,0
1787170412.3655474,0,99,37258
1787170412.3655474,1,100,37670
1787170412.3655474,2,0,0
1787170412.3655474,3,0,0
1787170414.660142,0,99,37322
1787170414.660142,1,100,37670
1787170414.660142,2,0,0
1787170414.660142,3,0,0
1787170416.946239,0,99,37322
1787170416.946239,1,100,37694
1787170416.946239,2,0,0
1787170416.946239,3,0,0
1787170419.2347891,0,99,37322
1787170419.2347891,1,100,37806
1787170419.2347891,2,0,0
1787170419.2347891,3,0,0
1787170421.5236793,0,99,37322
1787170421.5236793,1,100,37918
1787170421.5236793,2,0,0
1787170421.5236793,3,0,0
1787170423.809785,0,99,37378
1787170423.809785,1,100,37918
1787170423.809785,2,0,0
1787170423.809785,3,0,0
1787170426.0955932,0,99,37448
1787170426.0955932,1,100,37918
1787170426.0955932,2,0,0
1787170426.0955932,3,0,0
1787170428.3922586,0,99,37576
1787170428.3922586,1,99,38014
1787170428.3922586,2,0,0
1787170428.3922586,3,0,0
1787170430.681355,0,99,38044
1787170430.681355,1,100,38014
1787170430.681355,2,0,0
1787170430.681355,3,0,0
1787170432.9697003,0,99,38300
