timestamp,gpu_id,gpu_utilization,memory_used_mib
1787171613.627792,0,6,35764
1787171613.627792,1,9,35786
1787171613.627792,2,0,0
1787171613.627792,3,0,0
1787171616.0787535,0,0,35818
1787171616.0787535,1,8,35808
1787171616.0787535,2,0,0
1787171616.0787535,3,0,0
1787171618.3344998,0,98,35924
1787171618.3344998,1,64,36036
1787171618.3344998,2,0,0
1787171618.3344998,3,0,0
1787171620.591127,0,98,36058
1787171620.591127,1,61,36036
1787171620.591127,2,0,0
1787171620.591127,3,0,0
1787171622.8512685,0,99,36058
1787171622.8512685,1,0,44532
1787171622.8512685,2,0,0
1787171622.8512685,3,0,0
1787171625.1194007,0,99,36058
1787171625.1194007,1,98,44596
1787171625.1194007,2,0,0
1787171625.1194007,3,0,0
1787171627.3899374,0,88,35258
1787171627.3899374,1,98,44660
1787171627.3899374,2,0,0
1787171627.3899374,3,0,0
1787171629.6601586,0,51,27636
1787171629.6601586,1,96,44884
1787171629.6601586,2,0,0
1787171629.6601586,3,0,0
1787171631.9292212,0,47,27636
1787171631.9292212,1,98,44884
1787171631.9292212,2,0,0
1787171631.9292212,3,0,0
1787171634.1920033,0,49,27638
1787171634.1920033,1,97,44884
1787171634.1920033,2,0,0
1787171634.1920033,3,0,0
1787171636.4592457,0,49,27638
1787171636.4592457,1,98,45686
1787171636.4592457,2,0,0
1787171636.4592457,3,0,0
1787171638.7167914,0,50,27638
1787171638.7167914,1,98,45830
1787171638.7167914,2,0,0
1787171638.7167914,3,0,0
1787171640.9752715,0,46,27638
1787171640.9752715,1,98,45906
1787171640.9752715,2,0,0
1787171640.9752715,3,0,0
1787171643.232485,0,49,27638
1787171643.232485,1,98,45906
1787171643.232485,2,0,0
1787171643.232485,3,0,0
1787171645.4960325,0,47,27708
1787171645.4960325,1,98,45906
1787171645.4960325,2,0,0
1787171645.4960325,3,0,0
1787171647.7595825,0,47,27708
1787171647.7595825,1,98,45794
1787171647.7595825,2,0,0
1787171647.7595825,3,0,0
1787171650.0223303,0,47,27708
1787171650.0223303,1,98,45794
1787171650.0223303,2,0,0
1787171650.0223303,3,0,0
1787171652.281951,0,52,27708
1787171652.281951,1,98,45876
1787171652.281951,2,0,0
1787171652.281951,3,0,0
1787171654.541877,0,72,42332
1787171654.541877,1,99,46414
1787171654.541877,2,0,0
1787171654.541877,3,0,0
1787171656.8117015,0,55,43936
1787171656.8117015,1,98,29516
1787171656.8117015,2,0,0
1787171656.8117015,3,0,0
1787171659.07154,0,53,43936
1787171659.07154,1,98,29404
1787171659.07154,2,0,0
1787171659.07154,3,0,0
1787171661.3326476,0,51,43936
1787171661.3326476,1,98,29404
1787171661.3326476,2,0,0
1787171661.3326476,3,0,0
1787171663.593886,0,50,43936
1787171663.593886,1,98,29180
1787171663.593886,2,0,0
1787171663.593886,3,0,0
1787171665.8679006,0,49,43936
1787171665.8679006,1,98,29180
1787171665.8679006,2,0,0
1787171665.8679006,3,0,0
1787171668.1325023,0,53,43316
1787171668.1325023,1,98,28864
1787171668.1325023,2,0,0
1787171668.1325023,3,0,0
1787171670.4269733,0,50,10698
1787171670.4269733,1,98,23916
1787171670.4269733,2,0,0
1787171670.4269733,3,0,0
1787171672.681939,0,48,10698
1787171672.681939,1,98,23916
1787171672.681939,2,0,0
1787171672.681939,3,0,0
1787171674.9355524,0,52,10698
1787171674.9355524,1,98,23916
1787171674.9355524,2,0,0
1787171674.9355524,3,0,0
1787171677.1877446,0,52,10698
1787171677.1877446,1,97,23916
1787171677.1877446,2,0,0
1787171677.1877446,3,0,0
1787171679.4462304,0,48,10698
